generation,status,fitness,games,wins,draws,port_wins,win_rate,avg_turns,avg_assets,avg_opponent_assets,shipyard_started_rate,shipyard_completed_rate,fort_started_rate,fort_completed_rate,trade_guild_started_rate,trade_guild_completed_rate,guard_captain_rate,avg_guard_captains,trade_weight,raid_weight,guard_weight,fire_weight,convoy_bias,ship_bias,shipyard_bias,fort_bias,trade_guild_bias,guard_captain_bias,fire_plans_bias,construction_idle_bias,build_priority
0,initial,-63486,1100,196,0,99,0.178182,9.527273,16.344545,60.354545,0.218182,0.188182,0.350909,0.117273,0.183636,0.081818,0.953636,3.155455,2.056465,3.880366,2.114176,1.283839,0.843924,0.447665,0.661621,0.430563,0.141945,0.805065,0.983723,0.864699,guard_captain|fort|shipyard
1,learned,-58439,1100,212,1,114,0.192727,9.570909,16.879091,58.605455,0.224545,0.191818,0.295455,0.110909,0.126364,0.050000,0.970000,3.190909,2.019997,3.894115,2.110592,1.354688,0.812148,0.558093,0.727285,0.397003,0.106459,0.793502,0.943000,0.898525,guard_captain|fire_plans|fort|shipyard
2,learned,-55023,1100,221,0,122,0.200909,9.663636,16.793636,56.605455,0.232727,0.195455,0.219091,0.080000,0.130000,0.045455,0.952727,3.235455,2.145236,3.790608,1.997925,1.233972,0.722621,0.622527,0.785570,0.297753,0.079844,0.794868,0.890257,0.855569,guard_captain|fire_plans|trade_guild|fort|shipyard
3,kept,-55023,1100,221,0,122,0.200909,9.663636,16.793636,56.605455,0.232727,0.195455,0.219091,0.080000,0.130000,0.045455,0.952727,3.235455,2.145236,3.790608,1.997925,1.233972,0.722621,0.622527,0.785570,0.297753,0.079844,0.794868,0.890257,0.855569,guard_captain|fire_plans|trade_guild|fort|shipyard
4,learned,-53176,1100,220,1,151,0.200000,9.560909,18.103636,56.568182,0.224545,0.199091,0.251818,0.118182,0.160909,0.069091,0.940000,2.952727,2.077524,3.814766,2.044007,1.273808,0.791966,0.675360,0.663044,0.385421,0.082659,0.670826,0.917693,0.891676,guard_captain|fire_plans|trade_guild|shipyard
5,kept,-53176,1100,220,1,151,0.200000,9.560909,18.103636,56.568182,0.224545,0.199091,0.251818,0.118182,0.160909,0.069091,0.940000,2.952727,2.077524,3.814766,2.044007,1.273808,0.791966,0.675360,0.663044,0.385421,0.082659,0.670826,0.917693,0.891676,guard_captain|fire_plans|trade_guild|shipyard
6,learned,-51232,1100,240,0,138,0.218182,9.890909,18.575455,57.577273,0.230909,0.201818,0.281818,0.092727,0.300909,0.135455,0.928182,2.835455,2.026868,3.706018,1.979349,1.152293,0.673964,0.726583,0.536367,0.289066,0.203587,0.629454,0.781903,0.830398,guard_captain|fire_plans|fort|trade_guild|shipyard
7,learned,-49667,1100,241,1,159,0.219091,9.770909,18.450000,56.506364,0.244545,0.212727,0.202727,0.077273,0.260000,0.119091,0.945455,2.911818,1.975359,3.559621,1.915789,1.132768,0.697450,0.794938,0.652275,0.216799,0.185561,0.657903,0.836427,0.872799,guard_captain|fire_plans|fort|trade_guild|shipyard
8,kept,-49667,1100,241,1,159,0.219091,9.770909,18.450000,56.506364,0.244545,0.212727,0.202727,0.077273,0.260000,0.119091,0.945455,2.911818,1.975359,3.559621,1.915789,1.132768,0.697450,0.794938,0.652275,0.216799,0.185561,0.657903,0.836427,0.872799,guard_captain|fire_plans|fort|trade_guild|shipyard
9,learned,-49383,1100,239,0,164,0.217273,9.529091,18.280909,55.829091,0.255455,0.220909,0.163636,0.054545,0.287273,0.132727,0.921818,2.711818,1.949823,3.625826,1.820663,1.120747,0.773087,0.846203,0.739206,0.162599,0.204874,0.638450,0.845402,0.842063,guard_captain|fire_plans|fort|trade_guild|shipyard
