generation,status,fitness,games,wins,draws,port_wins,win_rate,avg_turns,avg_assets,avg_opponent_assets,trade_weight,raid_weight,guard_weight,fire_weight,convoy_bias,ship_bias,build_priority
0,initial,69475,1000,609,1,596,0.609000,8.420000,44.831000,29.626000,2.829701,3.897648,2.291902,4.678690,0.850563,0.547106,
1,kept,69475,1000,609,1,596,0.609000,8.420000,44.831000,29.626000,2.829701,3.897648,2.291902,4.678690,0.850563,0.547106,
2,learned,82377,1000,656,0,647,0.656000,8.503000,47.781000,26.949000,2.871990,3.801310,2.334970,4.745343,0.790255,0.644363,
3,kept,82377,1000,656,0,647,0.656000,8.503000,47.781000,26.949000,2.871990,3.801310,2.334970,4.745343,0.790255,0.644363,
4,kept,82377,1000,656,0,647,0.656000,8.503000,47.781000,26.949000,2.871990,3.801310,2.334970,4.745343,0.790255,0.644363,
5,kept,82377,1000,656,0,647,0.656000,8.503000,47.781000,26.949000,2.871990,3.801310,2.334970,4.745343,0.790255,0.644363,
6,kept,82377,1000,656,0,647,0.656000,8.503000,47.781000,26.949000,2.871990,3.801310,2.334970,4.745343,0.790255,0.644363,
7,kept,82377,1000,656,0,647,0.656000,8.503000,47.781000,26.949000,2.871990,3.801310,2.334970,4.745343,0.790255,0.644363,
8,kept,82377,1000,656,0,647,0.656000,8.503000,47.781000,26.949000,2.871990,3.801310,2.334970,4.745343,0.790255,0.644363,
9,kept,82377,1000,656,0,647,0.656000,8.503000,47.781000,26.949000,2.871990,3.801310,2.334970,4.745343,0.790255,0.644363,
10,kept,82377,1000,656,0,647,0.656000,8.503000,47.781000,26.949000,2.871990,3.801310,2.334970,4.745343,0.790255,0.644363,
11,kept,82377,1000,656,0,647,0.656000,8.503000,47.781000,26.949000,2.871990,3.801310,2.334970,4.745343,0.790255,0.644363,
12,kept,82377,1000,656,0,647,0.656000,8.503000,47.781000,26.949000,2.871990,3.801310,2.334970,4.745343,0.790255,0.644363,
13,kept,82377,1000,656,0,647,0.656000,8.503000,47.781000,26.949000,2.871990,3.801310,2.334970,4.745343,0.790255,0.644363,
14,kept,82377,1000,656,0,647,0.656000,8.503000,47.781000,26.949000,2.871990,3.801310,2.334970,4.745343,0.790255,0.644363,
15,kept,82377,1000,656,0,647,0.656000,8.503000,47.781000,26.949000,2.871990,3.801310,2.334970,4.745343,0.790255,0.644363,
16,kept,82377,1000,656,0,647,0.656000,8.503000,47.781000,26.949000,2.871990,3.801310,2.334970,4.745343,0.790255,0.644363,
17,kept,82377,1000,656,0,647,0.656000,8.503000,47.781000,26.949000,2.871990,3.801310,2.334970,4.745343,0.790255,0.644363,
18,kept,82377,1000,656,0,647,0.656000,8.503000,47.781000,26.949000,2.871990,3.801310,2.334970,4.745343,0.790255,0.644363,
19,kept,82377,1000,656,0,647,0.656000,8.503000,47.781000,26.949000,2.871990,3.801310,2.334970,4.745343,0.790255,0.644363,
20,kept,82377,1000,656,0,647,0.656000,8.503000,47.781000,26.949000,2.871990,3.801310,2.334970,4.745343,0.790255,0.644363,
21,kept,82377,1000,656,0,647,0.656000,8.503000,47.781000,26.949000,2.871990,3.801310,2.334970,4.745343,0.790255,0.644363,
22,learned,85493,1000,663,0,634,0.663000,8.719000,48.007000,24.844000,2.765660,3.694414,2.436775,4.641364,0.643352,0.670398,
23,kept,85493,1000,663,0,634,0.663000,8.719000,48.007000,24.844000,2.765660,3.694414,2.436775,4.641364,0.643352,0.670398,
24,kept,85493,1000,663,0,634,0.663000,8.719000,48.007000,24.844000,2.765660,3.694414,2.436775,4.641364,0.643352,0.670398,
25,kept,85493,1000,663,0,634,0.663000,8.719000,48.007000,24.844000,2.765660,3.694414,2.436775,4.641364,0.643352,0.670398,
26,kept,85493,1000,663,0,634,0.663000,8.719000,48.007000,24.844000,2.765660,3.694414,2.436775,4.641364,0.643352,0.670398,
27,kept,85493,1000,663,0,634,0.663000,8.719000,48.007000,24.844000,2.765660,3.694414,2.436775,4.641364,0.643352,0.670398,
28,kept,85493,1000,663,0,634,0.663000,8.719000,48.007000,24.844000,2.765660,3.694414,2.436775,4.641364,0.643352,0.670398,
29,learned,89984,1000,681,0,654,0.681000,8.701000,48.151000,23.317000,2.672332,3.581800,2.409425,4.681015,0.544693,0.752799,
30,kept,89984,1000,681,0,654,0.681000,8.701000,48.151000,23.317000,2.672332,3.581800,2.409425,4.681015,0.544693,0.752799,
31,kept,89984,1000,681,0,654,0.681000,8.701000,48.151000,23.317000,2.672332,3.581800,2.409425,4.681015,0.544693,0.752799,
32,kept,89984,1000,681,0,654,0.681000,8.701000,48.151000,23.317000,2.672332,3.581800,2.409425,4.681015,0.544693,0.752799,
33,kept,89984,1000,681,0,654,0.681000,8.701000,48.151000,23.317000,2.672332,3.581800,2.409425,4.681015,0.544693,0.752799,
34,kept,89984,1000,681,0,654,0.681000,8.701000,48.151000,23.317000,2.672332,3.581800,2.409425,4.681015,0.544693,0.752799,
35,kept,89984,1000,681,0,654,0.681000,8.701000,48.151000,23.317000,2.672332,3.581800,2.409425,4.681015,0.544693,0.752799,
36,kept,89984,1000,681,0,654,0.681000,8.701000,48.151000,23.317000,2.672332,3.581800,2.409425,4.681015,0.544693,0.752799,
37,kept,89984,1000,681,0,654,0.681000,8.701000,48.151000,23.317000,2.672332,3.581800,2.409425,4.681015,0.544693,0.752799,
38,learned,92761,1000,694,1,672,0.694000,8.808000,47.235000,21.784000,2.647852,3.729972,2.367313,4.759734,0.443152,0.814599,
39,kept,92761,1000,694,1,672,0.694000,8.808000,47.235000,21.784000,2.647852,3.729972,2.367313,4.759734,0.443152,0.814599,
40,learned,98921,1000,722,0,693,0.722000,8.932000,47.154000,19.708000,2.510610,3.846974,2.426112,4.619885,0.332364,0.847773,
41,kept,98921,1000,722,0,693,0.722000,8.932000,47.154000,19.708000,2.510610,3.846974,2.426112,4.619885,0.332364,0.847773,
42,kept,98921,1000,722,0,693,0.722000,8.932000,47.154000,19.708000,2.510610,3.846974,2.426112,4.619885,0.332364,0.847773,
43,kept,98921,1000,722,0,693,0.722000,8.932000,47.154000,19.708000,2.510610,3.846974,2.426112,4.619885,0.332364,0.847773,
44,learned,100700,1000,727,0,683,0.727000,9.103000,47.564000,18.889000,2.534903,3.854244,2.541988,4.665810,0.250584,0.801821,
45,kept,100700,1000,727,0,683,0.727000,9.103000,47.564000,18.889000,2.534903,3.854244,2.541988,4.665810,0.250584,0.801821,
46,kept,100700,1000,727,0,683,0.727000,9.103000,47.564000,18.889000,2.534903,3.854244,2.541988,4.665810,0.250584,0.801821,
47,kept,100700,1000,727,0,683,0.727000,9.103000,47.564000,18.889000,2.534903,3.854244,2.541988,4.665810,0.250584,0.801821,
48,kept,100700,1000,727,0,683,0.727000,9.103000,47.564000,18.889000,2.534903,3.854244,2.541988,4.665810,0.250584,0.801821,
49,kept,100700,1000,727,0,683,0.727000,9.103000,47.564000,18.889000,2.534903,3.854244,2.541988,4.665810,0.250584,0.801821,
50,kept,100700,1000,727,0,683,0.727000,9.103000,47.564000,18.889000,2.534903,3.854244,2.541988,4.665810,0.250584,0.801821,
51,learned,107186,1000,750,0,712,0.750000,9.254000,48.700000,17.194000,2.464206,3.951148,2.601461,4.656126,0.187938,0.681032,
52,learned,108412,1000,760,0,712,0.760000,9.340000,47.395000,16.063000,2.333180,4.014464,2.672677,4.513203,0.140953,0.694501,
53,kept,108412,1000,760,0,712,0.760000,9.340000,47.395000,16.063000,2.333180,4.014464,2.672677,4.513203,0.140953,0.694501,
54,kept,108412,1000,760,0,712,0.760000,9.340000,47.395000,16.063000,2.333180,4.014464,2.672677,4.513203,0.140953,0.694501,
55,kept,108412,1000,760,0,712,0.760000,9.340000,47.395000,16.063000,2.333180,4.014464,2.672677,4.513203,0.140953,0.694501,
56,kept,108412,1000,760,0,712,0.760000,9.340000,47.395000,16.063000,2.333180,4.014464,2.672677,4.513203,0.140953,0.694501,
57,kept,108412,1000,760,0,712,0.760000,9.340000,47.395000,16.063000,2.333180,4.014464,2.672677,4.513203,0.140953,0.694501,
58,kept,108412,1000,760,0,712,0.760000,9.340000,47.395000,16.063000,2.333180,4.014464,2.672677,4.513203,0.140953,0.694501,
59,kept,108412,1000,760,0,712,0.760000,9.340000,47.395000,16.063000,2.333180,4.014464,2.672677,4.513203,0.140953,0.694501,
60,kept,108412,1000,760,0,712,0.760000,9.340000,47.395000,16.063000,2.333180,4.014464,2.672677,4.513203,0.140953,0.694501,
61,learned,112973,1000,777,0,729,0.777000,9.331000,47.995000,14.737000,2.454444,4.026668,2.591483,4.515814,0.105715,0.770876,
62,kept,112973,1000,777,0,729,0.777000,9.331000,47.995000,14.737000,2.454444,4.026668,2.591483,4.515814,0.105715,0.770876,
63,kept,112973,1000,777,0,729,0.777000,9.331000,47.995000,14.737000,2.454444,4.026668,2.591483,4.515814,0.105715,0.770876,
64,learned,114508,1000,789,0,730,0.789000,9.342000,47.227000,14.129000,2.428082,3.958099,2.491086,4.534332,0.079286,0.828157,
65,kept,114508,1000,789,0,730,0.789000,9.342000,47.227000,14.129000,2.428082,3.958099,2.491086,4.534332,0.079286,0.828157,
66,kept,114508,1000,789,0,730,0.789000,9.342000,47.227000,14.129000,2.428082,3.958099,2.491086,4.534332,0.079286,0.828157,
67,kept,114508,1000,789,0,730,0.789000,9.342000,47.227000,14.129000,2.428082,3.958099,2.491086,4.534332,0.079286,0.828157,
68,kept,114508,1000,789,0,730,0.789000,9.342000,47.227000,14.129000,2.428082,3.958099,2.491086,4.534332,0.079286,0.828157,
69,kept,114508,1000,789,0,730,0.789000,9.342000,47.227000,14.129000,2.428082,3.958099,2.491086,4.534332,0.079286,0.828157,
70,kept,114508,1000,789,0,730,0.789000,9.342000,47.227000,14.129000,2.428082,3.958099,2.491086,4.534332,0.079286,0.828157,
71,kept,114508,1000,789,0,730,0.789000,9.342000,47.227000,14.129000,2.428082,3.958099,2.491086,4.534332,0.079286,0.828157,
72,kept,114508,1000,789,0,730,0.789000,9.342000,47.227000,14.129000,2.428082,3.958099,2.491086,4.534332,0.079286,0.828157,
73,learned,114899,1000,788,0,747,0.788000,9.289000,47.252000,13.878000,2.473271,4.024664,2.498054,4.386224,0.059465,0.871118,
74,learned,118826,1000,802,0,751,0.802000,9.299000,48.217000,12.936000,2.612249,4.063168,2.396552,4.443570,0.044599,0.800486,
75,kept,118826,1000,802,0,751,0.802000,9.299000,48.217000,12.936000,2.612249,4.063168,2.396552,4.443570,0.044599,0.800486,
76,kept,118826,1000,802,0,751,0.802000,9.299000,48.217000,12.936000,2.612249,4.063168,2.396552,4.443570,0.044599,0.800486,
77,kept,118826,1000,802,0,751,0.802000,9.299000,48.217000,12.936000,2.612249,4.063168,2.396552,4.443570,0.044599,0.800486,
78,kept,118826,1000,802,0,751,0.802000,9.299000,48.217000,12.936000,2.612249,4.063168,2.396552,4.443570,0.044599,0.800486,
79,kept,118826,1000,802,0,751,0.802000,9.299000,48.217000,12.936000,2.612249,4.063168,2.396552,4.443570,0.044599,0.800486,
80,kept,118826,1000,802,0,751,0.802000,9.299000,48.217000,12.936000,2.612249,4.063168,2.396552,4.443570,0.044599,0.800486,
81,kept,118826,1000,802,0,751,0.802000,9.299000,48.217000,12.936000,2.612249,4.063168,2.396552,4.443570,0.044599,0.800486,
82,kept,118826,1000,802,0,751,0.802000,9.299000,48.217000,12.936000,2.612249,4.063168,2.396552,4.443570,0.044599,0.800486,
83,kept,118826,1000,802,0,751,0.802000,9.299000,48.217000,12.936000,2.612249,4.063168,2.396552,4.443570,0.044599,0.800486,
