generation,status,fitness,games,wins,draws,port_wins,win_rate,avg_turns,avg_assets,avg_opponent_assets,shipyard_started_rate,shipyard_completed_rate,fort_started_rate,fort_completed_rate,trade_guild_started_rate,trade_guild_completed_rate,guard_captain_rate,avg_guard_captains,trade_weight,raid_weight,guard_weight,fire_weight,convoy_bias,ship_bias,shipyard_bias,fort_bias,trade_guild_bias,guard_captain_bias,fire_plans_bias,construction_idle_bias,build_priority
0,initial,-61386,1400,312,4,81,0.222857,10.492857,17.539286,53.654286,0.239286,0.217857,0.266429,0.226429,0.122857,0.096429,0.901429,2.651429,2.056465,3.880366,2.114176,1.283839,0.843924,0.447665,0.661621,0.430563,0.141945,0.805065,0.983723,0.864699,guard_captain|fort|shipyard
1,learned,-50678,1400,345,0,109,0.246429,10.462143,18.740714,50.607143,0.232143,0.217143,0.216429,0.183571,0.119286,0.102857,0.913571,2.775000,1.953560,3.817921,2.337418,1.072786,0.877168,0.422575,0.445680,0.290133,0.095103,0.869393,0.989094,0.909349,guard_captain|fort|shipyard
2,kept,-50678,1400,345,0,109,0.246429,10.462143,18.740714,50.607143,0.232143,0.217143,0.216429,0.183571,0.119286,0.102857,0.913571,2.775000,1.953560,3.817921,2.337418,1.072786,0.877168,0.422575,0.445680,0.290133,0.095103,0.869393,0.989094,0.909349,guard_captain|fort|shipyard
3,kept,-50678,1400,345,0,109,0.246429,10.462143,18.740714,50.607143,0.232143,0.217143,0.216429,0.183571,0.119286,0.102857,0.913571,2.775000,1.953560,3.817921,2.337418,1.072786,0.877168,0.422575,0.445680,0.290133,0.095103,0.869393,0.989094,0.909349,guard_captain|fort|shipyard
4,kept,-50678,1400,345,0,109,0.246429,10.462143,18.740714,50.607143,0.232143,0.217143,0.216429,0.183571,0.119286,0.102857,0.913571,2.775000,1.953560,3.817921,2.337418,1.072786,0.877168,0.422575,0.445680,0.290133,0.095103,0.869393,0.989094,0.909349,guard_captain|fort|shipyard
5,kept,-50678,1400,345,0,109,0.246429,10.462143,18.740714,50.607143,0.232143,0.217143,0.216429,0.183571,0.119286,0.102857,0.913571,2.775000,1.953560,3.817921,2.337418,1.072786,0.877168,0.422575,0.445680,0.290133,0.095103,0.869393,0.989094,0.909349,guard_captain|fort|shipyard
6,kept,-50678,1400,345,0,109,0.246429,10.462143,18.740714,50.607143,0.232143,0.217143,0.216429,0.183571,0.119286,0.102857,0.913571,2.775000,1.953560,3.817921,2.337418,1.072786,0.877168,0.422575,0.445680,0.290133,0.095103,0.869393,0.989094,0.909349,guard_captain|fort|shipyard
7,kept,-50678,1400,345,0,109,0.246429,10.462143,18.740714,50.607143,0.232143,0.217143,0.216429,0.183571,0.119286,0.102857,0.913571,2.775000,1.953560,3.817921,2.337418,1.072786,0.877168,0.422575,0.445680,0.290133,0.095103,0.869393,0.989094,0.909349,guard_captain|fort|shipyard
8,learned,-32106,1400,411,3,173,0.293571,10.499286,21.397143,47.433571,0.244286,0.232143,0.231429,0.205000,0.098571,0.087857,0.891429,2.675714,1.725233,3.812284,2.422279,0.858418,0.917702,0.613125,0.302961,0.266564,0.063719,0.788880,0.986495,0.938656,guard_captain|fort|shipyard
9,kept,-32106,1400,411,3,173,0.293571,10.499286,21.397143,47.433571,0.244286,0.232143,0.231429,0.205000,0.098571,0.087857,0.891429,2.675714,1.725233,3.812284,2.422279,0.858418,0.917702,0.613125,0.302961,0.266564,0.063719,0.788880,0.986495,0.938656,guard_captain|fort|shipyard
10,kept,-32106,1400,411,3,173,0.293571,10.499286,21.397143,47.433571,0.244286,0.232143,0.231429,0.205000,0.098571,0.087857,0.891429,2.675714,1.725233,3.812284,2.422279,0.858418,0.917702,0.613125,0.302961,0.266564,0.063719,0.788880,0.986495,0.938656,guard_captain|fort|shipyard
11,learned,-11797,1400,480,1,147,0.342857,10.752857,22.174286,40.225714,0.225000,0.199286,0.167143,0.144286,0.219286,0.192857,0.892857,2.832857,1.511282,3.590855,2.510671,0.685837,0.685991,0.711271,0.202984,0.184010,0.154119,0.850313,0.898570,0.958900,guard_captain|fort|shipyard
12,kept,-11797,1400,480,1,147,0.342857,10.752857,22.174286,40.225714,0.225000,0.199286,0.167143,0.144286,0.219286,0.192857,0.892857,2.832857,1.511282,3.590855,2.510671,0.685837,0.685991,0.711271,0.202984,0.184010,0.154119,0.850313,0.898570,0.958900,guard_captain|fort|shipyard
13,learned,5289,1400,539,2,221,0.385000,10.656429,24.110714,36.700714,0.164286,0.147857,0.139286,0.119286,0.173571,0.155714,0.907857,2.982857,1.386348,3.471031,2.628844,0.511863,0.709864,0.766608,0.135999,0.123286,0.103259,0.899710,0.718072,0.972463,guard_captain|fort|shipyard
14,kept,5289,1400,539,2,221,0.385000,10.656429,24.110714,36.700714,0.164286,0.147857,0.139286,0.119286,0.173571,0.155714,0.907857,2.982857,1.386348,3.471031,2.628844,0.511863,0.709864,0.766608,0.135999,0.123286,0.103259,0.899710,0.718072,0.972463,guard_captain|fort|shipyard
15,kept,5289,1400,539,2,221,0.385000,10.656429,24.110714,36.700714,0.164286,0.147857,0.139286,0.119286,0.173571,0.155714,0.907857,2.982857,1.386348,3.471031,2.628844,0.511863,0.709864,0.766608,0.135999,0.123286,0.103259,0.899710,0.718072,0.972463,guard_captain|fort|shipyard
16,kept,5289,1400,539,2,221,0.385000,10.656429,24.110714,36.700714,0.164286,0.147857,0.139286,0.119286,0.173571,0.155714,0.907857,2.982857,1.386348,3.471031,2.628844,0.511863,0.709864,0.766608,0.135999,0.123286,0.103259,0.899710,0.718072,0.972463,guard_captain|fort|shipyard
17,kept,5289,1400,539,2,221,0.385000,10.656429,24.110714,36.700714,0.164286,0.147857,0.139286,0.119286,0.173571,0.155714,0.907857,2.982857,1.386348,3.471031,2.628844,0.511863,0.709864,0.766608,0.135999,0.123286,0.103259,0.899710,0.718072,0.972463,guard_captain|fort|shipyard
18,kept,5289,1400,539,2,221,0.385000,10.656429,24.110714,36.700714,0.164286,0.147857,0.139286,0.119286,0.173571,0.155714,0.907857,2.982857,1.386348,3.471031,2.628844,0.511863,0.709864,0.766608,0.135999,0.123286,0.103259,0.899710,0.718072,0.972463,guard_captain|fort|shipyard
19,kept,5289,1400,539,2,221,0.385000,10.656429,24.110714,36.700714,0.164286,0.147857,0.139286,0.119286,0.173571,0.155714,0.907857,2.982857,1.386348,3.471031,2.628844,0.511863,0.709864,0.766608,0.135999,0.123286,0.103259,0.899710,0.718072,0.972463,guard_captain|fort|shipyard
20,learned,7574,1400,553,0,236,0.395000,10.604286,25.220000,37.638571,0.121429,0.113571,0.077143,0.069286,0.310714,0.292143,0.837857,2.602143,1.330577,3.261961,2.562332,0.443022,0.796096,0.843627,0.091119,0.082602,0.225008,0.680696,0.543855,0.981550,guard_captain|fire_plans|fort|shipyard
21,learned,16017,1400,576,2,203,0.411429,10.930714,26.239286,34.673571,0.211429,0.194286,0.210000,0.183571,0.355714,0.325000,0.762857,1.955000,1.302242,3.327216,2.718329,0.622484,0.599621,0.895230,0.185554,0.204968,0.318146,0.456066,0.387261,0.789961,guard_captain|fire_plans|fort|shipyard
22,learned,23161,1400,599,2,275,0.427857,10.821429,27.486429,33.889286,0.175714,0.160714,0.156429,0.139286,0.325714,0.305714,0.697143,1.628571,1.256822,3.295482,2.882293,0.562616,0.658958,0.929804,0.132537,0.141837,0.247553,0.372721,0.455942,0.827521,guard_captain|fire_plans|fort|shipyard
23,kept,23161,1400,599,2,275,0.427857,10.821429,27.486429,33.889286,0.175714,0.160714,0.156429,0.139286,0.325714,0.305714,0.697143,1.628571,1.256822,3.295482,2.882293,0.562616,0.658958,0.929804,0.132537,0.141837,0.247553,0.372721,0.455942,0.827521,guard_captain|fire_plans|fort|shipyard
24,kept,23161,1400,599,2,275,0.427857,10.821429,27.486429,33.889286,0.175714,0.160714,0.156429,0.139286,0.325714,0.305714,0.697143,1.628571,1.256822,3.295482,2.882293,0.562616,0.658958,0.929804,0.132537,0.141837,0.247553,0.372721,0.455942,0.827521,guard_captain|fire_plans|fort|shipyard
25,kept,23161,1400,599,2,275,0.427857,10.821429,27.486429,33.889286,0.175714,0.160714,0.156429,0.139286,0.325714,0.305714,0.697143,1.628571,1.256822,3.295482,2.882293,0.562616,0.658958,0.929804,0.132537,0.141837,0.247553,0.372721,0.455942,0.827521,guard_captain|fire_plans|fort|shipyard
26,kept,23161,1400,599,2,275,0.427857,10.821429,27.486429,33.889286,0.175714,0.160714,0.156429,0.139286,0.325714,0.305714,0.697143,1.628571,1.256822,3.295482,2.882293,0.562616,0.658958,0.929804,0.132537,0.141837,0.247553,0.372721,0.455942,0.827521,guard_captain|fire_plans|fort|shipyard
27,learned,23493,1400,604,1,243,0.431429,10.841429,25.812857,32.085714,0.122857,0.114286,0.113571,0.100000,0.228571,0.210000,0.762857,2.199286,1.336823,3.331065,3.116234,0.688735,0.613617,0.952969,0.088800,0.095031,0.165860,0.546932,0.635481,0.884439,guard_captain|fire_plans|fort|shipyard
28,kept,23493,1400,604,1,243,0.431429,10.841429,25.812857,32.085714,0.122857,0.114286,0.113571,0.100000,0.228571,0.210000,0.762857,2.199286,1.336823,3.331065,3.116234,0.688735,0.613617,0.952969,0.088800,0.095031,0.165860,0.546932,0.635481,0.884439,guard_captain|fire_plans|fort|shipyard
29,learned,32078,1400,638,0,311,0.455714,10.592857,27.647857,31.867143,0.111429,0.102857,0.112857,0.102857,0.193571,0.181429,0.810714,2.453571,1.404294,3.547018,3.328907,0.770643,0.741123,0.968489,0.059496,0.109317,0.111126,0.592287,0.436198,0.816075,guard_captain|fire_plans|fort|shipyard
30,kept,32078,1400,638,0,311,0.455714,10.592857,27.647857,31.867143,0.111429,0.102857,0.112857,0.102857,0.193571,0.181429,0.810714,2.453571,1.404294,3.547018,3.328907,0.770643,0.741123,0.968489,0.059496,0.109317,0.111126,0.592287,0.436198,0.816075,guard_captain|fire_plans|fort|shipyard
31,learned,34548,1400,646,0,335,0.461429,10.712143,26.847143,30.359286,0.072143,0.064286,0.086429,0.070714,0.135000,0.127143,0.715000,1.774286,1.547119,3.599514,3.132528,0.594047,0.522476,0.810665,0.039862,0.073242,0.074455,0.396832,0.295187,0.586879,guard_captain|fire_plans|fort|shipyard
