generation,status,fitness,games,wins,draws,port_wins,port_losses,dominance_cap_penalty,matchup_floor_penalty,matchup_recovery_bonus,port_loss_pressure_penalty,survival_infra_bonus,min_matchup_win_rate,win_rate,avg_turns,avg_assets,avg_opponent_assets,shipyard_started_rate,shipyard_completed_rate,fort_started_rate,fort_completed_rate,trade_guild_started_rate,trade_guild_completed_rate,fishing_dock_built_rate,fishing_dock_active_rate,avg_fishing_boats,dry_dock_started_rate,dry_dock_completed_rate,avg_damaged_ships,avg_raid_actions,guard_captain_rate,avg_guard_captains,trade_weight,raid_weight,guard_weight,fire_weight,convoy_bias,ship_bias,shipyard_bias,fort_bias,trade_guild_bias,fishing_dock_bias,fishing_boat_bias,dry_dock_bias,repair_bias,guard_captain_bias,fire_plans_bias,construction_idle_bias,build_priority
0,initial,-138348,360,47,0,10,206,0,29746,0,16480,10280,0.000000,0.130556,10.216667,17.036111,73.583333,0.472222,0.461111,0.077778,0.066667,0.094444,0.069444,0.733333,0.702778,0.911111,0.280556,0.269444,0.036111,5.866667,0.930556,2.250000,2.534325,0.549850,0.606559,3.683556,0.263416,0.658816,0.647500,0.204485,0.229705,0.960860,0.140831,0.892854,0.370062,0.838904,0.987331,0.409693,shipyard|fishing_boat|dry_dock|guard_captain|fort|fire_plans
1,learned,-130136,360,50,0,8,183,0,27995,0,14640,10100,0.000000,0.138889,10.311111,18.072222,68.419444,0.452778,0.438889,0.113889,0.102778,0.211111,0.191667,0.750000,0.722222,1.030556,0.286111,0.247222,0.030556,5.791667,0.905556,2.152778,2.262664,0.372775,0.376067,3.668183,0.163318,0.646448,0.412454,0.126781,0.512553,0.861429,0.087315,0.933570,0.549661,0.705283,0.992145,0.615683,shipyard|fishing_boat|dry_dock|guard_captain|fort|fire_plans
2,kept,-130136,360,50,0,8,183,0,27995,0,14640,10100,0.000000,0.138889,10.311111,18.072222,68.419444,0.452778,0.438889,0.113889,0.102778,0.211111,0.191667,0.750000,0.722222,1.030556,0.286111,0.247222,0.030556,5.791667,0.905556,2.152778,2.262664,0.372775,0.376067,3.668183,0.163318,0.646448,0.412454,0.126781,0.512553,0.861429,0.087315,0.933570,0.549661,0.705283,0.992145,0.615683,shipyard|fishing_boat|dry_dock|guard_captain|fort|fire_plans
3,learned,-114097,360,67,1,12,180,0,23441,0,14400,10164,0.000000,0.186111,10.630556,22.969444,61.005556,0.477778,0.458333,0.133333,0.122222,0.291667,0.272222,0.780556,0.758333,1.122222,0.308333,0.269444,0.036111,6.633333,0.866667,2.077778,2.108139,0.444281,0.270159,3.645267,0.101257,0.400798,0.440181,0.089323,0.523588,0.833298,0.054136,0.857011,0.597027,0.643908,0.736963,0.401770,shipyard|fishing_boat|dry_dock|guard_captain|fort|fire_plans
4,kept,-114097,360,67,1,12,180,0,23441,0,14400,10164,0.000000,0.186111,10.630556,22.969444,61.005556,0.477778,0.458333,0.133333,0.122222,0.291667,0.272222,0.780556,0.758333,1.122222,0.308333,0.269444,0.036111,6.633333,0.866667,2.077778,2.108139,0.444281,0.270159,3.645267,0.101257,0.400798,0.440181,0.089323,0.523588,0.833298,0.054136,0.857011,0.597027,0.643908,0.736963,0.401770,shipyard|fishing_boat|dry_dock|guard_captain|fort|fire_plans
5,kept,-114097,360,67,1,12,180,0,23441,0,14400,10164,0.000000,0.186111,10.630556,22.969444,61.005556,0.477778,0.458333,0.133333,0.122222,0.291667,0.272222,0.780556,0.758333,1.122222,0.308333,0.269444,0.036111,6.633333,0.866667,2.077778,2.108139,0.444281,0.270159,3.645267,0.101257,0.400798,0.440181,0.089323,0.523588,0.833298,0.054136,0.857011,0.597027,0.643908,0.736963,0.401770,shipyard|fishing_boat|dry_dock|guard_captain|fort|fire_plans
6,learned,-106532,360,79,1,20,171,0,22393,0,13680,7868,0.000000,0.219444,10.772222,29.022222,62.225000,0.513889,0.491667,0.122222,0.105556,0.266667,0.250000,0.772222,0.747222,3.025000,0.322222,0.283333,0.050000,6.966667,0.700000,1.238889,2.250718,0.313612,0.429607,3.820880,0.089550,0.532860,0.495753,0.055380,0.423215,0.881250,0.329658,0.795329,0.585395,0.399223,0.654506,0.256989,shipyard|fishing_boat|dry_dock|guard_captain|fort|fire_plans
7,learned,-101108,360,78,0,27,145,0,22747,0,11600,8064,0.000000,0.216667,10.775000,30.305556,58.291667,0.475000,0.441667,0.208333,0.169444,0.150000,0.108333,0.794444,0.761111,3.641667,0.266667,0.216667,0.088889,7.347222,0.711111,1.272222,2.084871,0.244003,0.376227,3.732205,0.055521,0.710373,0.425308,0.278437,0.271841,0.926375,0.455534,0.701969,0.426573,0.404210,0.785794,0.159333,shipyard|fishing_boat|dry_dock|guard_captain|fort|fire_plans
8,learned,-84274,360,100,0,39,143,950,18894,0,11440,8604,0.000000,0.277778,10.908333,31.705556,51.477778,0.427778,0.397222,0.183333,0.155556,0.255556,0.225000,0.805556,0.788889,3.227778,0.186111,0.152778,0.136111,8.363889,0.808333,1.605556,1.904077,0.151282,0.233261,3.832240,0.034423,0.727686,0.304268,0.172631,0.329174,0.695801,0.417420,0.435221,0.373291,0.490088,0.606433,0.151260,shipyard|fishing_boat|dry_dock|guard_captain|fort|fire_plans
9,kept,-84274,360,100,0,39,143,950,18894,0,11440,8604,0.000000,0.277778,10.908333,31.705556,51.477778,0.427778,0.397222,0.183333,0.155556,0.255556,0.225000,0.805556,0.788889,3.227778,0.186111,0.152778,0.136111,8.363889,0.808333,1.605556,1.904077,0.151282,0.233261,3.832240,0.034423,0.727686,0.304268,0.172631,0.329174,0.695801,0.417420,0.435221,0.373291,0.490088,0.606433,0.151260,shipyard|fishing_boat|dry_dock|guard_captain|fort|fire_plans
10,learned,-83384,360,107,2,38,142,2953,20995,0,11360,8092,0.000000,0.297222,10.897222,36.119444,45.830556,0.547222,0.502778,0.205556,0.172222,0.327778,0.269444,0.675000,0.647222,3.708333,0.241667,0.191667,0.136111,9.630556,0.663889,1.122222,1.860378,0.093795,0.144622,4.015961,0.021342,0.831165,0.372367,0.107031,0.325824,0.431397,0.412191,0.456107,0.453591,0.303855,0.404189,0.093781,shipyard|fishing_boat|dry_dock|guard_captain|fort|fire_plans
11,kept,-83384,360,107,2,38,142,2953,20995,0,11360,8092,0.000000,0.297222,10.897222,36.119444,45.830556,0.547222,0.502778,0.205556,0.172222,0.327778,0.269444,0.675000,0.647222,3.708333,0.241667,0.191667,0.136111,9.630556,0.663889,1.122222,1.860378,0.093795,0.144622,4.015961,0.021342,0.831165,0.372367,0.107031,0.325824,0.431397,0.412191,0.456107,0.453591,0.303855,0.404189,0.093781,shipyard|fishing_boat|dry_dock|guard_captain|fort|fire_plans
12,kept,-83384,360,107,2,38,142,2953,20995,0,11360,8092,0.000000,0.297222,10.897222,36.119444,45.830556,0.547222,0.502778,0.205556,0.172222,0.327778,0.269444,0.675000,0.647222,3.708333,0.241667,0.191667,0.136111,9.630556,0.663889,1.122222,1.860378,0.093795,0.144622,4.015961,0.021342,0.831165,0.372367,0.107031,0.325824,0.431397,0.412191,0.456107,0.453591,0.303855,0.404189,0.093781,shipyard|fishing_boat|dry_dock|guard_captain|fort|fire_plans
13,kept,-83384,360,107,2,38,142,2953,20995,0,11360,8092,0.000000,0.297222,10.897222,36.119444,45.830556,0.547222,0.502778,0.205556,0.172222,0.327778,0.269444,0.675000,0.647222,3.708333,0.241667,0.191667,0.136111,9.630556,0.663889,1.122222,1.860378,0.093795,0.144622,4.015961,0.021342,0.831165,0.372367,0.107031,0.325824,0.431397,0.412191,0.456107,0.453591,0.303855,0.404189,0.093781,shipyard|fishing_boat|dry_dock|guard_captain|fort|fire_plans
14,learned,-59561,360,130,2,75,129,3047,14693,0,10320,8832,0.000000,0.361111,10.636111,36.150000,50.872222,0.463889,0.438889,0.275000,0.238889,0.319444,0.266667,0.655556,0.625000,2.102778,0.188889,0.141667,0.227778,11.530556,0.736111,1.372222,1.709873,0.058153,0.089666,3.755949,0.100494,0.822243,0.230867,0.230406,0.202011,0.314248,0.268415,0.282787,0.501081,0.325085,0.275046,0.058144,shipyard|fishing_boat|dry_dock|guard_captain|fort|fire_plans
15,kept,-59561,360,130,2,75,129,3047,14693,0,10320,8832,0.000000,0.361111,10.636111,36.150000,50.872222,0.463889,0.438889,0.275000,0.238889,0.319444,0.266667,0.655556,0.625000,2.102778,0.188889,0.141667,0.227778,11.530556,0.736111,1.372222,1.709873,0.058153,0.089666,3.755949,0.100494,0.822243,0.230867,0.230406,0.202011,0.314248,0.268415,0.282787,0.501081,0.325085,0.275046,0.058144,shipyard|fishing_boat|dry_dock|guard_captain|fort|fire_plans
16,kept,-59561,360,130,2,75,129,3047,14693,0,10320,8832,0.000000,0.361111,10.636111,36.150000,50.872222,0.463889,0.438889,0.275000,0.238889,0.319444,0.266667,0.655556,0.625000,2.102778,0.188889,0.141667,0.227778,11.530556,0.736111,1.372222,1.709873,0.058153,0.089666,3.755949,0.100494,0.822243,0.230867,0.230406,0.202011,0.314248,0.268415,0.282787,0.501081,0.325085,0.275046,0.058144,shipyard|fishing_boat|dry_dock|guard_captain|fort|fire_plans
17,kept,-59561,360,130,2,75,129,3047,14693,0,10320,8832,0.000000,0.361111,10.636111,36.150000,50.872222,0.463889,0.438889,0.275000,0.238889,0.319444,0.266667,0.655556,0.625000,2.102778,0.188889,0.141667,0.227778,11.530556,0.736111,1.372222,1.709873,0.058153,0.089666,3.755949,0.100494,0.822243,0.230867,0.230406,0.202011,0.314248,0.268415,0.282787,0.501081,0.325085,0.275046,0.058144,shipyard|fishing_boat|dry_dock|guard_captain|fort|fire_plans
18,kept,-59561,360,130,2,75,129,3047,14693,0,10320,8832,0.000000,0.361111,10.636111,36.150000,50.872222,0.463889,0.438889,0.275000,0.238889,0.319444,0.266667,0.655556,0.625000,2.102778,0.188889,0.141667,0.227778,11.530556,0.736111,1.372222,1.709873,0.058153,0.089666,3.755949,0.100494,0.822243,0.230867,0.230406,0.202011,0.314248,0.268415,0.282787,0.501081,0.325085,0.275046,0.058144,shipyard|fishing_boat|dry_dock|guard_captain|fort|fire_plans
19,kept,-59561,360,130,2,75,129,3047,14693,0,10320,8832,0.000000,0.361111,10.636111,36.150000,50.872222,0.463889,0.438889,0.275000,0.238889,0.319444,0.266667,0.655556,0.625000,2.102778,0.188889,0.141667,0.227778,11.530556,0.736111,1.372222,1.709873,0.058153,0.089666,3.755949,0.100494,0.822243,0.230867,0.230406,0.202011,0.314248,0.268415,0.282787,0.501081,0.325085,0.275046,0.058144,shipyard|fishing_boat|dry_dock|guard_captain|fort|fire_plans
20,kept,-59561,360,130,2,75,129,3047,14693,0,10320,8832,0.000000,0.361111,10.636111,36.150000,50.872222,0.463889,0.438889,0.275000,0.238889,0.319444,0.266667,0.655556,0.625000,2.102778,0.188889,0.141667,0.227778,11.530556,0.736111,1.372222,1.709873,0.058153,0.089666,3.755949,0.100494,0.822243,0.230867,0.230406,0.202011,0.314248,0.268415,0.282787,0.501081,0.325085,0.275046,0.058144,shipyard|fishing_boat|dry_dock|guard_captain|fort|fire_plans
21,kept,-59561,360,130,2,75,129,3047,14693,0,10320,8832,0.000000,0.361111,10.636111,36.150000,50.872222,0.463889,0.438889,0.275000,0.238889,0.319444,0.266667,0.655556,0.625000,2.102778,0.188889,0.141667,0.227778,11.530556,0.736111,1.372222,1.709873,0.058153,0.089666,3.755949,0.100494,0.822243,0.230867,0.230406,0.202011,0.314248,0.268415,0.282787,0.501081,0.325085,0.275046,0.058144,shipyard|fishing_boat|dry_dock|guard_captain|fort|fire_plans
22,kept,-59561,360,130,2,75,129,3047,14693,0,10320,8832,0.000000,0.361111,10.636111,36.150000,50.872222,0.463889,0.438889,0.275000,0.238889,0.319444,0.266667,0.655556,0.625000,2.102778,0.188889,0.141667,0.227778,11.530556,0.736111,1.372222,1.709873,0.058153,0.089666,3.755949,0.100494,0.822243,0.230867,0.230406,0.202011,0.314248,0.268415,0.282787,0.501081,0.325085,0.275046,0.058144,shipyard|fishing_boat|dry_dock|guard_captain|fort|fire_plans
23,kept,-59561,360,130,2,75,129,3047,14693,0,10320,8832,0.000000,0.361111,10.636111,36.150000,50.872222,0.463889,0.438889,0.275000,0.238889,0.319444,0.266667,0.655556,0.625000,2.102778,0.188889,0.141667,0.227778,11.530556,0.736111,1.372222,1.709873,0.058153,0.089666,3.755949,0.100494,0.822243,0.230867,0.230406,0.202011,0.314248,0.268415,0.282787,0.501081,0.325085,0.275046,0.058144,shipyard|fishing_boat|dry_dock|guard_captain|fort|fire_plans
24,kept,-59561,360,130,2,75,129,3047,14693,0,10320,8832,0.000000,0.361111,10.636111,36.150000,50.872222,0.463889,0.438889,0.275000,0.238889,0.319444,0.266667,0.655556,0.625000,2.102778,0.188889,0.141667,0.227778,11.530556,0.736111,1.372222,1.709873,0.058153,0.089666,3.755949,0.100494,0.822243,0.230867,0.230406,0.202011,0.314248,0.268415,0.282787,0.501081,0.325085,0.275046,0.058144,shipyard|fishing_boat|dry_dock|guard_captain|fort|fire_plans
25,kept,-59561,360,130,2,75,129,3047,14693,0,10320,8832,0.000000,0.361111,10.636111,36.150000,50.872222,0.463889,0.438889,0.275000,0.238889,0.319444,0.266667,0.655556,0.625000,2.102778,0.188889,0.141667,0.227778,11.530556,0.736111,1.372222,1.709873,0.058153,0.089666,3.755949,0.100494,0.822243,0.230867,0.230406,0.202011,0.314248,0.268415,0.282787,0.501081,0.325085,0.275046,0.058144,shipyard|fishing_boat|dry_dock|guard_captain|fort|fire_plans
26,kept,-59561,360,130,2,75,129,3047,14693,0,10320,8832,0.000000,0.361111,10.636111,36.150000,50.872222,0.463889,0.438889,0.275000,0.238889,0.319444,0.266667,0.655556,0.625000,2.102778,0.188889,0.141667,0.227778,11.530556,0.736111,1.372222,1.709873,0.058153,0.089666,3.755949,0.100494,0.822243,0.230867,0.230406,0.202011,0.314248,0.268415,0.282787,0.501081,0.325085,0.275046,0.058144,shipyard|fishing_boat|dry_dock|guard_captain|fort|fire_plans
27,kept,-59561,360,130,2,75,129,3047,14693,0,10320,8832,0.000000,0.361111,10.636111,36.150000,50.872222,0.463889,0.438889,0.275000,0.238889,0.319444,0.266667,0.655556,0.625000,2.102778,0.188889,0.141667,0.227778,11.530556,0.736111,1.372222,1.709873,0.058153,0.089666,3.755949,0.100494,0.822243,0.230867,0.230406,0.202011,0.314248,0.268415,0.282787,0.501081,0.325085,0.275046,0.058144,shipyard|fishing_boat|dry_dock|guard_captain|fort|fire_plans
28,kept,-59561,360,130,2,75,129,3047,14693,0,10320,8832,0.000000,0.361111,10.636111,36.150000,50.872222,0.463889,0.438889,0.275000,0.238889,0.319444,0.266667,0.655556,0.625000,2.102778,0.188889,0.141667,0.227778,11.530556,0.736111,1.372222,1.709873,0.058153,0.089666,3.755949,0.100494,0.822243,0.230867,0.230406,0.202011,0.314248,0.268415,0.282787,0.501081,0.325085,0.275046,0.058144,shipyard|fishing_boat|dry_dock|guard_captain|fort|fire_plans
29,kept,-59561,360,130,2,75,129,3047,14693,0,10320,8832,0.000000,0.361111,10.636111,36.150000,50.872222,0.463889,0.438889,0.275000,0.238889,0.319444,0.266667,0.655556,0.625000,2.102778,0.188889,0.141667,0.227778,11.530556,0.736111,1.372222,1.709873,0.058153,0.089666,3.755949,0.100494,0.822243,0.230867,0.230406,0.202011,0.314248,0.268415,0.282787,0.501081,0.325085,0.275046,0.058144,shipyard|fishing_boat|dry_dock|guard_captain|fort|fire_plans
30,kept,-59561,360,130,2,75,129,3047,14693,0,10320,8832,0.000000,0.361111,10.636111,36.150000,50.872222,0.463889,0.438889,0.275000,0.238889,0.319444,0.266667,0.655556,0.625000,2.102778,0.188889,0.141667,0.227778,11.530556,0.736111,1.372222,1.709873,0.058153,0.089666,3.755949,0.100494,0.822243,0.230867,0.230406,0.202011,0.314248,0.268415,0.282787,0.501081,0.325085,0.275046,0.058144,shipyard|fishing_boat|dry_dock|guard_captain|fort|fire_plans
31,kept,-59561,360,130,2,75,129,3047,14693,0,10320,8832,0.000000,0.361111,10.636111,36.150000,50.872222,0.463889,0.438889,0.275000,0.238889,0.319444,0.266667,0.655556,0.625000,2.102778,0.188889,0.141667,0.227778,11.530556,0.736111,1.372222,1.709873,0.058153,0.089666,3.755949,0.100494,0.822243,0.230867,0.230406,0.202011,0.314248,0.268415,0.282787,0.501081,0.325085,0.275046,0.058144,shipyard|fishing_boat|dry_dock|guard_captain|fort|fire_plans
32,kept,-59561,360,130,2,75,129,3047,14693,0,10320,8832,0.000000,0.361111,10.636111,36.150000,50.872222,0.463889,0.438889,0.275000,0.238889,0.319444,0.266667,0.655556,0.625000,2.102778,0.188889,0.141667,0.227778,11.530556,0.736111,1.372222,1.709873,0.058153,0.089666,3.755949,0.100494,0.822243,0.230867,0.230406,0.202011,0.314248,0.268415,0.282787,0.501081,0.325085,0.275046,0.058144,shipyard|fishing_boat|dry_dock|guard_captain|fort|fire_plans
33,kept,-59561,360,130,2,75,129,3047,14693,0,10320,8832,0.000000,0.361111,10.636111,36.150000,50.872222,0.463889,0.438889,0.275000,0.238889,0.319444,0.266667,0.655556,0.625000,2.102778,0.188889,0.141667,0.227778,11.530556,0.736111,1.372222,1.709873,0.058153,0.089666,3.755949,0.100494,0.822243,0.230867,0.230406,0.202011,0.314248,0.268415,0.282787,0.501081,0.325085,0.275046,0.058144,shipyard|fishing_boat|dry_dock|guard_captain|fort|fire_plans
34,learned,-58930,360,140,0,72,127,5765,16445,0,10160,8584,0.000000,0.388889,10.583333,44.077778,49.127778,0.550000,0.522222,0.275000,0.233333,0.202778,0.166667,0.591667,0.580556,5.019444,0.222222,0.175000,0.222222,11.816667,0.647222,1.091667,1.469498,0.036055,0.055593,3.878579,0.062306,0.800075,0.338485,0.186751,0.125247,0.285266,0.536238,0.303680,0.442248,0.315960,0.170529,0.036049,shipyard|fishing_boat|dry_dock|fort|fire_plans
35,kept,-58930,360,140,0,72,127,5765,16445,0,10160,8584,0.000000,0.388889,10.583333,44.077778,49.127778,0.550000,0.522222,0.275000,0.233333,0.202778,0.166667,0.591667,0.580556,5.019444,0.222222,0.175000,0.222222,11.816667,0.647222,1.091667,1.469498,0.036055,0.055593,3.878579,0.062306,0.800075,0.338485,0.186751,0.125247,0.285266,0.536238,0.303680,0.442248,0.315960,0.170529,0.036049,shipyard|fishing_boat|dry_dock|fort|fire_plans
36,kept,-58930,360,140,0,72,127,5765,16445,0,10160,8584,0.000000,0.388889,10.583333,44.077778,49.127778,0.550000,0.522222,0.275000,0.233333,0.202778,0.166667,0.591667,0.580556,5.019444,0.222222,0.175000,0.222222,11.816667,0.647222,1.091667,1.469498,0.036055,0.055593,3.878579,0.062306,0.800075,0.338485,0.186751,0.125247,0.285266,0.536238,0.303680,0.442248,0.315960,0.170529,0.036049,shipyard|fishing_boat|dry_dock|fort|fire_plans
37,kept,-58930,360,140,0,72,127,5765,16445,0,10160,8584,0.000000,0.388889,10.583333,44.077778,49.127778,0.550000,0.522222,0.275000,0.233333,0.202778,0.166667,0.591667,0.580556,5.019444,0.222222,0.175000,0.222222,11.816667,0.647222,1.091667,1.469498,0.036055,0.055593,3.878579,0.062306,0.800075,0.338485,0.186751,0.125247,0.285266,0.536238,0.303680,0.442248,0.315960,0.170529,0.036049,shipyard|fishing_boat|dry_dock|fort|fire_plans
38,kept,-58930,360,140,0,72,127,5765,16445,0,10160,8584,0.000000,0.388889,10.583333,44.077778,49.127778,0.550000,0.522222,0.275000,0.233333,0.202778,0.166667,0.591667,0.580556,5.019444,0.222222,0.175000,0.222222,11.816667,0.647222,1.091667,1.469498,0.036055,0.055593,3.878579,0.062306,0.800075,0.338485,0.186751,0.125247,0.285266,0.536238,0.303680,0.442248,0.315960,0.170529,0.036049,shipyard|fishing_boat|dry_dock|fort|fire_plans
39,kept,-58930,360,140,0,72,127,5765,16445,0,10160,8584,0.000000,0.388889,10.583333,44.077778,49.127778,0.550000,0.522222,0.275000,0.233333,0.202778,0.166667,0.591667,0.580556,5.019444,0.222222,0.175000,0.222222,11.816667,0.647222,1.091667,1.469498,0.036055,0.055593,3.878579,0.062306,0.800075,0.338485,0.186751,0.125247,0.285266,0.536238,0.303680,0.442248,0.315960,0.170529,0.036049,shipyard|fishing_boat|dry_dock|fort|fire_plans
40,learned,-43179,360,153,0,61,107,6614,11894,0,8560,9336,0.000000,0.425000,10.983333,58.486111,45.275000,0.419444,0.383333,0.269444,0.250000,0.233333,0.202778,0.716667,0.688889,11.797222,0.172222,0.155556,0.233333,12.505556,0.822222,1.658333,1.279638,0.022354,0.034467,3.913704,0.039989,0.663345,0.209861,0.115786,0.196498,0.353710,0.712468,0.323389,0.274194,0.523961,0.105728,0.212693,shipyard|fishing_boat|dry_dock|fort|fire_plans
41,kept,-43179,360,153,0,61,107,6614,11894,0,8560,9336,0.000000,0.425000,10.983333,58.486111,45.275000,0.419444,0.383333,0.269444,0.250000,0.233333,0.202778,0.716667,0.688889,11.797222,0.172222,0.155556,0.233333,12.505556,0.822222,1.658333,1.279638,0.022354,0.034467,3.913704,0.039989,0.663345,0.209861,0.115786,0.196498,0.353710,0.712468,0.323389,0.274194,0.523961,0.105728,0.212693,shipyard|fishing_boat|dry_dock|fort|fire_plans
42,kept,-43179,360,153,0,61,107,6614,11894,0,8560,9336,0.000000,0.425000,10.983333,58.486111,45.275000,0.419444,0.383333,0.269444,0.250000,0.233333,0.202778,0.716667,0.688889,11.797222,0.172222,0.155556,0.233333,12.505556,0.822222,1.658333,1.279638,0.022354,0.034467,3.913704,0.039989,0.663345,0.209861,0.115786,0.196498,0.353710,0.712468,0.323389,0.274194,0.523961,0.105728,0.212693,shipyard|fishing_boat|dry_dock|fort|fire_plans
43,kept,-43179,360,153,0,61,107,6614,11894,0,8560,9336,0.000000,0.425000,10.983333,58.486111,45.275000,0.419444,0.383333,0.269444,0.250000,0.233333,0.202778,0.716667,0.688889,11.797222,0.172222,0.155556,0.233333,12.505556,0.822222,1.658333,1.279638,0.022354,0.034467,3.913704,0.039989,0.663345,0.209861,0.115786,0.196498,0.353710,0.712468,0.323389,0.274194,0.523961,0.105728,0.212693,shipyard|fishing_boat|dry_dock|fort|fire_plans
44,kept,-43179,360,153,0,61,107,6614,11894,0,8560,9336,0.000000,0.425000,10.983333,58.486111,45.275000,0.419444,0.383333,0.269444,0.250000,0.233333,0.202778,0.716667,0.688889,11.797222,0.172222,0.155556,0.233333,12.505556,0.822222,1.658333,1.279638,0.022354,0.034467,3.913704,0.039989,0.663345,0.209861,0.115786,0.196498,0.353710,0.712468,0.323389,0.274194,0.523961,0.105728,0.212693,shipyard|fishing_boat|dry_dock|fort|fire_plans
45,kept,-43179,360,153,0,61,107,6614,11894,0,8560,9336,0.000000,0.425000,10.983333,58.486111,45.275000,0.419444,0.383333,0.269444,0.250000,0.233333,0.202778,0.716667,0.688889,11.797222,0.172222,0.155556,0.233333,12.505556,0.822222,1.658333,1.279638,0.022354,0.034467,3.913704,0.039989,0.663345,0.209861,0.115786,0.196498,0.353710,0.712468,0.323389,0.274194,0.523961,0.105728,0.212693,shipyard|fishing_boat|dry_dock|fort|fire_plans
46,kept,-43179,360,153,0,61,107,6614,11894,0,8560,9336,0.000000,0.425000,10.983333,58.486111,45.275000,0.419444,0.383333,0.269444,0.250000,0.233333,0.202778,0.716667,0.688889,11.797222,0.172222,0.155556,0.233333,12.505556,0.822222,1.658333,1.279638,0.022354,0.034467,3.913704,0.039989,0.663345,0.209861,0.115786,0.196498,0.353710,0.712468,0.323389,0.274194,0.523961,0.105728,0.212693,shipyard|fishing_boat|dry_dock|fort|fire_plans
47,kept,-43179,360,153,0,61,107,6614,11894,0,8560,9336,0.000000,0.425000,10.983333,58.486111,45.275000,0.419444,0.383333,0.269444,0.250000,0.233333,0.202778,0.716667,0.688889,11.797222,0.172222,0.155556,0.233333,12.505556,0.822222,1.658333,1.279638,0.022354,0.034467,3.913704,0.039989,0.663345,0.209861,0.115786,0.196498,0.353710,0.712468,0.323389,0.274194,0.523961,0.105728,0.212693,shipyard|fishing_boat|dry_dock|fort|fire_plans
48,kept,-43179,360,153,0,61,107,6614,11894,0,8560,9336,0.000000,0.425000,10.983333,58.486111,45.275000,0.419444,0.383333,0.269444,0.250000,0.233333,0.202778,0.716667,0.688889,11.797222,0.172222,0.155556,0.233333,12.505556,0.822222,1.658333,1.279638,0.022354,0.034467,3.913704,0.039989,0.663345,0.209861,0.115786,0.196498,0.353710,0.712468,0.323389,0.274194,0.523961,0.105728,0.212693,shipyard|fishing_boat|dry_dock|fort|fire_plans
49,kept,-43179,360,153,0,61,107,6614,11894,0,8560,9336,0.000000,0.425000,10.983333,58.486111,45.275000,0.419444,0.383333,0.269444,0.250000,0.233333,0.202778,0.716667,0.688889,11.797222,0.172222,0.155556,0.233333,12.505556,0.822222,1.658333,1.279638,0.022354,0.034467,3.913704,0.039989,0.663345,0.209861,0.115786,0.196498,0.353710,0.712468,0.323389,0.274194,0.523961,0.105728,0.212693,shipyard|fishing_boat|dry_dock|fort|fire_plans
50,kept,-43179,360,153,0,61,107,6614,11894,0,8560,9336,0.000000,0.425000,10.983333,58.486111,45.275000,0.419444,0.383333,0.269444,0.250000,0.233333,0.202778,0.716667,0.688889,11.797222,0.172222,0.155556,0.233333,12.505556,0.822222,1.658333,1.279638,0.022354,0.034467,3.913704,0.039989,0.663345,0.209861,0.115786,0.196498,0.353710,0.712468,0.323389,0.274194,0.523961,0.105728,0.212693,shipyard|fishing_boat|dry_dock|fort|fire_plans
51,kept,-43179,360,153,0,61,107,6614,11894,0,8560,9336,0.000000,0.425000,10.983333,58.486111,45.275000,0.419444,0.383333,0.269444,0.250000,0.233333,0.202778,0.716667,0.688889,11.797222,0.172222,0.155556,0.233333,12.505556,0.822222,1.658333,1.279638,0.022354,0.034467,3.913704,0.039989,0.663345,0.209861,0.115786,0.196498,0.353710,0.712468,0.323389,0.274194,0.523961,0.105728,0.212693,shipyard|fishing_boat|dry_dock|fort|fire_plans
52,kept,-43179,360,153,0,61,107,6614,11894,0,8560,9336,0.000000,0.425000,10.983333,58.486111,45.275000,0.419444,0.383333,0.269444,0.250000,0.233333,0.202778,0.716667,0.688889,11.797222,0.172222,0.155556,0.233333,12.505556,0.822222,1.658333,1.279638,0.022354,0.034467,3.913704,0.039989,0.663345,0.209861,0.115786,0.196498,0.353710,0.712468,0.323389,0.274194,0.523961,0.105728,0.212693,shipyard|fishing_boat|dry_dock|fort|fire_plans
53,kept,-43179,360,153,0,61,107,6614,11894,0,8560,9336,0.000000,0.425000,10.983333,58.486111,45.275000,0.419444,0.383333,0.269444,0.250000,0.233333,0.202778,0.716667,0.688889,11.797222,0.172222,0.155556,0.233333,12.505556,0.822222,1.658333,1.279638,0.022354,0.034467,3.913704,0.039989,0.663345,0.209861,0.115786,0.196498,0.353710,0.712468,0.323389,0.274194,0.523961,0.105728,0.212693,shipyard|fishing_boat|dry_dock|fort|fire_plans
54,kept,-43179,360,153,0,61,107,6614,11894,0,8560,9336,0.000000,0.425000,10.983333,58.486111,45.275000,0.419444,0.383333,0.269444,0.250000,0.233333,0.202778,0.716667,0.688889,11.797222,0.172222,0.155556,0.233333,12.505556,0.822222,1.658333,1.279638,0.022354,0.034467,3.913704,0.039989,0.663345,0.209861,0.115786,0.196498,0.353710,0.712468,0.323389,0.274194,0.523961,0.105728,0.212693,shipyard|fishing_boat|dry_dock|fort|fire_plans
