generation,status,fitness,games,wins,draws,port_wins,port_losses,win_rate,avg_turns,avg_assets,avg_opponent_assets,shipyard_started_rate,shipyard_completed_rate,fort_started_rate,fort_completed_rate,trade_guild_started_rate,trade_guild_completed_rate,fishing_dock_built_rate,fishing_dock_active_rate,avg_fishing_boats,guard_captain_rate,avg_guard_captains,trade_weight,raid_weight,guard_weight,fire_weight,convoy_bias,ship_bias,shipyard_bias,fort_bias,trade_guild_bias,fishing_dock_bias,fishing_boat_bias,guard_captain_bias,fire_plans_bias,construction_idle_bias,build_priority
0,initial,-387032,1500,268,3,57,887,0.178667,9.874667,27.358667,71.136667,0.236000,0.187333,0.266000,0.230000,0.038000,0.027333,0.956667,0.918000,4.175333,0.722667,1.868000,2.056465,3.880366,2.114176,1.283839,0.843924,0.447665,0.661621,0.430563,0.141945,0.864699,0.619392,0.805065,0.983723,0.816469,fishing_dock|fort|guard_captain|shipyard|fire_plans|fishing_boat|trade_guild
1,kept,-387032,1500,268,3,57,887,0.178667,9.874667,27.358667,71.136667,0.236000,0.187333,0.266000,0.230000,0.038000,0.027333,0.956667,0.918000,4.175333,0.722667,1.868000,2.056465,3.880366,2.114176,1.283839,0.843924,0.447665,0.661621,0.430563,0.141945,0.864699,0.619392,0.805065,0.983723,0.816469,fishing_dock|fort|guard_captain|shipyard|fire_plans|fishing_boat|trade_guild
2,kept,-387032,1500,268,3,57,887,0.178667,9.874667,27.358667,71.136667,0.236000,0.187333,0.266000,0.230000,0.038000,0.027333,0.956667,0.918000,4.175333,0.722667,1.868000,2.056465,3.880366,2.114176,1.283839,0.843924,0.447665,0.661621,0.430563,0.141945,0.864699,0.619392,0.805065,0.983723,0.816469,fishing_dock|fort|guard_captain|shipyard|fire_plans|fishing_boat|trade_guild
3,learned,-363334,1500,302,3,91,861,0.201333,9.930000,24.349333,71.990667,0.249333,0.219333,0.338667,0.299333,0.092667,0.066000,0.892667,0.862667,2.149333,0.650000,1.532000,2.057374,3.902859,2.340010,1.483430,0.898550,0.640983,0.563799,0.623561,0.242376,0.653392,0.417650,0.583324,0.830284,0.849717,fishing_dock|fort|guard_captain|shipyard|fire_plans|fishing_boat|trade_guild
4,learned,-356318,1500,310,3,75,841,0.206667,9.950667,25.780000,71.706000,0.266000,0.241333,0.359333,0.312000,0.050667,0.036000,0.786000,0.762667,2.723333,0.726667,1.832667,1.887942,3.784703,2.229208,1.247981,0.934058,0.758245,0.668372,0.666597,0.157545,0.497761,0.522681,0.729161,0.626107,0.666821,fishing_dock|fort|guard_captain|shipyard|fire_plans|fishing_boat|trade_guild
5,learned,-350989,1500,316,1,124,843,0.210667,9.948000,29.467333,71.844667,0.254000,0.229333,0.386667,0.346000,0.062667,0.046667,0.882667,0.842000,3.220667,0.610000,1.374000,1.893733,3.542776,2.048887,1.299176,0.957137,0.842859,0.461968,0.777200,0.149772,0.673544,0.525335,0.521768,0.504339,0.480902,fishing_dock|fort|guard_captain|shipyard|fire_plans|fishing_boat|trade_guild
6,kept,-350989,1500,316,1,124,843,0.210667,9.948000,29.467333,71.844667,0.254000,0.229333,0.386667,0.346000,0.062667,0.046667,0.882667,0.842000,3.220667,0.610000,1.374000,1.893733,3.542776,2.048887,1.299176,0.957137,0.842859,0.461968,0.777200,0.149772,0.673544,0.525335,0.521768,0.504339,0.480902,fishing_dock|fort|guard_captain|shipyard|fire_plans|fishing_boat|trade_guild
7,learned,-348530,1500,324,2,111,848,0.216000,9.908000,30.926000,71.713333,0.283333,0.253333,0.333333,0.297333,0.046667,0.039333,0.841333,0.804000,4.127333,0.568667,1.186667,1.793987,3.370263,2.266170,1.128150,0.972139,0.897859,0.650279,0.592174,0.116215,0.553778,0.624244,0.452194,0.426511,0.621816,fishing_dock|fort|guard_captain|shipyard|fire_plans|fishing_boat|trade_guild
8,kept,-348530,1500,324,2,111,848,0.216000,9.908000,30.926000,71.713333,0.283333,0.253333,0.333333,0.297333,0.046667,0.039333,0.841333,0.804000,4.127333,0.568667,1.186667,1.793987,3.370263,2.266170,1.128150,0.972139,0.897859,0.650279,0.592174,0.116215,0.553778,0.624244,0.452194,0.426511,0.621816,fishing_dock|fort|guard_captain|shipyard|fire_plans|fishing_boat|trade_guild
9,kept,-348530,1500,324,2,111,848,0.216000,9.908000,30.926000,71.713333,0.283333,0.253333,0.333333,0.297333,0.046667,0.039333,0.841333,0.804000,4.127333,0.568667,1.186667,1.793987,3.370263,2.266170,1.128150,0.972139,0.897859,0.650279,0.592174,0.116215,0.553778,0.624244,0.452194,0.426511,0.621816,fishing_dock|fort|guard_captain|shipyard|fire_plans|fishing_boat|trade_guild
10,kept,-348530,1500,324,2,111,848,0.216000,9.908000,30.926000,71.713333,0.283333,0.253333,0.333333,0.297333,0.046667,0.039333,0.841333,0.804000,4.127333,0.568667,1.186667,1.793987,3.370263,2.266170,1.128150,0.972139,0.897859,0.650279,0.592174,0.116215,0.553778,0.624244,0.452194,0.426511,0.621816,fishing_dock|fort|guard_captain|shipyard|fire_plans|fishing_boat|trade_guild
11,kept,-348530,1500,324,2,111,848,0.216000,9.908000,30.926000,71.713333,0.283333,0.253333,0.333333,0.297333,0.046667,0.039333,0.841333,0.804000,4.127333,0.568667,1.186667,1.793987,3.370263,2.266170,1.128150,0.972139,0.897859,0.650279,0.592174,0.116215,0.553778,0.624244,0.452194,0.426511,0.621816,fishing_dock|fort|guard_captain|shipyard|fire_plans|fishing_boat|trade_guild
12,kept,-348530,1500,324,2,111,848,0.216000,9.908000,30.926000,71.713333,0.283333,0.253333,0.333333,0.297333,0.046667,0.039333,0.841333,0.804000,4.127333,0.568667,1.186667,1.793987,3.370263,2.266170,1.128150,0.972139,0.897859,0.650279,0.592174,0.116215,0.553778,0.624244,0.452194,0.426511,0.621816,fishing_dock|fort|guard_captain|shipyard|fire_plans|fishing_boat|trade_guild
13,kept,-348530,1500,324,2,111,848,0.216000,9.908000,30.926000,71.713333,0.283333,0.253333,0.333333,0.297333,0.046667,0.039333,0.841333,0.804000,4.127333,0.568667,1.186667,1.793987,3.370263,2.266170,1.128150,0.972139,0.897859,0.650279,0.592174,0.116215,0.553778,0.624244,0.452194,0.426511,0.621816,fishing_dock|fort|guard_captain|shipyard|fire_plans|fishing_boat|trade_guild
14,learned,-321890,1500,363,2,102,815,0.242000,10.002667,32.230000,73.395333,0.302667,0.282667,0.394667,0.358000,0.085333,0.066667,0.711333,0.682667,4.644667,0.577333,1.156667,1.819358,3.171743,2.366706,0.993023,0.981891,0.826848,0.583902,0.720243,0.180412,0.368323,0.716693,0.385700,0.450814,0.498663,fishing_dock|fort|guard_captain|shipyard|fire_plans|fishing_boat|trade_guild
15,kept,-321890,1500,363,2,102,815,0.242000,10.002667,32.230000,73.395333,0.302667,0.282667,0.394667,0.358000,0.085333,0.066667,0.711333,0.682667,4.644667,0.577333,1.156667,1.819358,3.171743,2.366706,0.993023,0.981891,0.826848,0.583902,0.720243,0.180412,0.368323,0.716693,0.385700,0.450814,0.498663,fishing_dock|fort|guard_captain|shipyard|fire_plans|fishing_boat|trade_guild
