generation,status,fitness,games,wins,draws,port_wins,port_losses,dominance_cap_penalty,matchup_floor_penalty,min_matchup_win_rate,win_rate,avg_turns,avg_assets,avg_opponent_assets,shipyard_started_rate,shipyard_completed_rate,fort_started_rate,fort_completed_rate,trade_guild_started_rate,trade_guild_completed_rate,fishing_dock_built_rate,fishing_dock_active_rate,avg_fishing_boats,guard_captain_rate,avg_guard_captains,trade_weight,raid_weight,guard_weight,fire_weight,convoy_bias,ship_bias,shipyard_bias,fort_bias,trade_guild_bias,fishing_dock_bias,fishing_boat_bias,guard_captain_bias,fire_plans_bias,construction_idle_bias,build_priority
0,initial,-566972,1700,308,3,80,1001,0,128443,0.000000,0.181176,9.882941,40.105294,107.492353,0.447647,0.427647,0.335882,0.305294,0.050000,0.038235,0.946471,0.897647,6.436471,0.882941,2.367647,2.056465,3.880366,2.114176,1.283839,0.843924,0.447665,0.661621,0.430563,0.141945,0.864699,0.619392,0.805065,0.983723,0.816469,fishing_dock|fort|guard_captain|shipyard|fire_plans|fishing_boat|trade_guild
1,learned,-508550,1700,372,0,150,933,0,117942,0.000000,0.218824,9.957059,45.932941,110.578824,0.380000,0.360588,0.342353,0.325882,0.055294,0.043529,0.750000,0.708824,6.754706,0.917647,2.420000,2.239110,3.642419,1.883530,1.089811,0.898550,0.640983,0.560417,0.279866,0.092265,0.912055,0.460510,0.873292,0.930710,0.876710,fishing_boat|fort|guard_captain|shipyard|fire_plans|fishing_dock|trade_guild
2,kept,-508550,1700,372,0,150,933,0,117942,0.000000,0.218824,9.957059,45.932941,110.578824,0.380000,0.360588,0.342353,0.325882,0.055294,0.043529,0.750000,0.708824,6.754706,0.917647,2.420000,2.239110,3.642419,1.883530,1.089811,0.898550,0.640983,0.560417,0.279866,0.092265,0.912055,0.460510,0.873292,0.930710,0.876710,fishing_boat|fort|guard_captain|shipyard|fire_plans|fishing_dock|trade_guild
3,learned,-479182,1700,398,1,178,876,0,112697,0.000000,0.234118,9.944706,50.164706,105.115294,0.347647,0.325882,0.378824,0.357059,0.035882,0.027647,0.657647,0.636471,8.564706,0.885294,2.220000,2.399397,3.429859,2.078539,1.150962,0.934058,0.766639,0.434736,0.360812,0.059972,0.795307,0.545121,0.904432,0.927615,0.919862,fishing_boat|fort|fire_plans|shipyard|guard_captain|fishing_dock|trade_guild
4,learned,-464611,1700,428,0,178,919,0,109893,0.000000,0.251765,9.909412,56.462941,109.656471,0.435882,0.415882,0.272353,0.254118,0.025294,0.021176,0.675882,0.641176,10.901765,0.890000,2.307647,2.626490,3.512947,2.223203,1.041838,0.872359,0.796767,0.606140,0.234528,0.038982,0.812473,0.599556,0.871604,0.725421,0.920708,fishing_boat|fort|fire_plans|shipyard|guard_captain|fishing_dock|trade_guild
5,kept,-464611,1700,428,0,178,919,0,109893,0.000000,0.251765,9.909412,56.462941,109.656471,0.435882,0.415882,0.272353,0.254118,0.025294,0.021176,0.675882,0.641176,10.901765,0.890000,2.307647,2.626490,3.512947,2.223203,1.041838,0.872359,0.796767,0.606140,0.234528,0.038982,0.812473,0.599556,0.871604,0.725421,0.920708,fishing_boat|fort|fire_plans|shipyard|guard_captain|fishing_dock|trade_guild
6,kept,-464611,1700,428,0,178,919,0,109893,0.000000,0.251765,9.909412,56.462941,109.656471,0.435882,0.415882,0.272353,0.254118,0.025294,0.021176,0.675882,0.641176,10.901765,0.890000,2.307647,2.626490,3.512947,2.223203,1.041838,0.872359,0.796767,0.606140,0.234528,0.038982,0.812473,0.599556,0.871604,0.725421,0.920708,fishing_boat|fort|fire_plans|shipyard|guard_captain|fishing_dock|trade_guild
7,kept,-464611,1700,428,0,178,919,0,109893,0.000000,0.251765,9.909412,56.462941,109.656471,0.435882,0.415882,0.272353,0.254118,0.025294,0.021176,0.675882,0.641176,10.901765,0.890000,2.307647,2.626490,3.512947,2.223203,1.041838,0.872359,0.796767,0.606140,0.234528,0.038982,0.812473,0.599556,0.871604,0.725421,0.920708,fishing_boat|fort|fire_plans|shipyard|guard_captain|fishing_dock|trade_guild
8,learned,-419246,1700,492,0,213,934,0,101845,0.010000,0.289412,9.824118,74.795294,98.112941,0.385294,0.361176,0.182353,0.167647,0.025882,0.022941,0.708824,0.673529,19.727059,0.794706,1.627647,2.473183,3.519029,2.108903,1.273179,0.917033,0.867898,0.434606,0.152443,0.042538,0.671689,0.739711,0.692303,0.821524,0.809945,fishing_boat|fort|fire_plans|shipyard|guard_captain|fishing_dock|trade_guild
9,fragile,-419246,1700,492,0,213,934,0,101845,0.010000,0.289412,9.824118,74.795294,98.112941,0.385294,0.361176,0.182353,0.167647,0.025882,0.022941,0.708824,0.673529,19.727059,0.794706,1.627647,2.473183,3.519029,2.108903,1.273179,0.917033,0.867898,0.434606,0.152443,0.042538,0.671689,0.739711,0.692303,0.821524,0.809945,fishing_boat|fort|fire_plans|shipyard|guard_captain|fishing_dock|trade_guild
