generation,status,fitness,games,wins,draws,port_wins,win_rate,avg_turns,avg_assets,avg_opponent_assets,shipyard_started_rate,shipyard_completed_rate,fort_started_rate,fort_completed_rate,trade_guild_started_rate,trade_guild_completed_rate,guard_captain_rate,avg_guard_captains,trade_weight,raid_weight,guard_weight,fire_weight,convoy_bias,ship_bias,shipyard_bias,fort_bias,trade_guild_bias,guard_captain_bias,fire_plans_bias,construction_idle_bias,build_priority
0,initial,-54386,1300,308,4,81,0.236923,10.658462,18.577692,54.732308,0.254615,0.232308,0.284615,0.243077,0.130769,0.102308,0.910000,2.761538,2.056465,3.880366,2.114176,1.283839,0.843924,0.447665,0.661621,0.430563,0.141945,0.805065,0.983723,0.864699,guard_captain|fort|shipyard
1,kept,-54386,1300,308,4,81,0.236923,10.658462,18.577692,54.732308,0.254615,0.232308,0.284615,0.243077,0.130769,0.102308,0.910000,2.761538,2.056465,3.880366,2.114176,1.283839,0.843924,0.447665,0.661621,0.430563,0.141945,0.805065,0.983723,0.864699,guard_captain|fort|shipyard
2,kept,-54386,1300,308,4,81,0.236923,10.658462,18.577692,54.732308,0.254615,0.232308,0.284615,0.243077,0.130769,0.102308,0.910000,2.761538,2.056465,3.880366,2.114176,1.283839,0.843924,0.447665,0.661621,0.430563,0.141945,0.805065,0.983723,0.864699,guard_captain|fort|shipyard
3,learned,-54015,1300,305,2,87,0.234615,10.754615,17.800769,53.308462,0.252308,0.232308,0.232308,0.190000,0.110769,0.082308,0.925385,2.793077,2.006190,3.892266,2.037864,1.312428,0.771922,0.358434,0.746216,0.324161,0.118296,0.853799,0.987792,0.898525,guard_captain|fort|shipyard
4,kept,-54015,1300,305,2,87,0.234615,10.754615,17.800769,53.308462,0.252308,0.232308,0.232308,0.190000,0.110769,0.082308,0.925385,2.793077,2.006190,3.892266,2.037864,1.312428,0.771922,0.358434,0.746216,0.324161,0.118296,0.853799,0.987792,0.898525,guard_captain|fort|shipyard
5,kept,-54015,1300,305,2,87,0.234615,10.754615,17.800769,53.308462,0.252308,0.232308,0.232308,0.190000,0.110769,0.082308,0.925385,2.793077,2.006190,3.892266,2.037864,1.312428,0.771922,0.358434,0.746216,0.324161,0.118296,0.853799,0.987792,0.898525,guard_captain|fort|shipyard
6,learned,-42910,1300,345,2,90,0.265385,10.927692,18.738462,50.046154,0.266923,0.243846,0.294615,0.250769,0.104615,0.080769,0.902308,2.750769,2.131091,3.867032,2.104916,1.322417,0.677856,0.499260,0.598384,0.392300,0.088722,0.768390,0.844444,0.858932,guard_captain|fort|shipyard
7,learned,-41929,1300,352,3,62,0.270769,11.026154,17.667692,48.705385,0.281538,0.249231,0.251538,0.180000,0.191538,0.146923,0.902308,2.729231,2.137583,4.007790,2.223484,1.211849,0.610488,0.447019,0.680374,0.339718,0.199175,0.728049,0.883333,0.879006,guard_captain|fort|shipyard
8,kept,-41929,1300,352,3,62,0.270769,11.026154,17.667692,48.705385,0.281538,0.249231,0.251538,0.180000,0.191538,0.146923,0.902308,2.729231,2.137583,4.007790,2.223484,1.211849,0.610488,0.447019,0.680374,0.339718,0.199175,0.728049,0.883333,0.879006,guard_captain|fort|shipyard
9,kept,-41929,1300,352,3,62,0.270769,11.026154,17.667692,48.705385,0.281538,0.249231,0.251538,0.180000,0.191538,0.146923,0.902308,2.729231,2.137583,4.007790,2.223484,1.211849,0.610488,0.447019,0.680374,0.339718,0.199175,0.728049,0.883333,0.879006,guard_captain|fort|shipyard
10,kept,-41929,1300,352,3,62,0.270769,11.026154,17.667692,48.705385,0.281538,0.249231,0.251538,0.180000,0.191538,0.146923,0.902308,2.729231,2.137583,4.007790,2.223484,1.211849,0.610488,0.447019,0.680374,0.339718,0.199175,0.728049,0.883333,0.879006,guard_captain|fort|shipyard
11,learned,-31762,1300,387,1,71,0.297692,11.101538,18.356154,45.338462,0.300000,0.270769,0.237692,0.180769,0.147692,0.116923,0.851538,2.455385,2.099764,3.884690,2.358399,1.203919,0.505528,0.409794,0.749447,0.254788,0.149381,0.640276,0.908765,0.909255,fort|guard_captain|shipyard
12,kept,-31762,1300,387,1,71,0.297692,11.101538,18.356154,45.338462,0.300000,0.270769,0.237692,0.180769,0.147692,0.116923,0.851538,2.455385,2.099764,3.884690,2.358399,1.203919,0.505528,0.409794,0.749447,0.254788,0.149381,0.640276,0.908765,0.909255,fort|guard_captain|shipyard
13,learned,-26846,1300,404,0,84,0.310769,11.190000,18.778462,43.906154,0.300000,0.262308,0.197692,0.160769,0.149231,0.113077,0.864615,2.607692,2.211448,3.851777,2.312974,1.132615,0.441666,0.551566,0.738947,0.191091,0.187918,0.693579,0.931573,0.931941,fort|guard_captain|fire_plans|shipyard
14,kept,-26846,1300,404,0,84,0.310769,11.190000,18.778462,43.906154,0.300000,0.262308,0.197692,0.160769,0.149231,0.113077,0.864615,2.607692,2.211448,3.851777,2.312974,1.132615,0.441666,0.551566,0.738947,0.191091,0.187918,0.693579,0.931573,0.931941,fort|guard_captain|fire_plans|shipyard
15,learned,-6683,1300,470,3,116,0.361538,11.173846,20.849231,38.105385,0.332308,0.303077,0.122308,0.094615,0.149231,0.120000,0.838462,2.580000,2.258063,3.982450,2.367549,1.163871,0.412396,0.663675,0.638107,0.143318,0.140938,0.770185,0.824900,0.948956,fire_plans|guard_captain|fort|shipyard
16,learned,-5670,1300,471,1,157,0.362308,11.136923,21.784615,38.734615,0.329231,0.303846,0.091538,0.073846,0.121538,0.099231,0.802308,2.336923,2.345147,3.998740,2.223027,1.166102,0.437140,0.646074,0.596206,0.107489,0.114183,0.651436,0.742160,0.814069,fire_plans|guard_captain|fort|shipyard
17,kept,-5670,1300,471,1,157,0.362308,11.136923,21.784615,38.734615,0.329231,0.303846,0.091538,0.073846,0.121538,0.099231,0.802308,2.336923,2.345147,3.998740,2.223027,1.166102,0.437140,0.646074,0.596206,0.107489,0.114183,0.651436,0.742160,0.814069,fire_plans|guard_captain|fort|shipyard
18,learned,4154,1300,498,2,174,0.383077,11.174615,23.275385,35.826154,0.368462,0.342308,0.086154,0.066923,0.136154,0.113077,0.751538,1.925385,2.341059,3.865039,2.137448,1.249762,0.423752,0.734555,0.585767,0.080617,0.099009,0.524907,0.635354,0.685362,fire_plans|fort|shipyard
19,kept,4154,1300,498,2,174,0.383077,11.174615,23.275385,35.826154,0.368462,0.342308,0.086154,0.066923,0.136154,0.113077,0.751538,1.925385,2.341059,3.865039,2.137448,1.249762,0.423752,0.734555,0.585767,0.080617,0.099009,0.524907,0.635354,0.685362,fire_plans|fort|shipyard
20,kept,4154,1300,498,2,174,0.383077,11.174615,23.275385,35.826154,0.368462,0.342308,0.086154,0.066923,0.136154,0.113077,0.751538,1.925385,2.341059,3.865039,2.137448,1.249762,0.423752,0.734555,0.585767,0.080617,0.099009,0.524907,0.635354,0.685362,fire_plans|fort|shipyard
21,kept,4154,1300,498,2,174,0.383077,11.174615,23.275385,35.826154,0.368462,0.342308,0.086154,0.066923,0.136154,0.113077,0.751538,1.925385,2.341059,3.865039,2.137448,1.249762,0.423752,0.734555,0.585767,0.080617,0.099009,0.524907,0.635354,0.685362,fire_plans|fort|shipyard
22,kept,4154,1300,498,2,174,0.383077,11.174615,23.275385,35.826154,0.368462,0.342308,0.086154,0.066923,0.136154,0.113077,0.751538,1.925385,2.341059,3.865039,2.137448,1.249762,0.423752,0.734555,0.585767,0.080617,0.099009,0.524907,0.635354,0.685362,fire_plans|fort|shipyard
