generation,status,fitness,games,wins,draws,port_wins,win_rate,avg_turns,avg_assets,avg_opponent_assets,trade_weight,raid_weight,guard_weight,fire_weight,convoy_bias,ship_bias,build_priority
0,initial,-33192,800,179,0,103,0.223750,10.243750,17.746250,52.492500,4.476926,4.007473,1.544372,4.287975,0.742492,0.116016,shipyard|fire_plans|trade_guild
1,kept,-33192,800,179,0,103,0.223750,10.243750,17.746250,52.492500,4.476926,4.007473,1.544372,4.287975,0.742492,0.116016,shipyard|fire_plans|trade_guild
2,kept,-33192,800,179,0,103,0.223750,10.243750,17.746250,52.492500,4.476926,4.007473,1.544372,4.287975,0.742492,0.116016,shipyard|fire_plans|trade_guild
3,kept,-33192,800,179,0,103,0.223750,10.243750,17.746250,52.492500,4.476926,4.007473,1.544372,4.287975,0.742492,0.116016,shipyard|fire_plans|trade_guild
4,kept,-33192,800,179,0,103,0.223750,10.243750,17.746250,52.492500,4.476926,4.007473,1.544372,4.287975,0.742492,0.116016,shipyard|fire_plans|trade_guild
5,learned,-28667,800,192,1,119,0.240000,10.243750,19.931250,51.683750,4.483358,3.991843,1.557000,4.302215,0.739035,0.113696,shipyard|fire_plans|trade_guild
6,kept,-28667,800,192,1,119,0.240000,10.243750,19.931250,51.683750,4.483358,3.991843,1.557000,4.302215,0.739035,0.113696,shipyard|fire_plans|trade_guild
7,kept,-28667,800,192,1,119,0.240000,10.243750,19.931250,51.683750,4.483358,3.991843,1.557000,4.302215,0.739035,0.113696,shipyard|fire_plans|trade_guild
8,kept,-28667,800,192,1,119,0.240000,10.243750,19.931250,51.683750,4.483358,3.991843,1.557000,4.302215,0.739035,0.113696,shipyard|fire_plans|trade_guild
9,kept,-28667,800,192,1,119,0.240000,10.243750,19.931250,51.683750,4.483358,3.991843,1.557000,4.302215,0.739035,0.113696,shipyard|fire_plans|trade_guild
10,learned,-25499,800,203,0,123,0.253750,10.170000,19.926250,49.631250,4.478472,3.998203,1.557494,4.299275,0.733913,0.112937,shipyard|fire_plans|trade_guild
11,kept,-25499,800,203,0,123,0.253750,10.170000,19.926250,49.631250,4.478472,3.998203,1.557494,4.299275,0.733913,0.112937,shipyard|fire_plans|trade_guild
12,kept,-25499,800,203,0,123,0.253750,10.170000,19.926250,49.631250,4.478472,3.998203,1.557494,4.299275,0.733913,0.112937,shipyard|fire_plans|trade_guild
13,learned,-13806,800,244,0,208,0.305000,9.823750,23.482500,47.340000,4.472023,3.995359,1.554935,4.313289,0.739235,0.110678,shipyard|trade_guild
14,learned,-13035,800,249,1,209,0.311250,9.883750,23.323750,47.198750,4.464261,4.009801,1.540227,4.320843,0.739620,0.109479,shipyard|trade_guild
15,kept,-13035,800,249,1,209,0.311250,9.883750,23.323750,47.198750,4.464261,4.009801,1.540227,4.320843,0.739620,0.109479,shipyard|trade_guild
16,learned,-12680,800,247,1,214,0.308750,9.783750,23.661250,46.836250,4.455277,3.999129,1.553962,4.307816,0.736595,0.114835,shipyard|trade_guild
17,learned,-6431,800,270,1,244,0.337500,9.855000,25.055000,45.006250,4.460983,4.005095,1.545805,4.318077,0.727657,0.124455,shipyard|trade_guild
18,learned,-1795,800,287,0,251,0.358750,9.955000,27.173750,44.348750,4.447061,3.991285,1.537652,4.316330,0.721907,0.121966,shipyard|trade_guild
19,kept,-1795,800,287,0,251,0.358750,9.955000,27.173750,44.348750,4.447061,3.991285,1.537652,4.316330,0.721907,0.121966,shipyard|trade_guild
20,kept,-1795,800,287,0,251,0.358750,9.955000,27.173750,44.348750,4.447061,3.991285,1.537652,4.316330,0.721907,0.121966,shipyard|trade_guild
21,kept,-1795,800,287,0,251,0.358750,9.955000,27.173750,44.348750,4.447061,3.991285,1.537652,4.316330,0.721907,0.121966,shipyard|trade_guild
22,kept,-1795,800,287,0,251,0.358750,9.955000,27.173750,44.348750,4.447061,3.991285,1.537652,4.316330,0.721907,0.121966,shipyard|trade_guild
23,kept,-1795,800,287,0,251,0.358750,9.955000,27.173750,44.348750,4.447061,3.991285,1.537652,4.316330,0.721907,0.121966,shipyard|trade_guild
24,kept,-1795,800,287,0,251,0.358750,9.955000,27.173750,44.348750,4.447061,3.991285,1.537652,4.316330,0.721907,0.121966,shipyard|trade_guild
25,kept,-1795,800,287,0,251,0.358750,9.955000,27.173750,44.348750,4.447061,3.991285,1.537652,4.316330,0.721907,0.121966,shipyard|trade_guild
26,kept,-1795,800,287,0,251,0.358750,9.955000,27.173750,44.348750,4.447061,3.991285,1.537652,4.316330,0.721907,0.121966,shipyard|trade_guild
27,kept,-1795,800,287,0,251,0.358750,9.955000,27.173750,44.348750,4.447061,3.991285,1.537652,4.316330,0.721907,0.121966,shipyard|trade_guild
