generation,status,fitness,games,wins,draws,port_wins,win_rate,avg_turns,avg_assets,avg_opponent_assets,shipyard_started_rate,shipyard_completed_rate,fort_started_rate,fort_completed_rate,trade_guild_started_rate,trade_guild_completed_rate,trade_weight,raid_weight,guard_weight,fire_weight,convoy_bias,ship_bias,shipyard_bias,fort_bias,trade_guild_bias,fire_plans_bias,construction_idle_bias,build_priority
0,initial,-60608,1100,197,0,110,0.179091,9.668182,18.732727,60.403636,0.258182,0.213636,0.284545,0.107273,0.279091,0.118182,2.829701,3.897648,2.291902,4.678690,0.850563,0.547106,0.943011,0.284852,0.212292,0.902787,0.951346,
1,kept,-60608,1100,197,0,110,0.179091,9.668182,18.732727,60.403636,0.258182,0.213636,0.284545,0.107273,0.279091,0.118182,2.829701,3.897648,2.291902,4.678690,0.850563,0.547106,0.943011,0.284852,0.212292,0.902787,0.951346,
2,learned,-52202,1100,223,0,135,0.202727,9.520000,20.904545,58.583636,0.274545,0.231818,0.253636,0.113636,0.238182,0.107273,2.741537,3.969891,2.286202,4.747481,0.887922,0.553744,0.957258,0.240339,0.159219,0.927090,0.963510,
3,kept,-52202,1100,223,0,135,0.202727,9.520000,20.904545,58.583636,0.274545,0.231818,0.253636,0.113636,0.238182,0.107273,2.741537,3.969891,2.286202,4.747481,0.887922,0.553744,0.957258,0.240339,0.159219,0.927090,0.963510,
4,kept,-52202,1100,223,0,135,0.202727,9.520000,20.904545,58.583636,0.274545,0.231818,0.253636,0.113636,0.238182,0.107273,2.741537,3.969891,2.286202,4.747481,0.887922,0.553744,0.957258,0.240339,0.159219,0.927090,0.963510,
5,kept,-52202,1100,223,0,135,0.202727,9.520000,20.904545,58.583636,0.274545,0.231818,0.253636,0.113636,0.238182,0.107273,2.741537,3.969891,2.286202,4.747481,0.887922,0.553744,0.957258,0.240339,0.159219,0.927090,0.963510,
6,kept,-52202,1100,223,0,135,0.202727,9.520000,20.904545,58.583636,0.274545,0.231818,0.253636,0.113636,0.238182,0.107273,2.741537,3.969891,2.286202,4.747481,0.887922,0.553744,0.957258,0.240339,0.159219,0.927090,0.963510,
7,kept,-52202,1100,223,0,135,0.202727,9.520000,20.904545,58.583636,0.274545,0.231818,0.253636,0.113636,0.238182,0.107273,2.741537,3.969891,2.286202,4.747481,0.887922,0.553744,0.957258,0.240339,0.159219,0.927090,0.963510,
8,learned,-45702,1100,242,1,146,0.220000,9.832727,22.200000,56.601818,0.278182,0.237273,0.290909,0.110909,0.219091,0.110909,2.748963,4.040294,2.268631,4.810611,0.774835,0.436535,0.832394,0.246579,0.119414,0.867893,0.972632,
9,kept,-45702,1100,242,1,146,0.220000,9.832727,22.200000,56.601818,0.278182,0.237273,0.290909,0.110909,0.219091,0.110909,2.748963,4.040294,2.268631,4.810611,0.774835,0.436535,0.832394,0.246579,0.119414,0.867893,0.972632,
