generation,status,fitness,games,wins,draws,port_wins,port_losses,dominance_cap_penalty,matchup_floor_penalty,matchup_recovery_bonus,port_loss_pressure_penalty,survival_infra_bonus,min_matchup_win_rate,win_rate,avg_turns,avg_assets,avg_opponent_assets,shipyard_started_rate,shipyard_completed_rate,fort_started_rate,fort_completed_rate,trade_guild_started_rate,trade_guild_completed_rate,fishing_dock_built_rate,fishing_dock_active_rate,avg_fishing_boats,guard_captain_rate,avg_guard_captains,trade_weight,raid_weight,guard_weight,fire_weight,convoy_bias,ship_bias,shipyard_bias,fort_bias,trade_guild_bias,fishing_dock_bias,fishing_boat_bias,guard_captain_bias,fire_plans_bias,construction_idle_bias,build_priority
13,kept,-45394,170,43,1,14,78,0,10670,0,6240,4420,0.000000,0.252941,10.617647,25.482353,52.905882,0.576471,0.541176,0.258824,0.182353,0.229412,0.141176,0.617647,0.611765,1.435294,0.705882,1.441176,1.811127,4.658839,2.695986,0.550474,0.121554,0.313477,0.661703,0.991195,0.287455,0.308562,0.330285,0.328362,0.782117,0.112268,guard_captain|shipyard|fire_plans|trade_guild|fishing_boat
14,kept,-45394,170,43,1,14,78,0,10670,0,6240,4420,0.000000,0.252941,10.617647,25.482353,52.905882,0.576471,0.541176,0.258824,0.182353,0.229412,0.141176,0.617647,0.611765,1.435294,0.705882,1.441176,1.811127,4.658839,2.695986,0.550474,0.121554,0.313477,0.661703,0.991195,0.287455,0.308562,0.330285,0.328362,0.782117,0.112268,guard_captain|shipyard|fire_plans|trade_guild|fishing_boat
15,kept,-45394,170,43,1,14,78,0,10670,0,6240,4420,0.000000,0.252941,10.617647,25.482353,52.905882,0.576471,0.541176,0.258824,0.182353,0.229412,0.141176,0.617647,0.611765,1.435294,0.705882,1.441176,1.811127,4.658839,2.695986,0.550474,0.121554,0.313477,0.661703,0.991195,0.287455,0.308562,0.330285,0.328362,0.782117,0.112268,guard_captain|shipyard|fire_plans|trade_guild|fishing_boat
16,kept,-45394,170,43,1,14,78,0,10670,0,6240,4420,0.000000,0.252941,10.617647,25.482353,52.905882,0.576471,0.541176,0.258824,0.182353,0.229412,0.141176,0.617647,0.611765,1.435294,0.705882,1.441176,1.811127,4.658839,2.695986,0.550474,0.121554,0.313477,0.661703,0.991195,0.287455,0.308562,0.330285,0.328362,0.782117,0.112268,guard_captain|shipyard|fire_plans|trade_guild|fishing_boat
17,kept,-45394,170,43,1,14,78,0,10670,0,6240,4420,0.000000,0.252941,10.617647,25.482353,52.905882,0.576471,0.541176,0.258824,0.182353,0.229412,0.141176,0.617647,0.611765,1.435294,0.705882,1.441176,1.811127,4.658839,2.695986,0.550474,0.121554,0.313477,0.661703,0.991195,0.287455,0.308562,0.330285,0.328362,0.782117,0.112268,guard_captain|shipyard|fire_plans|trade_guild|fishing_boat
18,learned,-43533,170,44,0,7,72,0,10146,0,5760,4380,0.000000,0.258824,10.841176,24.970588,54.629412,0.611765,0.588235,0.258824,0.217647,0.376471,0.335294,0.458824,0.447059,1.382353,0.635294,1.205882,1.600702,4.587931,2.893849,0.349017,0.066855,0.172412,0.689812,0.860418,0.525189,0.169709,0.596681,0.245011,0.456256,0.226352,guard_captain|shipyard|fire_plans|trade_guild|fishing_boat
19,kept,-43533,170,44,0,7,72,0,10146,0,5760,4380,0.000000,0.258824,10.841176,24.970588,54.629412,0.611765,0.588235,0.258824,0.217647,0.376471,0.335294,0.458824,0.447059,1.382353,0.635294,1.205882,1.600702,4.587931,2.893849,0.349017,0.066855,0.172412,0.689812,0.860418,0.525189,0.169709,0.596681,0.245011,0.456256,0.226352,guard_captain|shipyard|fire_plans|trade_guild|fishing_boat
20,kept,-43533,170,44,0,7,72,0,10146,0,5760,4380,0.000000,0.258824,10.841176,24.970588,54.629412,0.611765,0.588235,0.258824,0.217647,0.376471,0.335294,0.458824,0.447059,1.382353,0.635294,1.205882,1.600702,4.587931,2.893849,0.349017,0.066855,0.172412,0.689812,0.860418,0.525189,0.169709,0.596681,0.245011,0.456256,0.226352,guard_captain|shipyard|fire_plans|trade_guild|fishing_boat
21,kept,-43533,170,44,0,7,72,0,10146,0,5760,4380,0.000000,0.258824,10.841176,24.970588,54.629412,0.611765,0.588235,0.258824,0.217647,0.376471,0.335294,0.458824,0.447059,1.382353,0.635294,1.205882,1.600702,4.587931,2.893849,0.349017,0.066855,0.172412,0.689812,0.860418,0.525189,0.169709,0.596681,0.245011,0.456256,0.226352,guard_captain|shipyard|fire_plans|trade_guild|fishing_boat
22,learned,-34153,170,49,0,11,56,0,6816,0,4480,3844,0.000000,0.288235,11.076471,40.858824,56.929412,0.594118,0.541176,0.264706,0.205882,0.494118,0.447059,0.723529,0.705882,8.241176,0.570588,0.958824,1.269622,4.303826,2.654613,0.191959,0.036770,0.499818,0.535150,0.784393,0.561417,0.466762,0.778175,0.143218,0.664313,0.124493,guard_captain|shipyard|trade_guild|fishing_boat
