generation,status,fitness,games,wins,draws,port_wins,port_losses,win_rate,avg_turns,avg_assets,avg_opponent_assets,shipyard_started_rate,shipyard_completed_rate,fort_started_rate,fort_completed_rate,trade_guild_started_rate,trade_guild_completed_rate,fishing_dock_built_rate,fishing_dock_active_rate,avg_fishing_boats,guard_captain_rate,avg_guard_captains,trade_weight,raid_weight,guard_weight,fire_weight,convoy_bias,ship_bias,shipyard_bias,fort_bias,trade_guild_bias,fishing_dock_bias,fishing_boat_bias,guard_captain_bias,fire_plans_bias,construction_idle_bias,build_priority
10,learned,-304153,1600,449,0,45,849,0.280625,10.261250,81.381875,80.283125,0.300000,0.262500,0.206875,0.146875,0.030000,0.024375,0.909375,0.870000,28.406250,0.631250,1.284375,2.284440,3.659545,2.078364,1.316014,0.583591,0.667744,0.561974,0.189794,0.251336,0.664926,0.955838,0.307337,0.789951,0.520340,fishing_dock|fort|guard_captain|shipyard|fishing_boat|fire_plans|trade_guild
11,learned,-287870,1600,464,1,157,834,0.290000,10.304375,61.225625,71.313125,0.328125,0.297500,0.033125,0.025000,0.081250,0.058750,0.933125,0.885625,15.904375,0.508750,0.836875,2.380208,3.867395,1.947116,1.095670,0.480148,0.784034,0.689378,0.130249,0.208931,0.782202,0.771791,0.199769,0.656767,0.660913,fishing_dock|guard_captain|shipyard|fishing_boat|fire_plans|trade_guild
12,kept,-287870,1600,464,1,157,834,0.290000,10.304375,61.225625,71.313125,0.328125,0.297500,0.033125,0.025000,0.081250,0.058750,0.933125,0.885625,15.904375,0.508750,0.836875,2.380208,3.867395,1.947116,1.095670,0.480148,0.784034,0.689378,0.130249,0.208931,0.782202,0.771791,0.199769,0.656767,0.660913,fishing_dock|guard_captain|shipyard|fishing_boat|fire_plans|trade_guild
13,learned,-255214,1600,503,0,180,770,0.314375,10.511250,52.559375,64.734375,0.340625,0.304375,0.026250,0.018750,0.150000,0.113750,0.934375,0.901250,11.595000,0.391250,0.547500,2.554523,3.759408,2.156159,1.209229,0.336090,0.609734,0.712110,0.084662,0.313339,0.726874,0.675517,0.129850,0.462756,0.624655,fishing_dock|guard_captain|shipyard|fishing_boat|fire_plans|trade_guild
14,kept,-255214,1600,503,0,180,770,0.314375,10.511250,52.559375,64.734375,0.340625,0.304375,0.026250,0.018750,0.150000,0.113750,0.934375,0.901250,11.595000,0.391250,0.547500,2.554523,3.759408,2.156159,1.209229,0.336090,0.609734,0.712110,0.084662,0.313339,0.726874,0.675517,0.129850,0.462756,0.624655,fishing_dock|guard_captain|shipyard|fishing_boat|fire_plans|trade_guild
15,kept,-255214,1600,503,0,180,770,0.314375,10.511250,52.559375,64.734375,0.340625,0.304375,0.026250,0.018750,0.150000,0.113750,0.934375,0.901250,11.595000,0.391250,0.547500,2.554523,3.759408,2.156159,1.209229,0.336090,0.609734,0.712110,0.084662,0.313339,0.726874,0.675517,0.129850,0.462756,0.624655,fishing_dock|guard_captain|shipyard|fishing_boat|fire_plans|trade_guild
16,learned,-252917,1600,494,2,188,720,0.308750,10.758750,35.212500,57.461875,0.355625,0.310625,0.048750,0.034375,0.243750,0.204375,0.885625,0.858125,5.107500,0.275625,0.351250,2.416804,3.998022,2.329823,1.174625,0.218458,0.746327,0.812871,0.175920,0.539710,0.626277,0.497578,0.084403,0.324612,0.504684,fishing_dock|guard_captain|shipyard|fishing_boat|fire_plans|trade_guild
17,learned,-247383,1600,499,2,184,697,0.311875,10.791875,40.270000,54.042500,0.332500,0.292500,0.031250,0.021250,0.291250,0.228125,0.922500,0.898125,7.076875,0.359375,0.439375,2.592498,3.773753,2.377542,1.268717,0.141998,0.830850,0.670226,0.114348,0.700811,0.757080,0.561999,0.164261,0.210998,0.487007,fishing_dock|shipyard|fishing_boat|fire_plans|trade_guild
18,kept,-247383,1600,499,2,184,697,0.311875,10.791875,40.270000,54.042500,0.332500,0.292500,0.031250,0.021250,0.291250,0.228125,0.922500,0.898125,7.076875,0.359375,0.439375,2.592498,3.773753,2.377542,1.268717,0.141998,0.830850,0.670226,0.114348,0.700811,0.757080,0.561999,0.164261,0.210998,0.487007,fishing_dock|shipyard|fishing_boat|fire_plans|trade_guild
19,kept,-247383,1600,499,2,184,697,0.311875,10.791875,40.270000,54.042500,0.332500,0.292500,0.031250,0.021250,0.291250,0.228125,0.922500,0.898125,7.076875,0.359375,0.439375,2.592498,3.773753,2.377542,1.268717,0.141998,0.830850,0.670226,0.114348,0.700811,0.757080,0.561999,0.164261,0.210998,0.487007,fishing_dock|shipyard|fishing_boat|fire_plans|trade_guild
20,kept,-247383,1600,499,2,184,697,0.311875,10.791875,40.270000,54.042500,0.332500,0.292500,0.031250,0.021250,0.291250,0.228125,0.922500,0.898125,7.076875,0.359375,0.439375,2.592498,3.773753,2.377542,1.268717,0.141998,0.830850,0.670226,0.114348,0.700811,0.757080,0.561999,0.164261,0.210998,0.487007,fishing_dock|shipyard|fishing_boat|fire_plans|trade_guild
21,learned,-186717,1600,581,1,207,614,0.363125,10.966250,62.414375,53.673750,0.322500,0.285000,0.028125,0.019375,0.275625,0.225000,0.934375,0.891875,15.383750,0.425000,0.542500,2.374782,3.556594,2.526658,1.196807,0.134172,0.890053,0.442415,0.074326,0.622235,0.842102,0.713139,0.279313,0.272693,0.594168,fishing_dock|shipyard|fishing_boat|fire_plans|trade_guild|fort
22,kept,-186717,1600,581,1,207,614,0.363125,10.966250,62.414375,53.673750,0.322500,0.285000,0.028125,0.019375,0.275625,0.225000,0.934375,0.891875,15.383750,0.425000,0.542500,2.374782,3.556594,2.526658,1.196807,0.134172,0.890053,0.442415,0.074326,0.622235,0.842102,0.713139,0.279313,0.272693,0.594168,fishing_dock|shipyard|fishing_boat|fire_plans|trade_guild|fort
23,kept,-186717,1600,581,1,207,614,0.363125,10.966250,62.414375,53.673750,0.322500,0.285000,0.028125,0.019375,0.275625,0.225000,0.934375,0.891875,15.383750,0.425000,0.542500,2.374782,3.556594,2.526658,1.196807,0.134172,0.890053,0.442415,0.074326,0.622235,0.842102,0.713139,0.279313,0.272693,0.594168,fishing_dock|shipyard|fishing_boat|fire_plans|trade_guild|fort
24,learned,-177196,1600,598,0,158,601,0.373750,11.035625,79.083750,52.359375,0.290000,0.245625,0.050000,0.030000,0.246875,0.193125,0.938125,0.900000,24.163125,0.268750,0.300000,2.514649,3.506691,2.617553,1.245187,0.087212,0.928534,0.287570,0.187412,0.650586,0.769041,0.813540,0.181553,0.177251,0.404325,fishing_dock|shipyard|fishing_boat|fire_plans|trade_guild|fort
25,learned,-160096,1600,619,5,180,581,0.386875,11.084375,72.243750,50.057500,0.226875,0.179375,0.115625,0.072500,0.297500,0.235000,0.937500,0.895625,19.396875,0.350000,0.412500,2.388758,3.468916,2.484428,1.162259,0.056688,0.733294,0.186920,0.305187,0.565641,0.795226,0.723625,0.211326,0.115213,0.262811,fishing_dock|shipyard|fishing_boat|fire_plans|trade_guild|fort
26,kept,-160096,1600,619,5,180,581,0.386875,11.084375,72.243750,50.057500,0.226875,0.179375,0.115625,0.072500,0.297500,0.235000,0.937500,0.895625,19.396875,0.350000,0.412500,2.388758,3.468916,2.484428,1.162259,0.056688,0.733294,0.186920,0.305187,0.565641,0.795226,0.723625,0.211326,0.115213,0.262811,fishing_dock|shipyard|fishing_boat|fire_plans|trade_guild|fort
27,kept,-160096,1600,619,5,180,581,0.386875,11.084375,72.243750,50.057500,0.226875,0.179375,0.115625,0.072500,0.297500,0.235000,0.937500,0.895625,19.396875,0.350000,0.412500,2.388758,3.468916,2.484428,1.162259,0.056688,0.733294,0.186920,0.305187,0.565641,0.795226,0.723625,0.211326,0.115213,0.262811,fishing_dock|shipyard|fishing_boat|fire_plans|trade_guild|fort
28,kept,-160096,1600,619,5,180,581,0.386875,11.084375,72.243750,50.057500,0.226875,0.179375,0.115625,0.072500,0.297500,0.235000,0.937500,0.895625,19.396875,0.350000,0.412500,2.388758,3.468916,2.484428,1.162259,0.056688,0.733294,0.186920,0.305187,0.565641,0.795226,0.723625,0.211326,0.115213,0.262811,fishing_dock|shipyard|fishing_boat|fire_plans|trade_guild|fort
29,kept,-160096,1600,619,5,180,581,0.386875,11.084375,72.243750,50.057500,0.226875,0.179375,0.115625,0.072500,0.297500,0.235000,0.937500,0.895625,19.396875,0.350000,0.412500,2.388758,3.468916,2.484428,1.162259,0.056688,0.733294,0.186920,0.305187,0.565641,0.795226,0.723625,0.211326,0.115213,0.262811,fishing_dock|shipyard|fishing_boat|fire_plans|trade_guild|fort
30,kept,-160096,1600,619,5,180,581,0.386875,11.084375,72.243750,50.057500,0.226875,0.179375,0.115625,0.072500,0.297500,0.235000,0.937500,0.895625,19.396875,0.350000,0.412500,2.388758,3.468916,2.484428,1.162259,0.056688,0.733294,0.186920,0.305187,0.565641,0.795226,0.723625,0.211326,0.115213,0.262811,fishing_dock|shipyard|fishing_boat|fire_plans|trade_guild|fort
31,kept,-160096,1600,619,5,180,581,0.386875,11.084375,72.243750,50.057500,0.226875,0.179375,0.115625,0.072500,0.297500,0.235000,0.937500,0.895625,19.396875,0.350000,0.412500,2.388758,3.468916,2.484428,1.162259,0.056688,0.733294,0.186920,0.305187,0.565641,0.795226,0.723625,0.211326,0.115213,0.262811,fishing_dock|shipyard|fishing_boat|fire_plans|trade_guild|fort
32,kept,-160096,1600,619,5,180,581,0.386875,11.084375,72.243750,50.057500,0.226875,0.179375,0.115625,0.072500,0.297500,0.235000,0.937500,0.895625,19.396875,0.350000,0.412500,2.388758,3.468916,2.484428,1.162259,0.056688,0.733294,0.186920,0.305187,0.565641,0.795226,0.723625,0.211326,0.115213,0.262811,fishing_dock|shipyard|fishing_boat|fire_plans|trade_guild|fort
33,kept,-160096,1600,619,5,180,581,0.386875,11.084375,72.243750,50.057500,0.226875,0.179375,0.115625,0.072500,0.297500,0.235000,0.937500,0.895625,19.396875,0.350000,0.412500,2.388758,3.468916,2.484428,1.162259,0.056688,0.733294,0.186920,0.305187,0.565641,0.795226,0.723625,0.211326,0.115213,0.262811,fishing_dock|shipyard|fishing_boat|fire_plans|trade_guild|fort
34,kept,-160096,1600,619,5,180,581,0.386875,11.084375,72.243750,50.057500,0.226875,0.179375,0.115625,0.072500,0.297500,0.235000,0.937500,0.895625,19.396875,0.350000,0.412500,2.388758,3.468916,2.484428,1.162259,0.056688,0.733294,0.186920,0.305187,0.565641,0.795226,0.723625,0.211326,0.115213,0.262811,fishing_dock|shipyard|fishing_boat|fire_plans|trade_guild|fort
35,kept,-160096,1600,619,5,180,581,0.386875,11.084375,72.243750,50.057500,0.226875,0.179375,0.115625,0.072500,0.297500,0.235000,0.937500,0.895625,19.396875,0.350000,0.412500,2.388758,3.468916,2.484428,1.162259,0.056688,0.733294,0.186920,0.305187,0.565641,0.795226,0.723625,0.211326,0.115213,0.262811,fishing_dock|shipyard|fishing_boat|fire_plans|trade_guild|fort
36,kept,-160096,1600,619,5,180,581,0.386875,11.084375,72.243750,50.057500,0.226875,0.179375,0.115625,0.072500,0.297500,0.235000,0.937500,0.895625,19.396875,0.350000,0.412500,2.388758,3.468916,2.484428,1.162259,0.056688,0.733294,0.186920,0.305187,0.565641,0.795226,0.723625,0.211326,0.115213,0.262811,fishing_dock|shipyard|fishing_boat|fire_plans|trade_guild|fort
37,kept,-160096,1600,619,5,180,581,0.386875,11.084375,72.243750,50.057500,0.226875,0.179375,0.115625,0.072500,0.297500,0.235000,0.937500,0.895625,19.396875,0.350000,0.412500,2.388758,3.468916,2.484428,1.162259,0.056688,0.733294,0.186920,0.305187,0.565641,0.795226,0.723625,0.211326,0.115213,0.262811,fishing_dock|shipyard|fishing_boat|fire_plans|trade_guild|fort
38,kept,-160096,1600,619,5,180,581,0.386875,11.084375,72.243750,50.057500,0.226875,0.179375,0.115625,0.072500,0.297500,0.235000,0.937500,0.895625,19.396875,0.350000,0.412500,2.388758,3.468916,2.484428,1.162259,0.056688,0.733294,0.186920,0.305187,0.565641,0.795226,0.723625,0.211326,0.115213,0.262811,fishing_dock|shipyard|fishing_boat|fire_plans|trade_guild|fort
39,learned,-151447,1600,631,3,188,572,0.394375,11.051875,78.261875,46.280625,0.189375,0.155625,0.076875,0.045000,0.286250,0.216875,0.946875,0.909375,23.465625,0.311250,0.365625,2.347245,3.535602,2.707127,1.222886,0.036847,0.826641,0.121498,0.250929,0.717667,0.866897,0.781577,0.221592,0.151526,0.370711,fishing_dock|shipyard|fishing_boat|fire_plans|trade_guild|fort
40,learned,-133626,1600,658,6,160,559,0.411250,11.121875,107.475000,45.462500,0.153750,0.117500,0.041875,0.025625,0.202500,0.156250,0.966875,0.926875,38.212500,0.345625,0.407500,2.375016,3.541059,2.634603,1.417938,0.023950,0.681479,0.104733,0.163104,0.546774,0.913442,0.858025,0.259107,0.098492,0.394343,fishing_dock|shipyard|fishing_boat|fire_plans|guard_captain|trade_guild|fort
41,kept,-133626,1600,658,6,160,559,0.411250,11.121875,107.475000,45.462500,0.153750,0.117500,0.041875,0.025625,0.202500,0.156250,0.966875,0.926875,38.212500,0.345625,0.407500,2.375016,3.541059,2.634603,1.417938,0.023950,0.681479,0.104733,0.163104,0.546774,0.913442,0.858025,0.259107,0.098492,0.394343,fishing_dock|shipyard|fishing_boat|fire_plans|guard_captain|trade_guild|fort
42,kept,-133626,1600,658,6,160,559,0.411250,11.121875,107.475000,45.462500,0.153750,0.117500,0.041875,0.025625,0.202500,0.156250,0.966875,0.926875,38.212500,0.345625,0.407500,2.375016,3.541059,2.634603,1.417938,0.023950,0.681479,0.104733,0.163104,0.546774,0.913442,0.858025,0.259107,0.098492,0.394343,fishing_dock|shipyard|fishing_boat|fire_plans|guard_captain|trade_guild|fort
43,kept,-133626,1600,658,6,160,559,0.411250,11.121875,107.475000,45.462500,0.153750,0.117500,0.041875,0.025625,0.202500,0.156250,0.966875,0.926875,38.212500,0.345625,0.407500,2.375016,3.541059,2.634603,1.417938,0.023950,0.681479,0.104733,0.163104,0.546774,0.913442,0.858025,0.259107,0.098492,0.394343,fishing_dock|shipyard|fishing_boat|fire_plans|guard_captain|trade_guild|fort
44,kept,-133626,1600,658,6,160,559,0.411250,11.121875,107.475000,45.462500,0.153750,0.117500,0.041875,0.025625,0.202500,0.156250,0.966875,0.926875,38.212500,0.345625,0.407500,2.375016,3.541059,2.634603,1.417938,0.023950,0.681479,0.104733,0.163104,0.546774,0.913442,0.858025,0.259107,0.098492,0.394343,fishing_dock|shipyard|fishing_boat|fire_plans|guard_captain|trade_guild|fort
45,learned,-115807,1600,685,1,150,526,0.428125,11.125625,130.578125,46.589375,0.146250,0.118750,0.029375,0.013750,0.175000,0.130000,0.970625,0.929375,49.516250,0.213750,0.229375,2.570488,3.514444,2.583346,1.429602,0.035381,0.652191,0.081773,0.133564,0.512418,0.943738,0.907716,0.168420,0.122564,0.256323,fishing_dock|shipyard|fishing_boat|fire_plans|guard_captain|trade_guild|fort
46,kept,-115807,1600,685,1,150,526,0.428125,11.125625,130.578125,46.589375,0.146250,0.118750,0.029375,0.013750,0.175000,0.130000,0.970625,0.929375,49.516250,0.213750,0.229375,2.570488,3.514444,2.583346,1.429602,0.035381,0.652191,0.081773,0.133564,0.512418,0.943738,0.907716,0.168420,0.122564,0.256323,fishing_dock|shipyard|fishing_boat|fire_plans|guard_captain|trade_guild|fort
47,kept,-115807,1600,685,1,150,526,0.428125,11.125625,130.578125,46.589375,0.146250,0.118750,0.029375,0.013750,0.175000,0.130000,0.970625,0.929375,49.516250,0.213750,0.229375,2.570488,3.514444,2.583346,1.429602,0.035381,0.652191,0.081773,0.133564,0.512418,0.943738,0.907716,0.168420,0.122564,0.256323,fishing_dock|shipyard|fishing_boat|fire_plans|guard_captain|trade_guild|fort
48,kept,-115807,1600,685,1,150,526,0.428125,11.125625,130.578125,46.589375,0.146250,0.118750,0.029375,0.013750,0.175000,0.130000,0.970625,0.929375,49.516250,0.213750,0.229375,2.570488,3.514444,2.583346,1.429602,0.035381,0.652191,0.081773,0.133564,0.512418,0.943738,0.907716,0.168420,0.122564,0.256323,fishing_dock|shipyard|fishing_boat|fire_plans|guard_captain|trade_guild|fort
49,learned,-91012,1600,713,5,174,483,0.445625,11.181250,132.158125,45.759375,0.110000,0.079375,0.051250,0.020625,0.128750,0.084375,0.968125,0.934375,48.259375,0.151875,0.157500,2.586650,3.709221,2.711230,1.644412,0.022998,0.639076,0.053152,0.199307,0.333072,0.893420,0.874915,0.109473,0.181223,0.166610,fishing_dock|shipyard|fishing_boat|fire_plans|guard_captain|trade_guild|fort
50,kept,-91012,1600,713,5,174,483,0.445625,11.181250,132.158125,45.759375,0.110000,0.079375,0.051250,0.020625,0.128750,0.084375,0.968125,0.934375,48.259375,0.151875,0.157500,2.586650,3.709221,2.711230,1.644412,0.022998,0.639076,0.053152,0.199307,0.333072,0.893420,0.874915,0.109473,0.181223,0.166610,fishing_dock|shipyard|fishing_boat|fire_plans|guard_captain|trade_guild|fort
51,kept,-91012,1600,713,5,174,483,0.445625,11.181250,132.158125,45.759375,0.110000,0.079375,0.051250,0.020625,0.128750,0.084375,0.968125,0.934375,48.259375,0.151875,0.157500,2.586650,3.709221,2.711230,1.644412,0.022998,0.639076,0.053152,0.199307,0.333072,0.893420,0.874915,0.109473,0.181223,0.166610,fishing_dock|shipyard|fishing_boat|fire_plans|guard_captain|trade_guild|fort
52,kept,-91012,1600,713,5,174,483,0.445625,11.181250,132.158125,45.759375,0.110000,0.079375,0.051250,0.020625,0.128750,0.084375,0.968125,0.934375,48.259375,0.151875,0.157500,2.586650,3.709221,2.711230,1.644412,0.022998,0.639076,0.053152,0.199307,0.333072,0.893420,0.874915,0.109473,0.181223,0.166610,fishing_dock|shipyard|fishing_boat|fire_plans|guard_captain|trade_guild|fort
53,kept,-91012,1600,713,5,174,483,0.445625,11.181250,132.158125,45.759375,0.110000,0.079375,0.051250,0.020625,0.128750,0.084375,0.968125,0.934375,48.259375,0.151875,0.157500,2.586650,3.709221,2.711230,1.644412,0.022998,0.639076,0.053152,0.199307,0.333072,0.893420,0.874915,0.109473,0.181223,0.166610,fishing_dock|shipyard|fishing_boat|fire_plans|guard_captain|trade_guild|fort
54,kept,-91012,1600,713,5,174,483,0.445625,11.181250,132.158125,45.759375,0.110000,0.079375,0.051250,0.020625,0.128750,0.084375,0.968125,0.934375,48.259375,0.151875,0.157500,2.586650,3.709221,2.711230,1.644412,0.022998,0.639076,0.053152,0.199307,0.333072,0.893420,0.874915,0.109473,0.181223,0.166610,fishing_dock|shipyard|fishing_boat|fire_plans|guard_captain|trade_guild|fort
55,kept,-91012,1600,713,5,174,483,0.445625,11.181250,132.158125,45.759375,0.110000,0.079375,0.051250,0.020625,0.128750,0.084375,0.968125,0.934375,48.259375,0.151875,0.157500,2.586650,3.709221,2.711230,1.644412,0.022998,0.639076,0.053152,0.199307,0.333072,0.893420,0.874915,0.109473,0.181223,0.166610,fishing_dock|shipyard|fishing_boat|fire_plans|guard_captain|trade_guild|fort
56,kept,-91012,1600,713,5,174,483,0.445625,11.181250,132.158125,45.759375,0.110000,0.079375,0.051250,0.020625,0.128750,0.084375,0.968125,0.934375,48.259375,0.151875,0.157500,2.586650,3.709221,2.711230,1.644412,0.022998,0.639076,0.053152,0.199307,0.333072,0.893420,0.874915,0.109473,0.181223,0.166610,fishing_dock|shipyard|fishing_boat|fire_plans|guard_captain|trade_guild|fort
57,kept,-91012,1600,713,5,174,483,0.445625,11.181250,132.158125,45.759375,0.110000,0.079375,0.051250,0.020625,0.128750,0.084375,0.968125,0.934375,48.259375,0.151875,0.157500,2.586650,3.709221,2.711230,1.644412,0.022998,0.639076,0.053152,0.199307,0.333072,0.893420,0.874915,0.109473,0.181223,0.166610,fishing_dock|shipyard|fishing_boat|fire_plans|guard_captain|trade_guild|fort
58,kept,-91012,1600,713,5,174,483,0.445625,11.181250,132.158125,45.759375,0.110000,0.079375,0.051250,0.020625,0.128750,0.084375,0.968125,0.934375,48.259375,0.151875,0.157500,2.586650,3.709221,2.711230,1.644412,0.022998,0.639076,0.053152,0.199307,0.333072,0.893420,0.874915,0.109473,0.181223,0.166610,fishing_dock|shipyard|fishing_boat|fire_plans|guard_captain|trade_guild|fort
59,kept,-91012,1600,713,5,174,483,0.445625,11.181250,132.158125,45.759375,0.110000,0.079375,0.051250,0.020625,0.128750,0.084375,0.968125,0.934375,48.259375,0.151875,0.157500,2.586650,3.709221,2.711230,1.644412,0.022998,0.639076,0.053152,0.199307,0.333072,0.893420,0.874915,0.109473,0.181223,0.166610,fishing_dock|shipyard|fishing_boat|fire_plans|guard_captain|trade_guild|fort
60,kept,-91012,1600,713,5,174,483,0.445625,11.181250,132.158125,45.759375,0.110000,0.079375,0.051250,0.020625,0.128750,0.084375,0.968125,0.934375,48.259375,0.151875,0.157500,2.586650,3.709221,2.711230,1.644412,0.022998,0.639076,0.053152,0.199307,0.333072,0.893420,0.874915,0.109473,0.181223,0.166610,fishing_dock|shipyard|fishing_boat|fire_plans|guard_captain|trade_guild|fort
61,kept,-91012,1600,713,5,174,483,0.445625,11.181250,132.158125,45.759375,0.110000,0.079375,0.051250,0.020625,0.128750,0.084375,0.968125,0.934375,48.259375,0.151875,0.157500,2.586650,3.709221,2.711230,1.644412,0.022998,0.639076,0.053152,0.199307,0.333072,0.893420,0.874915,0.109473,0.181223,0.166610,fishing_dock|shipyard|fishing_boat|fire_plans|guard_captain|trade_guild|fort
62,kept,-91012,1600,713,5,174,483,0.445625,11.181250,132.158125,45.759375,0.110000,0.079375,0.051250,0.020625,0.128750,0.084375,0.968125,0.934375,48.259375,0.151875,0.157500,2.586650,3.709221,2.711230,1.644412,0.022998,0.639076,0.053152,0.199307,0.333072,0.893420,0.874915,0.109473,0.181223,0.166610,fishing_dock|shipyard|fishing_boat|fire_plans|guard_captain|trade_guild|fort
63,kept,-91012,1600,713,5,174,483,0.445625,11.181250,132.158125,45.759375,0.110000,0.079375,0.051250,0.020625,0.128750,0.084375,0.968125,0.934375,48.259375,0.151875,0.157500,2.586650,3.709221,2.711230,1.644412,0.022998,0.639076,0.053152,0.199307,0.333072,0.893420,0.874915,0.109473,0.181223,0.166610,fishing_dock|shipyard|fishing_boat|fire_plans|guard_captain|trade_guild|fort
64,kept,-91012,1600,713,5,174,483,0.445625,11.181250,132.158125,45.759375,0.110000,0.079375,0.051250,0.020625,0.128750,0.084375,0.968125,0.934375,48.259375,0.151875,0.157500,2.586650,3.709221,2.711230,1.644412,0.022998,0.639076,0.053152,0.199307,0.333072,0.893420,0.874915,0.109473,0.181223,0.166610,fishing_dock|shipyard|fishing_boat|fire_plans|guard_captain|trade_guild|fort
65,kept,-91012,1600,713,5,174,483,0.445625,11.181250,132.158125,45.759375,0.110000,0.079375,0.051250,0.020625,0.128750,0.084375,0.968125,0.934375,48.259375,0.151875,0.157500,2.586650,3.709221,2.711230,1.644412,0.022998,0.639076,0.053152,0.199307,0.333072,0.893420,0.874915,0.109473,0.181223,0.166610,fishing_dock|shipyard|fishing_boat|fire_plans|guard_captain|trade_guild|fort
