generation,status,fitness,games,wins,draws,port_wins,port_losses,win_rate,avg_turns,avg_assets,avg_opponent_assets,shipyard_started_rate,shipyard_completed_rate,fort_started_rate,fort_completed_rate,trade_guild_started_rate,trade_guild_completed_rate,fishing_dock_built_rate,fishing_dock_active_rate,avg_fishing_boats,guard_captain_rate,avg_guard_captains,trade_weight,raid_weight,guard_weight,fire_weight,convoy_bias,ship_bias,shipyard_bias,fort_bias,trade_guild_bias,fishing_dock_bias,fishing_boat_bias,guard_captain_bias,fire_plans_bias,construction_idle_bias,build_priority
0,initial,-415732,1600,280,2,65,941,0.175000,9.848125,31.135000,91.263125,0.225625,0.202500,0.255625,0.209375,0.035625,0.025000,0.961875,0.909375,5.303125,0.884375,2.291875,2.056465,3.880366,2.114176,1.283839,0.843924,0.447665,0.661621,0.430563,0.141945,0.864699,0.619392,0.805065,0.983723,0.816469,fishing_dock|fort|guard_captain|shipyard|fire_plans|fishing_boat|trade_guild
1,learned,-392654,1600,321,0,55,936,0.200625,9.846875,36.876875,96.063125,0.266250,0.236250,0.250625,0.208125,0.126875,0.092500,0.950625,0.918125,7.398750,0.897500,2.477500,2.011192,3.948401,2.336472,1.314705,0.898550,0.561537,0.780054,0.375144,0.221681,0.818002,0.752605,0.873292,0.989420,0.591137,fishing_dock|fort|guard_captain|shipyard|fire_plans|trade_guild
2,learned,-386755,1600,334,1,81,960,0.208750,9.807500,42.390625,96.821875,0.259375,0.231250,0.206875,0.155625,0.136875,0.097500,0.940625,0.891250,10.184375,0.839375,2.106875,2.196917,3.931895,2.141694,1.451115,0.934058,0.714999,0.669574,0.243843,0.205806,0.825822,0.839193,0.661321,0.859713,0.384239,fishing_dock|fort|guard_captain|shipyard|fire_plans|trade_guild
3,kept,-386755,1600,334,1,81,960,0.208750,9.807500,42.390625,96.821875,0.259375,0.231250,0.206875,0.155625,0.136875,0.097500,0.940625,0.891250,10.184375,0.839375,2.106875,2.196917,3.931895,2.141694,1.451115,0.934058,0.714999,0.669574,0.243843,0.205806,0.825822,0.839193,0.661321,0.859713,0.384239,fishing_dock|fort|guard_captain|shipyard|fire_plans|trade_guild
4,learned,-378803,1600,345,1,50,953,0.215625,9.928125,56.729375,96.127500,0.237500,0.210000,0.161250,0.135625,0.191250,0.160625,0.955000,0.880625,16.449375,0.734375,1.630000,2.392010,3.772473,2.119532,1.537771,0.796449,0.631504,0.492801,0.165140,0.246151,0.837216,0.895476,0.460421,0.716522,0.599755,fishing_dock|fort|guard_captain|shipyard|fire_plans|trade_guild
5,kept,-378803,1600,345,1,50,953,0.215625,9.928125,56.729375,96.127500,0.237500,0.210000,0.161250,0.135625,0.191250,0.160625,0.955000,0.880625,16.449375,0.734375,1.630000,2.392010,3.772473,2.119532,1.537771,0.796449,0.631504,0.492801,0.165140,0.246151,0.837216,0.895476,0.460421,0.716522,0.599755,fishing_dock|fort|guard_captain|shipyard|fire_plans|trade_guild
6,kept,-378803,1600,345,1,50,953,0.215625,9.928125,56.729375,96.127500,0.237500,0.210000,0.161250,0.135625,0.191250,0.160625,0.955000,0.880625,16.449375,0.734375,1.630000,2.392010,3.772473,2.119532,1.537771,0.796449,0.631504,0.492801,0.165140,0.246151,0.837216,0.895476,0.460421,0.716522,0.599755,fishing_dock|fort|guard_captain|shipyard|fire_plans|trade_guild
7,kept,-378803,1600,345,1,50,953,0.215625,9.928125,56.729375,96.127500,0.237500,0.210000,0.161250,0.135625,0.191250,0.160625,0.955000,0.880625,16.449375,0.734375,1.630000,2.392010,3.772473,2.119532,1.537771,0.796449,0.631504,0.492801,0.165140,0.246151,0.837216,0.895476,0.460421,0.716522,0.599755,fishing_dock|fort|guard_captain|shipyard|fire_plans|trade_guild
8,learned,-361847,1600,365,1,33,905,0.228125,10.070000,61.162500,95.914375,0.240000,0.199375,0.125000,0.092500,0.254375,0.203125,0.921250,0.843750,19.199375,0.670000,1.376875,2.515375,3.609425,2.067454,1.513865,0.754117,0.616828,0.454462,0.107341,0.386670,0.736332,0.932059,0.380572,0.676848,0.448075,fishing_dock|fort|guard_captain|shipyard|fire_plans|trade_guild
9,kept,-361847,1600,365,1,33,905,0.228125,10.070000,61.162500,95.914375,0.240000,0.199375,0.125000,0.092500,0.254375,0.203125,0.921250,0.843750,19.199375,0.670000,1.376875,2.515375,3.609425,2.067454,1.513865,0.754117,0.616828,0.454462,0.107341,0.386670,0.736332,0.932059,0.380572,0.676848,0.448075,fishing_dock|fort|guard_captain|shipyard|fire_plans|trade_guild
