generation,status,fitness,games,wins,draws,port_wins,port_losses,win_rate,avg_turns,avg_assets,avg_opponent_assets,shipyard_started_rate,shipyard_completed_rate,fort_started_rate,fort_completed_rate,trade_guild_started_rate,trade_guild_completed_rate,fishing_dock_built_rate,fishing_dock_active_rate,avg_fishing_boats,guard_captain_rate,avg_guard_captains,trade_weight,raid_weight,guard_weight,fire_weight,convoy_bias,ship_bias,shipyard_bias,fort_bias,trade_guild_bias,fishing_dock_bias,fishing_boat_bias,guard_captain_bias,fire_plans_bias,construction_idle_bias,build_priority
14,learned,-216084,1600,549,1,98,643,0.343125,10.656250,82.836250,64.816875,0.108750,0.084375,0.338125,0.288125,0.021250,0.020000,0.833125,0.798750,28.515000,0.607500,1.193750,1.662945,3.794897,2.004585,1.110104,0.282025,0.309900,0.070125,0.262755,0.049599,0.377320,0.934692,0.271366,0.911049,0.503638,fishing_dock|fort|guard_captain|shipyard|fire_plans|fishing_boat|trade_guild
15,kept,-216084,1600,549,1,98,643,0.343125,10.656250,82.836250,64.816875,0.108750,0.084375,0.338125,0.288125,0.021250,0.020000,0.833125,0.798750,28.515000,0.607500,1.193750,1.662945,3.794897,2.004585,1.110104,0.282025,0.309900,0.070125,0.262755,0.049599,0.377320,0.934692,0.271366,0.911049,0.503638,fishing_dock|fort|guard_captain|shipyard|fire_plans|fishing_boat|trade_guild
16,learned,-187808,1600,585,4,90,610,0.365625,10.665000,100.621875,55.895000,0.070000,0.055000,0.242500,0.193125,0.015625,0.015000,0.876250,0.840625,37.841875,0.725625,1.578125,1.511542,3.683839,1.998466,1.200889,0.183316,0.201435,0.045581,0.170791,0.032240,0.433986,0.957550,0.340001,0.942182,0.371630,fishing_dock|fort|guard_captain|shipyard|fire_plans|fishing_boat|trade_guild
17,kept,-187808,1600,585,4,90,610,0.365625,10.665000,100.621875,55.895000,0.070000,0.055000,0.242500,0.193125,0.015625,0.015000,0.876250,0.840625,37.841875,0.725625,1.578125,1.511542,3.683839,1.998466,1.200889,0.183316,0.201435,0.045581,0.170791,0.032240,0.433986,0.957550,0.340001,0.942182,0.371630,fishing_dock|fort|guard_captain|shipyard|fire_plans|fishing_boat|trade_guild
18,kept,-187808,1600,585,4,90,610,0.365625,10.665000,100.621875,55.895000,0.070000,0.055000,0.242500,0.193125,0.015625,0.015000,0.876250,0.840625,37.841875,0.725625,1.578125,1.511542,3.683839,1.998466,1.200889,0.183316,0.201435,0.045581,0.170791,0.032240,0.433986,0.957550,0.340001,0.942182,0.371630,fishing_dock|fort|guard_captain|shipyard|fire_plans|fishing_boat|trade_guild
19,kept,-187808,1600,585,4,90,610,0.365625,10.665000,100.621875,55.895000,0.070000,0.055000,0.242500,0.193125,0.015625,0.015000,0.876250,0.840625,37.841875,0.725625,1.578125,1.511542,3.683839,1.998466,1.200889,0.183316,0.201435,0.045581,0.170791,0.032240,0.433986,0.957550,0.340001,0.942182,0.371630,fishing_dock|fort|guard_captain|shipyard|fire_plans|fishing_boat|trade_guild
20,learned,-165375,1600,618,6,115,586,0.386250,10.751250,81.341875,49.409375,0.230000,0.195000,0.173125,0.130000,0.021250,0.020625,0.783750,0.748750,29.461250,0.641250,1.281250,1.566198,3.528812,2.229010,1.164119,0.119156,0.332061,0.208934,0.111014,0.038689,0.344388,0.972407,0.264962,0.821447,0.398075,fishing_dock|fort|guard_captain|shipyard|fire_plans|fishing_boat|trade_guild
21,kept,-165375,1600,618,6,115,586,0.386250,10.751250,81.341875,49.409375,0.230000,0.195000,0.173125,0.130000,0.021250,0.020625,0.783750,0.748750,29.461250,0.641250,1.281250,1.566198,3.528812,2.229010,1.164119,0.119156,0.332061,0.208934,0.111014,0.038689,0.344388,0.972407,0.264962,0.821447,0.398075,fishing_dock|fort|guard_captain|shipyard|fire_plans|fishing_boat|trade_guild
22,kept,-165375,1600,618,6,115,586,0.386250,10.751250,81.341875,49.409375,0.230000,0.195000,0.173125,0.130000,0.021250,0.020625,0.783750,0.748750,29.461250,0.641250,1.281250,1.566198,3.528812,2.229010,1.164119,0.119156,0.332061,0.208934,0.111014,0.038689,0.344388,0.972407,0.264962,0.821447,0.398075,fishing_dock|fort|guard_captain|shipyard|fire_plans|fishing_boat|trade_guild
23,learned,-146293,1600,649,3,196,581,0.405625,10.671250,50.775000,44.449375,0.171875,0.143125,0.126250,0.096875,0.025000,0.023125,0.663125,0.641875,14.555000,0.834375,2.250625,1.742959,3.550271,2.264134,1.291336,0.077451,0.536167,0.135807,0.072159,0.025148,0.223852,0.917807,0.502691,0.883940,0.258749,fishing_dock|fort|guard_captain|shipyard|fire_plans|fishing_boat|trade_guild
