generation,status,fitness,games,wins,draws,port_wins,win_rate,avg_turns,avg_assets,avg_opponent_assets,shipyard_started_rate,shipyard_completed_rate,fort_started_rate,fort_completed_rate,trade_guild_started_rate,trade_guild_completed_rate,guard_captain_rate,avg_guard_captains,trade_weight,raid_weight,guard_weight,fire_weight,convoy_bias,ship_bias,shipyard_bias,fort_bias,trade_guild_bias,guard_captain_bias,fire_plans_bias,construction_idle_bias,build_priority
0,initial,-54386,1300,308,4,81,0.236923,10.658462,18.577692,54.732308,0.254615,0.232308,0.284615,0.243077,0.130769,0.102308,0.910000,2.761538,2.056465,3.880366,2.114176,1.283839,0.843924,0.447665,0.661621,0.430563,0.141945,0.805065,0.983723,0.864699,guard_captain|fort|shipyard
1,kept,-54386,1300,308,4,81,0.236923,10.658462,18.577692,54.732308,0.254615,0.232308,0.284615,0.243077,0.130769,0.102308,0.910000,2.761538,2.056465,3.880366,2.114176,1.283839,0.843924,0.447665,0.661621,0.430563,0.141945,0.805065,0.983723,0.864699,guard_captain|fort|shipyard
2,kept,-54386,1300,308,4,81,0.236923,10.658462,18.577692,54.732308,0.254615,0.232308,0.284615,0.243077,0.130769,0.102308,0.910000,2.761538,2.056465,3.880366,2.114176,1.283839,0.843924,0.447665,0.661621,0.430563,0.141945,0.805065,0.983723,0.864699,guard_captain|fort|shipyard
3,learned,-50219,1300,315,3,54,0.242308,10.979231,16.217692,49.555385,0.251538,0.221538,0.217692,0.166154,0.085385,0.059231,0.900000,2.719231,2.063308,3.817958,2.080619,1.463104,0.624401,0.290983,0.780054,0.360586,0.092265,0.787136,0.989420,0.912055,guard_captain|fort|shipyard
4,kept,-50219,1300,315,3,54,0.242308,10.979231,16.217692,49.555385,0.251538,0.221538,0.217692,0.166154,0.085385,0.059231,0.900000,2.719231,2.063308,3.817958,2.080619,1.463104,0.624401,0.290983,0.780054,0.360586,0.092265,0.787136,0.989420,0.912055,guard_captain|fort|shipyard
5,kept,-50219,1300,315,3,54,0.242308,10.979231,16.217692,49.555385,0.251538,0.221538,0.217692,0.166154,0.085385,0.059231,0.900000,2.719231,2.063308,3.817958,2.080619,1.463104,0.624401,0.290983,0.780054,0.360586,0.092265,0.787136,0.989420,0.912055,guard_captain|fort|shipyard
6,kept,-50219,1300,315,3,54,0.242308,10.979231,16.217692,49.555385,0.251538,0.221538,0.217692,0.166154,0.085385,0.059231,0.900000,2.719231,2.063308,3.817958,2.080619,1.463104,0.624401,0.290983,0.780054,0.360586,0.092265,0.787136,0.989420,0.912055,guard_captain|fort|shipyard
7,learned,-43396,1300,345,1,91,0.265385,10.781538,18.976923,50.616154,0.262308,0.237692,0.220769,0.178462,0.073846,0.057692,0.897692,2.609231,2.049301,3.876726,2.087863,1.679566,0.723887,0.327802,0.625629,0.245622,0.059972,0.680461,0.753242,0.753329,guard_captain|fort|shipyard
8,learned,-21814,1300,408,3,111,0.313846,11.064615,21.292308,43.453077,0.286923,0.260769,0.166923,0.143077,0.257692,0.230000,0.819231,2.240000,2.197937,3.726120,2.315317,1.617568,0.527483,0.485175,0.419556,0.159654,0.209203,0.536790,0.610564,0.805274,guard_captain|fort|shipyard
9,learned,-5269,1300,472,1,118,0.363077,11.232308,23.280000,39.579231,0.309231,0.273846,0.221538,0.184615,0.202308,0.179231,0.725385,1.661538,2.253072,3.683154,2.518510,1.633831,0.428167,0.501099,0.421002,0.241718,0.135982,0.357936,0.652461,0.873428,guard_captain|fort|shipyard
10,learned,2544,1300,496,2,112,0.381538,11.410000,22.321538,35.180000,0.335385,0.302308,0.326923,0.264615,0.110769,0.089231,0.608462,1.074615,2.126344,3.810464,2.626016,1.664511,0.284800,0.652898,0.594399,0.460158,0.088388,0.232658,0.514390,0.917728,guard_captain|fort|shipyard
11,kept,2544,1300,496,2,112,0.381538,11.410000,22.321538,35.180000,0.335385,0.302308,0.326923,0.264615,0.110769,0.089231,0.608462,1.074615,2.126344,3.810464,2.626016,1.664511,0.284800,0.652898,0.594399,0.460158,0.088388,0.232658,0.514390,0.917728,guard_captain|fort|shipyard
12,kept,2544,1300,496,2,112,0.381538,11.410000,22.321538,35.180000,0.335385,0.302308,0.326923,0.264615,0.110769,0.089231,0.608462,1.074615,2.126344,3.810464,2.626016,1.664511,0.284800,0.652898,0.594399,0.460158,0.088388,0.232658,0.514390,0.917728,guard_captain|fort|shipyard
13,kept,2544,1300,496,2,112,0.381538,11.410000,22.321538,35.180000,0.335385,0.302308,0.326923,0.264615,0.110769,0.089231,0.608462,1.074615,2.126344,3.810464,2.626016,1.664511,0.284800,0.652898,0.594399,0.460158,0.088388,0.232658,0.514390,0.917728,guard_captain|fort|shipyard
14,kept,2544,1300,496,2,112,0.381538,11.410000,22.321538,35.180000,0.335385,0.302308,0.326923,0.264615,0.110769,0.089231,0.608462,1.074615,2.126344,3.810464,2.626016,1.664511,0.284800,0.652898,0.594399,0.460158,0.088388,0.232658,0.514390,0.917728,guard_captain|fort|shipyard
15,learned,11018,1300,535,5,89,0.411538,11.542308,22.643077,33.079231,0.356154,0.314615,0.266154,0.208462,0.286923,0.242308,0.553077,0.947692,1.980135,3.997728,2.629379,1.776670,0.223613,0.659389,0.550729,0.336944,0.292491,0.211205,0.567212,0.946523,guard_captain|fort|shipyard
16,learned,23453,1300,590,7,77,0.453846,11.638462,23.080000,29.843077,0.326923,0.276923,0.196154,0.150769,0.453077,0.386923,0.456154,0.645385,1.737525,4.177883,2.418154,1.814756,0.145348,0.575278,0.403710,0.223256,0.466058,0.137283,0.718688,0.848093,guard_captain|fort|shipyard
17,kept,23453,1300,590,7,77,0.453846,11.638462,23.080000,29.843077,0.326923,0.276923,0.196154,0.150769,0.453077,0.386923,0.456154,0.645385,1.737525,4.177883,2.418154,1.814756,0.145348,0.575278,0.403710,0.223256,0.466058,0.137283,0.718688,0.848093,guard_captain|fort|shipyard
18,kept,23453,1300,590,7,77,0.453846,11.638462,23.080000,29.843077,0.326923,0.276923,0.196154,0.150769,0.453077,0.386923,0.456154,0.645385,1.737525,4.177883,2.418154,1.814756,0.145348,0.575278,0.403710,0.223256,0.466058,0.137283,0.718688,0.848093,guard_captain|fort|shipyard
19,kept,23453,1300,590,7,77,0.453846,11.638462,23.080000,29.843077,0.326923,0.276923,0.196154,0.150769,0.453077,0.386923,0.456154,0.645385,1.737525,4.177883,2.418154,1.814756,0.145348,0.575278,0.403710,0.223256,0.466058,0.137283,0.718688,0.848093,guard_captain|fort|shipyard
20,kept,23453,1300,590,7,77,0.453846,11.638462,23.080000,29.843077,0.326923,0.276923,0.196154,0.150769,0.453077,0.386923,0.456154,0.645385,1.737525,4.177883,2.418154,1.814756,0.145348,0.575278,0.403710,0.223256,0.466058,0.137283,0.718688,0.848093,guard_captain|fort|shipyard
21,kept,23453,1300,590,7,77,0.453846,11.638462,23.080000,29.843077,0.326923,0.276923,0.196154,0.150769,0.453077,0.386923,0.456154,0.645385,1.737525,4.177883,2.418154,1.814756,0.145348,0.575278,0.403710,0.223256,0.466058,0.137283,0.718688,0.848093,guard_captain|fort|shipyard
22,kept,23453,1300,590,7,77,0.453846,11.638462,23.080000,29.843077,0.326923,0.276923,0.196154,0.150769,0.453077,0.386923,0.456154,0.645385,1.737525,4.177883,2.418154,1.814756,0.145348,0.575278,0.403710,0.223256,0.466058,0.137283,0.718688,0.848093,guard_captain|fort|shipyard
