generation,status,fitness,games,wins,draws,port_wins,win_rate,avg_turns,avg_assets,avg_opponent_assets,shipyard_started_rate,shipyard_completed_rate,fort_started_rate,fort_completed_rate,trade_guild_started_rate,trade_guild_completed_rate,guard_captain_rate,avg_guard_captains,trade_weight,raid_weight,guard_weight,fire_weight,convoy_bias,ship_bias,shipyard_bias,fort_bias,trade_guild_bias,guard_captain_bias,fire_plans_bias,construction_idle_bias,build_priority
0,initial,-70193,1200,219,2,132,0.182500,9.603333,17.108333,62.919167,0.232500,0.188333,0.333333,0.194167,0.181667,0.101667,0.957500,3.138333,2.056465,3.880366,2.114176,1.283839,0.843924,0.447665,0.661621,0.430563,0.141945,0.805065,0.983723,0.864699,guard_captain|fort|shipyard
1,learned,-66800,1200,227,0,115,0.189167,9.653333,17.141667,60.729167,0.229167,0.193333,0.300000,0.165833,0.249167,0.143333,0.949167,3.060833,2.157631,3.950414,2.154456,1.198271,0.779867,0.389404,0.716248,0.333301,0.214571,0.789929,0.987792,0.893843,guard_captain|fort|shipyard
2,kept,-66800,1200,227,0,115,0.189167,9.653333,17.141667,60.729167,0.229167,0.193333,0.300000,0.165833,0.249167,0.143333,0.949167,3.060833,2.157631,3.950414,2.154456,1.198271,0.779867,0.389404,0.716248,0.333301,0.214571,0.789929,0.987792,0.893843,guard_captain|fort|shipyard
3,kept,-66800,1200,227,0,115,0.189167,9.653333,17.141667,60.729167,0.229167,0.193333,0.300000,0.165833,0.249167,0.143333,0.949167,3.060833,2.157631,3.950414,2.154456,1.198271,0.779867,0.389404,0.716248,0.333301,0.214571,0.789929,0.987792,0.893843,guard_captain|fort|shipyard
4,learned,-62648,1200,242,1,145,0.201667,9.555833,18.173333,60.484167,0.247500,0.210000,0.323333,0.174167,0.257500,0.116667,0.949167,3.099167,2.025931,4.073151,2.251713,1.204376,0.834901,0.438272,0.594059,0.361922,0.196863,0.812693,0.990844,0.796985,guard_captain|fort|shipyard
5,learned,-60274,1200,252,1,143,0.210000,9.700833,18.643333,60.117500,0.232500,0.196667,0.379167,0.205833,0.249167,0.121667,0.917500,2.824167,1.941259,4.131251,2.190728,1.115890,0.809930,0.575425,0.594917,0.473263,0.211609,0.679798,0.905462,0.685858,guard_captain|fort|shipyard
6,kept,-60274,1200,252,1,143,0.210000,9.700833,18.643333,60.117500,0.232500,0.196667,0.379167,0.205833,0.249167,0.121667,0.917500,2.824167,1.941259,4.131251,2.190728,1.115890,0.809930,0.575425,0.594917,0.473263,0.211609,0.679798,0.905462,0.685858,guard_captain|fort|shipyard
7,kept,-60274,1200,252,1,143,0.210000,9.700833,18.643333,60.117500,0.232500,0.196667,0.379167,0.205833,0.249167,0.121667,0.917500,2.824167,1.941259,4.131251,2.190728,1.115890,0.809930,0.575425,0.594917,0.473263,0.211609,0.679798,0.905462,0.685858,guard_captain|fort|shipyard
8,kept,-60274,1200,252,1,143,0.210000,9.700833,18.643333,60.117500,0.232500,0.196667,0.379167,0.205833,0.249167,0.121667,0.917500,2.824167,1.941259,4.131251,2.190728,1.115890,0.809930,0.575425,0.594917,0.473263,0.211609,0.679798,0.905462,0.685858,guard_captain|fort|shipyard
9,learned,-51378,1200,275,1,160,0.229167,9.845833,20.207500,57.164167,0.276667,0.232500,0.425000,0.229167,0.224167,0.120000,0.875833,2.444167,1.860135,4.199425,2.121313,1.067833,0.754025,0.450309,0.608864,0.461669,0.158707,0.533126,0.850142,0.764394,guard_captain|fort|shipyard
