generation,status,fitness,games,wins,draws,port_wins,port_losses,stomp_penalty,matchup_floor_penalty,min_matchup_win_rate,win_rate,avg_turns,avg_assets,avg_opponent_assets,shipyard_started_rate,shipyard_completed_rate,fort_started_rate,fort_completed_rate,trade_guild_started_rate,trade_guild_completed_rate,fishing_dock_built_rate,fishing_dock_active_rate,avg_fishing_boats,guard_captain_rate,avg_guard_captains,trade_weight,raid_weight,guard_weight,fire_weight,convoy_bias,ship_bias,shipyard_bias,fort_bias,trade_guild_bias,fishing_dock_bias,fishing_boat_bias,guard_captain_bias,fire_plans_bias,construction_idle_bias,build_priority
0,initial,-549394,1600,287,3,84,923,0,139300,0.000000,0.179375,9.844375,36.156875,106.473125,0.269375,0.241250,0.305000,0.271875,0.053125,0.039375,0.936875,0.876250,5.826250,0.859375,2.262500,2.056465,3.880366,2.114176,1.283839,0.843924,0.447665,0.661621,0.430563,0.141945,0.864699,0.619392,0.805065,0.983723,0.816469,fishing_dock|fort|guard_captain|shipyard|fire_plans|fishing_boat|trade_guild
1,learned,-498439,1600,353,2,90,902,0,129850,0.010000,0.220625,9.886875,46.400000,99.056250,0.261875,0.233125,0.333750,0.295625,0.035000,0.028125,0.885000,0.825625,9.902500,0.895000,2.504375,1.850065,3.929002,2.224210,1.320203,0.898550,0.602545,0.458123,0.333248,0.092265,0.647022,0.752605,0.873292,0.989420,0.771156,fishing_dock|fort|guard_captain|shipyard|fire_plans|fishing_boat|trade_guild
2,learned,-483724,1600,366,1,112,840,0,130550,0.000000,0.228750,9.915000,41.053125,94.709375,0.211875,0.191250,0.414375,0.388125,0.020000,0.015000,0.778125,0.744375,6.879375,0.886875,2.560625,1.651635,3.739851,2.365504,1.280958,0.934058,0.642198,0.297780,0.450925,0.059972,0.483359,0.624752,0.917640,0.993123,0.851252,fishing_dock|fort|guard_captain|shipyard|fire_plans|fishing_boat|trade_guild
3,learned,-470651,1600,385,1,86,867,0,125300,0.010000,0.240625,9.775625,52.801875,99.778750,0.203750,0.171875,0.354375,0.318125,0.048125,0.036875,0.849375,0.805625,12.271250,0.896250,2.577500,1.478929,3.610657,2.401308,1.515625,0.957137,0.462191,0.261371,0.377980,0.125344,0.549186,0.756089,0.899548,0.995530,0.849014,fishing_dock|fort|guard_captain|shipyard|fire_plans|fishing_boat|trade_guild
4,learned,-434495,1600,431,0,170,924,320,113050,0.020000,0.269375,9.570625,51.459375,79.431250,0.218125,0.187500,0.109375,0.084375,0.045000,0.038125,0.774375,0.737500,12.005625,0.936250,2.862500,1.448393,3.780059,2.619136,1.674426,0.853246,0.300424,0.247594,0.245687,0.081474,0.356971,0.697262,0.934706,0.904161,0.682003,fishing_dock|guard_captain|shipyard|fire_plans|fishing_boat|trade_guild
5,learned,-333681,1600,542,2,189,809,640,94150,0.030000,0.338750,9.881250,72.864375,69.288125,0.212500,0.186875,0.109375,0.082500,0.040625,0.037500,0.818125,0.782500,21.681250,0.924375,2.998750,1.336469,3.576260,2.742794,1.724084,0.697844,0.537219,0.160936,0.289077,0.052958,0.432191,0.803220,0.957559,0.754175,0.459624,fishing_dock|guard_captain|shipyard|fire_plans|fishing_boat|trade_guild
6,kept,-333681,1600,542,2,189,809,640,94150,0.030000,0.338750,9.881250,72.864375,69.288125,0.212500,0.186875,0.109375,0.082500,0.040625,0.037500,0.818125,0.782500,21.681250,0.924375,2.998750,1.336469,3.576260,2.742794,1.724084,0.697844,0.537219,0.160936,0.289077,0.052958,0.432191,0.803220,0.957559,0.754175,0.459624,fishing_dock|guard_captain|shipyard|fire_plans|fishing_boat|trade_guild
7,learned,-331042,1600,540,1,330,811,1780,92400,0.000000,0.337500,9.675000,42.252500,71.915000,0.144375,0.120000,0.126250,0.106250,0.088125,0.081875,0.675000,0.656250,7.181875,0.892500,2.649375,1.496505,3.678796,2.799140,1.765696,0.803598,0.654313,0.104608,0.187900,0.074595,0.280924,0.593179,0.740967,0.565608,0.648756,fishing_dock|guard_captain|shipyard|fire_plans|fishing_boat|trade_guild
8,kept,-331042,1600,540,1,330,811,1780,92400,0.000000,0.337500,9.675000,42.252500,71.915000,0.144375,0.120000,0.126250,0.106250,0.088125,0.081875,0.675000,0.656250,7.181875,0.892500,2.649375,1.496505,3.678796,2.799140,1.765696,0.803598,0.654313,0.104608,0.187900,0.074595,0.280924,0.593179,0.740967,0.565608,0.648756,fishing_dock|guard_captain|shipyard|fire_plans|fishing_boat|trade_guild
9,kept,-331042,1600,540,1,330,811,1780,92400,0.000000,0.337500,9.675000,42.252500,71.915000,0.144375,0.120000,0.126250,0.106250,0.088125,0.081875,0.675000,0.656250,7.181875,0.892500,2.649375,1.496505,3.678796,2.799140,1.765696,0.803598,0.654313,0.104608,0.187900,0.074595,0.280924,0.593179,0.740967,0.565608,0.648756,fishing_dock|guard_captain|shipyard|fire_plans|fishing_boat|trade_guild
10,learned,-304760,1600,581,1,378,820,5220,87500,0.030000,0.363125,9.530000,47.246875,70.685625,0.230000,0.211250,0.090000,0.077500,0.049375,0.043750,0.667500,0.639375,8.503125,0.787500,1.975625,1.359956,3.911751,2.769302,1.559193,0.872339,0.775304,0.194662,0.122135,0.048487,0.281660,0.624252,0.509610,0.473070,0.743829,fishing_dock|guard_captain|shipyard|fire_plans|fishing_boat|trade_guild
11,learned,-263711,1600,621,0,423,764,4890,78050,0.040000,0.388125,9.583125,47.156875,68.278750,0.278125,0.255625,0.063125,0.057500,0.046250,0.041250,0.531875,0.499375,7.827500,0.749375,1.607500,1.465843,3.678355,2.638293,1.520687,0.836115,0.853947,0.363920,0.079388,0.031516,0.186303,0.638697,0.396759,0.307495,0.833489,fishing_dock|guard_captain|fire_plans|fishing_boat|trade_guild
12,learned,-246216,1600,643,1,468,783,6300,72800,0.000000,0.401875,9.513750,48.559375,62.225625,0.208125,0.190625,0.061250,0.052500,0.031875,0.030000,0.669375,0.649375,7.630625,0.613125,1.066875,1.461501,3.728640,2.731447,1.330752,0.732582,0.683368,0.243770,0.051602,0.020486,0.264296,0.554719,0.257893,0.199872,0.891768,fishing_dock|guard_captain|fire_plans|fishing_boat|trade_guild
13,kept,-246216,1600,643,1,468,783,6300,72800,0.000000,0.401875,9.513750,48.559375,62.225625,0.208125,0.190625,0.061250,0.052500,0.031875,0.030000,0.669375,0.649375,7.630625,0.613125,1.066875,1.461501,3.728640,2.731447,1.330752,0.732582,0.683368,0.243770,0.051602,0.020486,0.264296,0.554719,0.257893,0.199872,0.891768,fishing_dock|guard_captain|fire_plans|fishing_boat|trade_guild
14,kept,-246216,1600,643,1,468,783,6300,72800,0.000000,0.401875,9.513750,48.559375,62.225625,0.208125,0.190625,0.061250,0.052500,0.031875,0.030000,0.669375,0.649375,7.630625,0.613125,1.066875,1.461501,3.728640,2.731447,1.330752,0.732582,0.683368,0.243770,0.051602,0.020486,0.264296,0.554719,0.257893,0.199872,0.891768,fishing_dock|guard_captain|fire_plans|fishing_boat|trade_guild
15,learned,-185598,1600,692,1,489,663,4030,58450,0.030000,0.432500,9.730625,39.332500,61.306250,0.170625,0.153750,0.231250,0.211875,0.055000,0.050625,0.515625,0.500625,3.428750,0.468750,0.695000,1.270381,3.734186,2.835597,1.102037,0.615659,0.788947,0.158451,0.252537,0.032711,0.171793,0.401176,0.170269,0.305356,0.884198,fishing_dock|guard_captain|fire_plans|fishing_boat|trade_guild
16,kept,-185598,1600,692,1,489,663,4030,58450,0.030000,0.432500,9.730625,39.332500,61.306250,0.170625,0.153750,0.231250,0.211875,0.055000,0.050625,0.515625,0.500625,3.428750,0.468750,0.695000,1.270381,3.734186,2.835597,1.102037,0.615659,0.788947,0.158451,0.252537,0.032711,0.171793,0.401176,0.170269,0.305356,0.884198,fishing_dock|guard_captain|fire_plans|fishing_boat|trade_guild
17,kept,-185598,1600,692,1,489,663,4030,58450,0.030000,0.432500,9.730625,39.332500,61.306250,0.170625,0.153750,0.231250,0.211875,0.055000,0.050625,0.515625,0.500625,3.428750,0.468750,0.695000,1.270381,3.734186,2.835597,1.102037,0.615659,0.788947,0.158451,0.252537,0.032711,0.171793,0.401176,0.170269,0.305356,0.884198,fishing_dock|guard_captain|fire_plans|fishing_boat|trade_guild
18,kept,-185598,1600,692,1,489,663,4030,58450,0.030000,0.432500,9.730625,39.332500,61.306250,0.170625,0.153750,0.231250,0.211875,0.055000,0.050625,0.515625,0.500625,3.428750,0.468750,0.695000,1.270381,3.734186,2.835597,1.102037,0.615659,0.788947,0.158451,0.252537,0.032711,0.171793,0.401176,0.170269,0.305356,0.884198,fishing_dock|guard_captain|fire_plans|fishing_boat|trade_guild
19,kept,-185598,1600,692,1,489,663,4030,58450,0.030000,0.432500,9.730625,39.332500,61.306250,0.170625,0.153750,0.231250,0.211875,0.055000,0.050625,0.515625,0.500625,3.428750,0.468750,0.695000,1.270381,3.734186,2.835597,1.102037,0.615659,0.788947,0.158451,0.252537,0.032711,0.171793,0.401176,0.170269,0.305356,0.884198,fishing_dock|guard_captain|fire_plans|fishing_boat|trade_guild
20,kept,-185598,1600,692,1,489,663,4030,58450,0.030000,0.432500,9.730625,39.332500,61.306250,0.170625,0.153750,0.231250,0.211875,0.055000,0.050625,0.515625,0.500625,3.428750,0.468750,0.695000,1.270381,3.734186,2.835597,1.102037,0.615659,0.788947,0.158451,0.252537,0.032711,0.171793,0.401176,0.170269,0.305356,0.884198,fishing_dock|guard_captain|fire_plans|fishing_boat|trade_guild
21,kept,-185598,1600,692,1,489,663,4030,58450,0.030000,0.432500,9.730625,39.332500,61.306250,0.170625,0.153750,0.231250,0.211875,0.055000,0.050625,0.515625,0.500625,3.428750,0.468750,0.695000,1.270381,3.734186,2.835597,1.102037,0.615659,0.788947,0.158451,0.252537,0.032711,0.171793,0.401176,0.170269,0.305356,0.884198,fishing_dock|guard_captain|fire_plans|fishing_boat|trade_guild
22,kept,-185598,1600,692,1,489,663,4030,58450,0.030000,0.432500,9.730625,39.332500,61.306250,0.170625,0.153750,0.231250,0.211875,0.055000,0.050625,0.515625,0.500625,3.428750,0.468750,0.695000,1.270381,3.734186,2.835597,1.102037,0.615659,0.788947,0.158451,0.252537,0.032711,0.171793,0.401176,0.170269,0.305356,0.884198,fishing_dock|guard_captain|fire_plans|fishing_boat|trade_guild
23,kept,-185598,1600,692,1,489,663,4030,58450,0.030000,0.432500,9.730625,39.332500,61.306250,0.170625,0.153750,0.231250,0.211875,0.055000,0.050625,0.515625,0.500625,3.428750,0.468750,0.695000,1.270381,3.734186,2.835597,1.102037,0.615659,0.788947,0.158451,0.252537,0.032711,0.171793,0.401176,0.170269,0.305356,0.884198,fishing_dock|guard_captain|fire_plans|fishing_boat|trade_guild
24,kept,-185598,1600,692,1,489,663,4030,58450,0.030000,0.432500,9.730625,39.332500,61.306250,0.170625,0.153750,0.231250,0.211875,0.055000,0.050625,0.515625,0.500625,3.428750,0.468750,0.695000,1.270381,3.734186,2.835597,1.102037,0.615659,0.788947,0.158451,0.252537,0.032711,0.171793,0.401176,0.170269,0.305356,0.884198,fishing_dock|guard_captain|fire_plans|fishing_boat|trade_guild
25,kept,-185598,1600,692,1,489,663,4030,58450,0.030000,0.432500,9.730625,39.332500,61.306250,0.170625,0.153750,0.231250,0.211875,0.055000,0.050625,0.515625,0.500625,3.428750,0.468750,0.695000,1.270381,3.734186,2.835597,1.102037,0.615659,0.788947,0.158451,0.252537,0.032711,0.171793,0.401176,0.170269,0.305356,0.884198,fishing_dock|guard_captain|fire_plans|fishing_boat|trade_guild
26,kept,-185598,1600,692,1,489,663,4030,58450,0.030000,0.432500,9.730625,39.332500,61.306250,0.170625,0.153750,0.231250,0.211875,0.055000,0.050625,0.515625,0.500625,3.428750,0.468750,0.695000,1.270381,3.734186,2.835597,1.102037,0.615659,0.788947,0.158451,0.252537,0.032711,0.171793,0.401176,0.170269,0.305356,0.884198,fishing_dock|guard_captain|fire_plans|fishing_boat|trade_guild
27,kept,-185598,1600,692,1,489,663,4030,58450,0.030000,0.432500,9.730625,39.332500,61.306250,0.170625,0.153750,0.231250,0.211875,0.055000,0.050625,0.515625,0.500625,3.428750,0.468750,0.695000,1.270381,3.734186,2.835597,1.102037,0.615659,0.788947,0.158451,0.252537,0.032711,0.171793,0.401176,0.170269,0.305356,0.884198,fishing_dock|guard_captain|fire_plans|fishing_boat|trade_guild
28,kept,-185598,1600,692,1,489,663,4030,58450,0.030000,0.432500,9.730625,39.332500,61.306250,0.170625,0.153750,0.231250,0.211875,0.055000,0.050625,0.515625,0.500625,3.428750,0.468750,0.695000,1.270381,3.734186,2.835597,1.102037,0.615659,0.788947,0.158451,0.252537,0.032711,0.171793,0.401176,0.170269,0.305356,0.884198,fishing_dock|guard_captain|fire_plans|fishing_boat|trade_guild
29,kept,-185598,1600,692,1,489,663,4030,58450,0.030000,0.432500,9.730625,39.332500,61.306250,0.170625,0.153750,0.231250,0.211875,0.055000,0.050625,0.515625,0.500625,3.428750,0.468750,0.695000,1.270381,3.734186,2.835597,1.102037,0.615659,0.788947,0.158451,0.252537,0.032711,0.171793,0.401176,0.170269,0.305356,0.884198,fishing_dock|guard_captain|fire_plans|fishing_boat|trade_guild
30,kept,-185598,1600,692,1,489,663,4030,58450,0.030000,0.432500,9.730625,39.332500,61.306250,0.170625,0.153750,0.231250,0.211875,0.055000,0.050625,0.515625,0.500625,3.428750,0.468750,0.695000,1.270381,3.734186,2.835597,1.102037,0.615659,0.788947,0.158451,0.252537,0.032711,0.171793,0.401176,0.170269,0.305356,0.884198,fishing_dock|guard_captain|fire_plans|fishing_boat|trade_guild
31,kept,-185598,1600,692,1,489,663,4030,58450,0.030000,0.432500,9.730625,39.332500,61.306250,0.170625,0.153750,0.231250,0.211875,0.055000,0.050625,0.515625,0.500625,3.428750,0.468750,0.695000,1.270381,3.734186,2.835597,1.102037,0.615659,0.788947,0.158451,0.252537,0.032711,0.171793,0.401176,0.170269,0.305356,0.884198,fishing_dock|guard_captain|fire_plans|fishing_boat|trade_guild
32,kept,-185598,1600,692,1,489,663,4030,58450,0.030000,0.432500,9.730625,39.332500,61.306250,0.170625,0.153750,0.231250,0.211875,0.055000,0.050625,0.515625,0.500625,3.428750,0.468750,0.695000,1.270381,3.734186,2.835597,1.102037,0.615659,0.788947,0.158451,0.252537,0.032711,0.171793,0.401176,0.170269,0.305356,0.884198,fishing_dock|guard_captain|fire_plans|fishing_boat|trade_guild
33,learned,-156875,1600,724,1,519,639,5150,52150,0.040000,0.452500,9.875000,32.411875,50.457500,0.341250,0.317500,0.138125,0.127500,0.038125,0.033750,0.362500,0.350000,1.194375,0.585000,0.967500,1.126886,3.514083,2.921620,1.097401,0.492514,0.862815,0.375080,0.164149,0.021262,0.111665,0.260764,0.230708,0.431376,0.924729,fishing_dock|guard_captain|fire_plans|fishing_boat|trade_guild
34,learned,-117708,1600,764,0,560,588,4720,44100,0.070000,0.477500,9.845625,35.953125,51.838750,0.236875,0.215000,0.213125,0.197500,0.026250,0.023750,0.326250,0.322500,2.166875,0.450000,0.635625,1.177012,3.702808,3.097093,1.076187,0.458699,0.878852,0.243802,0.215060,0.013821,0.088663,0.489096,0.149960,0.280394,0.898110,fishing_dock|guard_captain|fire_plans|fishing_boat|trade_guild
35,kept,-117708,1600,764,0,560,588,4720,44100,0.070000,0.477500,9.845625,35.953125,51.838750,0.236875,0.215000,0.213125,0.197500,0.026250,0.023750,0.326250,0.322500,2.166875,0.450000,0.635625,1.177012,3.702808,3.097093,1.076187,0.458699,0.878852,0.243802,0.215060,0.013821,0.088663,0.489096,0.149960,0.280394,0.898110,fishing_dock|guard_captain|fire_plans|fishing_boat|trade_guild
36,kept,-117708,1600,764,0,560,588,4720,44100,0.070000,0.477500,9.845625,35.953125,51.838750,0.236875,0.215000,0.213125,0.197500,0.026250,0.023750,0.326250,0.322500,2.166875,0.450000,0.635625,1.177012,3.702808,3.097093,1.076187,0.458699,0.878852,0.243802,0.215060,0.013821,0.088663,0.489096,0.149960,0.280394,0.898110,fishing_dock|guard_captain|fire_plans|fishing_boat|trade_guild
37,kept,-117708,1600,764,0,560,588,4720,44100,0.070000,0.477500,9.845625,35.953125,51.838750,0.236875,0.215000,0.213125,0.197500,0.026250,0.023750,0.326250,0.322500,2.166875,0.450000,0.635625,1.177012,3.702808,3.097093,1.076187,0.458699,0.878852,0.243802,0.215060,0.013821,0.088663,0.489096,0.149960,0.280394,0.898110,fishing_dock|guard_captain|fire_plans|fishing_boat|trade_guild
38,kept,-117708,1600,764,0,560,588,4720,44100,0.070000,0.477500,9.845625,35.953125,51.838750,0.236875,0.215000,0.213125,0.197500,0.026250,0.023750,0.326250,0.322500,2.166875,0.450000,0.635625,1.177012,3.702808,3.097093,1.076187,0.458699,0.878852,0.243802,0.215060,0.013821,0.088663,0.489096,0.149960,0.280394,0.898110,fishing_dock|guard_captain|fire_plans|fishing_boat|trade_guild
39,kept,-117708,1600,764,0,560,588,4720,44100,0.070000,0.477500,9.845625,35.953125,51.838750,0.236875,0.215000,0.213125,0.197500,0.026250,0.023750,0.326250,0.322500,2.166875,0.450000,0.635625,1.177012,3.702808,3.097093,1.076187,0.458699,0.878852,0.243802,0.215060,0.013821,0.088663,0.489096,0.149960,0.280394,0.898110,fishing_dock|guard_captain|fire_plans|fishing_boat|trade_guild
40,learned,-110149,1600,769,1,521,521,4520,45850,0.030000,0.480625,10.104375,31.021875,44.903125,0.190000,0.169375,0.261875,0.245000,0.016250,0.016250,0.214375,0.208750,0.678125,0.568125,0.944375,1.280033,3.703133,3.330330,1.184874,0.318851,0.921254,0.158471,0.283885,0.008983,0.057631,0.345340,0.215193,0.262927,0.686274,fishing_dock|guard_captain|fire_plans|trade_guild
41,kept,-110149,1600,769,1,521,521,4520,45850,0.030000,0.480625,10.104375,31.021875,44.903125,0.190000,0.169375,0.261875,0.245000,0.016250,0.016250,0.214375,0.208750,0.678125,0.568125,0.944375,1.280033,3.703133,3.330330,1.184874,0.318851,0.921254,0.158471,0.283885,0.008983,0.057631,0.345340,0.215193,0.262927,0.686274,fishing_dock|guard_captain|fire_plans|trade_guild
42,kept,-110149,1600,769,1,521,521,4520,45850,0.030000,0.480625,10.104375,31.021875,44.903125,0.190000,0.169375,0.261875,0.245000,0.016250,0.016250,0.214375,0.208750,0.678125,0.568125,0.944375,1.280033,3.703133,3.330330,1.184874,0.318851,0.921254,0.158471,0.283885,0.008983,0.057631,0.345340,0.215193,0.262927,0.686274,fishing_dock|guard_captain|fire_plans|trade_guild
43,kept,-110149,1600,769,1,521,521,4520,45850,0.030000,0.480625,10.104375,31.021875,44.903125,0.190000,0.169375,0.261875,0.245000,0.016250,0.016250,0.214375,0.208750,0.678125,0.568125,0.944375,1.280033,3.703133,3.330330,1.184874,0.318851,0.921254,0.158471,0.283885,0.008983,0.057631,0.345340,0.215193,0.262927,0.686274,fishing_dock|guard_captain|fire_plans|trade_guild
44,kept,-110149,1600,769,1,521,521,4520,45850,0.030000,0.480625,10.104375,31.021875,44.903125,0.190000,0.169375,0.261875,0.245000,0.016250,0.016250,0.214375,0.208750,0.678125,0.568125,0.944375,1.280033,3.703133,3.330330,1.184874,0.318851,0.921254,0.158471,0.283885,0.008983,0.057631,0.345340,0.215193,0.262927,0.686274,fishing_dock|guard_captain|fire_plans|trade_guild
45,kept,-110149,1600,769,1,521,521,4520,45850,0.030000,0.480625,10.104375,31.021875,44.903125,0.190000,0.169375,0.261875,0.245000,0.016250,0.016250,0.214375,0.208750,0.678125,0.568125,0.944375,1.280033,3.703133,3.330330,1.184874,0.318851,0.921254,0.158471,0.283885,0.008983,0.057631,0.345340,0.215193,0.262927,0.686274,fishing_dock|guard_captain|fire_plans|trade_guild
46,learned,-91627,1600,797,1,611,551,7560,40250,0.060000,0.498125,9.738750,30.047500,45.139375,0.236875,0.217500,0.190000,0.180000,0.011875,0.010625,0.145625,0.145000,0.192500,0.441250,0.620625,1.058617,3.525406,3.358430,1.143010,0.416423,0.849291,0.197812,0.184525,0.005839,0.037460,0.224471,0.139875,0.287219,0.612842,fishing_dock|guard_captain|fire_plans|trade_guild
47,kept,-91627,1600,797,1,611,551,7560,40250,0.060000,0.498125,9.738750,30.047500,45.139375,0.236875,0.217500,0.190000,0.180000,0.011875,0.010625,0.145625,0.145000,0.192500,0.441250,0.620625,1.058617,3.525406,3.358430,1.143010,0.416423,0.849291,0.197812,0.184525,0.005839,0.037460,0.224471,0.139875,0.287219,0.612842,fishing_dock|guard_captain|fire_plans|trade_guild
48,kept,-91627,1600,797,1,611,551,7560,40250,0.060000,0.498125,9.738750,30.047500,45.139375,0.236875,0.217500,0.190000,0.180000,0.011875,0.010625,0.145625,0.145000,0.192500,0.441250,0.620625,1.058617,3.525406,3.358430,1.143010,0.416423,0.849291,0.197812,0.184525,0.005839,0.037460,0.224471,0.139875,0.287219,0.612842,fishing_dock|guard_captain|fire_plans|trade_guild
49,kept,-91627,1600,797,1,611,551,7560,40250,0.060000,0.498125,9.738750,30.047500,45.139375,0.236875,0.217500,0.190000,0.180000,0.011875,0.010625,0.145625,0.145000,0.192500,0.441250,0.620625,1.058617,3.525406,3.358430,1.143010,0.416423,0.849291,0.197812,0.184525,0.005839,0.037460,0.224471,0.139875,0.287219,0.612842,fishing_dock|guard_captain|fire_plans|trade_guild
50,learned,-69553,1600,816,1,579,461,7040,39550,0.070000,0.510000,10.051875,30.110000,39.615000,0.173125,0.159375,0.323750,0.305625,0.006875,0.006250,0.084375,0.084375,0.078125,0.393125,0.510000,0.905638,3.631886,3.398271,1.027794,0.270675,0.902039,0.128578,0.354470,0.003795,0.024349,0.145906,0.115529,0.186692,0.541415,fishing_dock|guard_captain|fire_plans|trade_guild
51,kept,-69553,1600,816,1,579,461,7040,39550,0.070000,0.510000,10.051875,30.110000,39.615000,0.173125,0.159375,0.323750,0.305625,0.006875,0.006250,0.084375,0.084375,0.078125,0.393125,0.510000,0.905638,3.631886,3.398271,1.027794,0.270675,0.902039,0.128578,0.354470,0.003795,0.024349,0.145906,0.115529,0.186692,0.541415,fishing_dock|guard_captain|fire_plans|trade_guild
52,kept,-69553,1600,816,1,579,461,7040,39550,0.070000,0.510000,10.051875,30.110000,39.615000,0.173125,0.159375,0.323750,0.305625,0.006875,0.006250,0.084375,0.084375,0.078125,0.393125,0.510000,0.905638,3.631886,3.398271,1.027794,0.270675,0.902039,0.128578,0.354470,0.003795,0.024349,0.145906,0.115529,0.186692,0.541415,fishing_dock|guard_captain|fire_plans|trade_guild
53,learned,-42505,1600,854,0,654,423,9580,39550,0.060000,0.533750,9.892500,30.241875,37.314375,0.121875,0.110625,0.250625,0.230625,0.005000,0.005000,0.060000,0.060000,0.102500,0.446250,0.623750,0.877057,3.515422,3.313850,1.119853,0.282132,0.922539,0.083576,0.230406,0.002467,0.015827,0.171542,0.152506,0.144728,0.361716,fishing_dock|shipyard|guard_captain|fire_plans|trade_guild
54,kept,-42505,1600,854,0,654,423,9580,39550,0.060000,0.533750,9.892500,30.241875,37.314375,0.121875,0.110625,0.250625,0.230625,0.005000,0.005000,0.060000,0.060000,0.102500,0.446250,0.623750,0.877057,3.515422,3.313850,1.119853,0.282132,0.922539,0.083576,0.230406,0.002467,0.015827,0.171542,0.152506,0.144728,0.361716,fishing_dock|shipyard|guard_captain|fire_plans|trade_guild
55,kept,-42505,1600,854,0,654,423,9580,39550,0.060000,0.533750,9.892500,30.241875,37.314375,0.121875,0.110625,0.250625,0.230625,0.005000,0.005000,0.060000,0.060000,0.102500,0.446250,0.623750,0.877057,3.515422,3.313850,1.119853,0.282132,0.922539,0.083576,0.230406,0.002467,0.015827,0.171542,0.152506,0.144728,0.361716,fishing_dock|shipyard|guard_captain|fire_plans|trade_guild
56,kept,-42505,1600,854,0,654,423,9580,39550,0.060000,0.533750,9.892500,30.241875,37.314375,0.121875,0.110625,0.250625,0.230625,0.005000,0.005000,0.060000,0.060000,0.102500,0.446250,0.623750,0.877057,3.515422,3.313850,1.119853,0.282132,0.922539,0.083576,0.230406,0.002467,0.015827,0.171542,0.152506,0.144728,0.361716,fishing_dock|shipyard|guard_captain|fire_plans|trade_guild
57,kept,-42505,1600,854,0,654,423,9580,39550,0.060000,0.533750,9.892500,30.241875,37.314375,0.121875,0.110625,0.250625,0.230625,0.005000,0.005000,0.060000,0.060000,0.102500,0.446250,0.623750,0.877057,3.515422,3.313850,1.119853,0.282132,0.922539,0.083576,0.230406,0.002467,0.015827,0.171542,0.152506,0.144728,0.361716,fishing_dock|shipyard|guard_captain|fire_plans|trade_guild
58,kept,-42505,1600,854,0,654,423,9580,39550,0.060000,0.533750,9.892500,30.241875,37.314375,0.121875,0.110625,0.250625,0.230625,0.005000,0.005000,0.060000,0.060000,0.102500,0.446250,0.623750,0.877057,3.515422,3.313850,1.119853,0.282132,0.922539,0.083576,0.230406,0.002467,0.015827,0.171542,0.152506,0.144728,0.361716,fishing_dock|shipyard|guard_captain|fire_plans|trade_guild
59,kept,-42505,1600,854,0,654,423,9580,39550,0.060000,0.533750,9.892500,30.241875,37.314375,0.121875,0.110625,0.250625,0.230625,0.005000,0.005000,0.060000,0.060000,0.102500,0.446250,0.623750,0.877057,3.515422,3.313850,1.119853,0.282132,0.922539,0.083576,0.230406,0.002467,0.015827,0.171542,0.152506,0.144728,0.361716,fishing_dock|shipyard|guard_captain|fire_plans|trade_guild
60,kept,-42505,1600,854,0,654,423,9580,39550,0.060000,0.533750,9.892500,30.241875,37.314375,0.121875,0.110625,0.250625,0.230625,0.005000,0.005000,0.060000,0.060000,0.102500,0.446250,0.623750,0.877057,3.515422,3.313850,1.119853,0.282132,0.922539,0.083576,0.230406,0.002467,0.015827,0.171542,0.152506,0.144728,0.361716,fishing_dock|shipyard|guard_captain|fire_plans|trade_guild
61,kept,-42505,1600,854,0,654,423,9580,39550,0.060000,0.533750,9.892500,30.241875,37.314375,0.121875,0.110625,0.250625,0.230625,0.005000,0.005000,0.060000,0.060000,0.102500,0.446250,0.623750,0.877057,3.515422,3.313850,1.119853,0.282132,0.922539,0.083576,0.230406,0.002467,0.015827,0.171542,0.152506,0.144728,0.361716,fishing_dock|shipyard|guard_captain|fire_plans|trade_guild
62,learned,6184,1600,923,6,704,391,14190,32900,0.080000,0.576875,9.829375,29.967500,32.757500,0.090625,0.081875,0.172500,0.160625,0.004375,0.003750,0.050000,0.049375,0.239375,0.383125,0.498125,0.992870,3.550932,3.451953,1.044550,0.183386,0.949650,0.054324,0.149764,0.001604,0.010288,0.409405,0.111456,0.183771,0.585115,fishing_dock|shipyard|guard_captain|fire_plans|trade_guild
63,kept,6184,1600,923,6,704,391,14190,32900,0.080000,0.576875,9.829375,29.967500,32.757500,0.090625,0.081875,0.172500,0.160625,0.004375,0.003750,0.050000,0.049375,0.239375,0.383125,0.498125,0.992870,3.550932,3.451953,1.044550,0.183386,0.949650,0.054324,0.149764,0.001604,0.010288,0.409405,0.111456,0.183771,0.585115,fishing_dock|shipyard|guard_captain|fire_plans|trade_guild
64,kept,6184,1600,923,6,704,391,14190,32900,0.080000,0.576875,9.829375,29.967500,32.757500,0.090625,0.081875,0.172500,0.160625,0.004375,0.003750,0.050000,0.049375,0.239375,0.383125,0.498125,0.992870,3.550932,3.451953,1.044550,0.183386,0.949650,0.054324,0.149764,0.001604,0.010288,0.409405,0.111456,0.183771,0.585115,fishing_dock|shipyard|guard_captain|fire_plans|trade_guild
65,kept,6184,1600,923,6,704,391,14190,32900,0.080000,0.576875,9.829375,29.967500,32.757500,0.090625,0.081875,0.172500,0.160625,0.004375,0.003750,0.050000,0.049375,0.239375,0.383125,0.498125,0.992870,3.550932,3.451953,1.044550,0.183386,0.949650,0.054324,0.149764,0.001604,0.010288,0.409405,0.111456,0.183771,0.585115,fishing_dock|shipyard|guard_captain|fire_plans|trade_guild
