generation,status,fitness,games,wins,draws,port_wins,win_rate,avg_turns,avg_assets,avg_opponent_assets,trade_weight,raid_weight,guard_weight,fire_weight,convoy_bias,ship_bias,build_priority
0,initial,4335,700,254,2,118,0.362857,10.912857,30.578571,37.914286,4.773285,0.682081,3.612078,1.985994,0.171129,0.879491,fort|trade_guild
1,kept,4335,700,254,2,118,0.362857,10.912857,30.578571,37.914286,4.773285,0.682081,3.612078,1.985994,0.171129,0.879491,fort|trade_guild
2,kept,4335,700,254,2,118,0.362857,10.912857,30.578571,37.914286,4.773285,0.682081,3.612078,1.985994,0.171129,0.879491,fort|trade_guild
3,learned,9020,700,265,1,121,0.378571,11.001429,33.545714,36.352857,4.740680,0.647977,3.599433,2.008087,0.170347,0.885517,fort|trade_guild
4,kept,9020,700,265,1,121,0.378571,11.001429,33.545714,36.352857,4.740680,0.647977,3.599433,2.008087,0.170347,0.885517,fort|trade_guild
5,kept,9020,700,265,1,121,0.378571,11.001429,33.545714,36.352857,4.740680,0.647977,3.599433,2.008087,0.170347,0.885517,fort|trade_guild
6,kept,9020,700,265,1,121,0.378571,11.001429,33.545714,36.352857,4.740680,0.647977,3.599433,2.008087,0.170347,0.885517,fort|trade_guild
7,kept,9020,700,265,1,121,0.378571,11.001429,33.545714,36.352857,4.740680,0.647977,3.599433,2.008087,0.170347,0.885517,fort|trade_guild
8,learned,10145,700,273,0,117,0.390000,11.032857,33.321429,35.935714,4.734532,0.626952,3.564905,2.025531,0.161830,0.891241,fort|trade_guild
9,kept,10145,700,273,0,117,0.390000,11.032857,33.321429,35.935714,4.734532,0.626952,3.564905,2.025531,0.161830,0.891241,fort|trade_guild
10,kept,10145,700,273,0,117,0.390000,11.032857,33.321429,35.935714,4.734532,0.626952,3.564905,2.025531,0.161830,0.891241,fort|trade_guild
11,kept,10145,700,273,0,117,0.390000,11.032857,33.321429,35.935714,4.734532,0.626952,3.564905,2.025531,0.161830,0.891241,fort|trade_guild
12,kept,10145,700,273,0,117,0.390000,11.032857,33.321429,35.935714,4.734532,0.626952,3.564905,2.025531,0.161830,0.891241,fort|trade_guild
13,kept,10145,700,273,0,117,0.390000,11.032857,33.321429,35.935714,4.734532,0.626952,3.564905,2.025531,0.161830,0.891241,fort|trade_guild
14,kept,10145,700,273,0,117,0.390000,11.032857,33.321429,35.935714,4.734532,0.626952,3.564905,2.025531,0.161830,0.891241,fort|trade_guild
15,kept,10145,700,273,0,117,0.390000,11.032857,33.321429,35.935714,4.734532,0.626952,3.564905,2.025531,0.161830,0.891241,fort|trade_guild
16,learned,33577,700,344,1,205,0.491429,10.761429,44.664286,29.990000,4.747806,0.661606,3.529105,2.028047,0.153738,0.859372,trade_guild
17,kept,33577,700,344,1,205,0.491429,10.761429,44.664286,29.990000,4.747806,0.661606,3.529105,2.028047,0.153738,0.859372,trade_guild
18,kept,33577,700,344,1,205,0.491429,10.761429,44.664286,29.990000,4.747806,0.661606,3.529105,2.028047,0.153738,0.859372,trade_guild
19,kept,33577,700,344,1,205,0.491429,10.761429,44.664286,29.990000,4.747806,0.661606,3.529105,2.028047,0.153738,0.859372,trade_guild
20,learned,38301,700,359,0,214,0.512857,10.701429,46.382857,28.052857,4.747902,0.661817,3.549542,2.029557,0.146051,0.866404,trade_guild
21,kept,38301,700,359,0,214,0.512857,10.701429,46.382857,28.052857,4.747902,0.661817,3.549542,2.029557,0.146051,0.866404,trade_guild
22,learned,42271,700,375,0,238,0.535714,10.768571,46.847143,26.560000,4.739454,0.678286,3.562773,2.053043,0.138749,0.873083,trade_guild
23,kept,42271,700,375,0,238,0.535714,10.768571,46.847143,26.560000,4.739454,0.678286,3.562773,2.053043,0.138749,0.873083,trade_guild
24,kept,42271,700,375,0,238,0.535714,10.768571,46.847143,26.560000,4.739454,0.678286,3.562773,2.053043,0.138749,0.873083,trade_guild
25,kept,42271,700,375,0,238,0.535714,10.768571,46.847143,26.560000,4.739454,0.678286,3.562773,2.053043,0.138749,0.873083,trade_guild
26,kept,42271,700,375,0,238,0.535714,10.768571,46.847143,26.560000,4.739454,0.678286,3.562773,2.053043,0.138749,0.873083,trade_guild
27,learned,72013,700,466,0,365,0.665714,10.118571,61.138571,19.284286,4.730240,0.653237,3.560474,2.014590,0.172106,0.879429,
28,kept,72013,700,466,0,365,0.665714,10.118571,61.138571,19.284286,4.730240,0.653237,3.560474,2.014590,0.172106,0.879429,
29,learned,80617,700,491,0,392,0.701429,10.131429,66.032857,17.465714,4.743728,0.676522,3.582708,1.999567,0.163501,0.885458,
30,kept,80617,700,491,0,392,0.701429,10.131429,66.032857,17.465714,4.743728,0.676522,3.582708,1.999567,0.163501,0.885458,
31,kept,80617,700,491,0,392,0.701429,10.131429,66.032857,17.465714,4.743728,0.676522,3.582708,1.999567,0.163501,0.885458,
32,kept,80617,700,491,0,392,0.701429,10.131429,66.032857,17.465714,4.743728,0.676522,3.582708,1.999567,0.163501,0.885458,
33,kept,80617,700,491,0,392,0.701429,10.131429,66.032857,17.465714,4.743728,0.676522,3.582708,1.999567,0.163501,0.885458,
34,kept,80617,700,491,0,392,0.701429,10.131429,66.032857,17.465714,4.743728,0.676522,3.582708,1.999567,0.163501,0.885458,
35,kept,80617,700,491,0,392,0.701429,10.131429,66.032857,17.465714,4.743728,0.676522,3.582708,1.999567,0.163501,0.885458,
36,kept,80617,700,491,0,392,0.701429,10.131429,66.032857,17.465714,4.743728,0.676522,3.582708,1.999567,0.163501,0.885458,
37,kept,80617,700,491,0,392,0.701429,10.131429,66.032857,17.465714,4.743728,0.676522,3.582708,1.999567,0.163501,0.885458,
38,kept,80617,700,491,0,392,0.701429,10.131429,66.032857,17.465714,4.743728,0.676522,3.582708,1.999567,0.163501,0.885458,
39,kept,80617,700,491,0,392,0.701429,10.131429,66.032857,17.465714,4.743728,0.676522,3.582708,1.999567,0.163501,0.885458,
40,kept,80617,700,491,0,392,0.701429,10.131429,66.032857,17.465714,4.743728,0.676522,3.582708,1.999567,0.163501,0.885458,
