generation,status,fitness,games,wins,draws,port_wins,win_rate,avg_turns,avg_assets,avg_opponent_assets,trade_weight,raid_weight,guard_weight,fire_weight,convoy_bias,ship_bias,build_priority
0,initial,52909,1100,590,0,577,0.536364,8.529091,38.460909,33.320909,2.829701,3.897648,2.291902,4.678690,0.850563,0.547106,
1,learned,63319,1100,625,0,605,0.568182,8.491818,40.423636,30.656364,2.727600,3.960510,2.230559,4.759018,0.872441,0.516277,
2,learned,67020,1100,646,1,627,0.587273,8.740909,40.572727,30.477273,2.856034,4.064256,2.329300,4.819263,0.722839,0.590005,
3,learned,68714,1100,646,0,627,0.587273,8.863636,41.004545,29.305455,2.737752,4.068497,2.311467,4.833532,0.648858,0.532794,
4,learned,74544,1100,668,1,639,0.607273,8.754545,40.650909,26.679091,2.817785,4.159320,2.459107,4.875149,0.615482,0.565847,
5,kept,74544,1100,668,1,639,0.607273,8.754545,40.650909,26.679091,2.817785,4.159320,2.459107,4.875149,0.615482,0.565847,
6,kept,74544,1100,668,1,639,0.607273,8.754545,40.650909,26.679091,2.817785,4.159320,2.459107,4.875149,0.615482,0.565847,
7,learned,92251,1100,732,0,701,0.665455,9.000000,44.653636,23.511818,2.889410,4.170420,2.429918,4.810386,0.482103,0.674385,
8,kept,92251,1100,732,0,701,0.665455,9.000000,44.653636,23.511818,2.889410,4.170420,2.429918,4.810386,0.482103,0.674385,
9,kept,92251,1100,732,0,701,0.665455,9.000000,44.653636,23.511818,2.889410,4.170420,2.429918,4.810386,0.482103,0.674385,
10,kept,92251,1100,732,0,701,0.665455,9.000000,44.653636,23.511818,2.889410,4.170420,2.429918,4.810386,0.482103,0.674385,
11,kept,92251,1100,732,0,701,0.665455,9.000000,44.653636,23.511818,2.889410,4.170420,2.429918,4.810386,0.482103,0.674385,
12,kept,92251,1100,732,0,701,0.665455,9.000000,44.653636,23.511818,2.889410,4.170420,2.429918,4.810386,0.482103,0.674385,
13,kept,92251,1100,732,0,701,0.665455,9.000000,44.653636,23.511818,2.889410,4.170420,2.429918,4.810386,0.482103,0.674385,
14,kept,92251,1100,732,0,701,0.665455,9.000000,44.653636,23.511818,2.889410,4.170420,2.429918,4.810386,0.482103,0.674385,
15,kept,92251,1100,732,0,701,0.665455,9.000000,44.653636,23.511818,2.889410,4.170420,2.429918,4.810386,0.482103,0.674385,
16,kept,92251,1100,732,0,701,0.665455,9.000000,44.653636,23.511818,2.889410,4.170420,2.429918,4.810386,0.482103,0.674385,
17,learned,94050,1100,739,0,700,0.671818,9.276364,43.833636,21.933636,2.992279,4.312144,2.529350,4.803361,0.361577,0.755789,
18,kept,94050,1100,739,0,700,0.671818,9.276364,43.833636,21.933636,2.992279,4.312144,2.529350,4.803361,0.361577,0.755789,
19,kept,94050,1100,739,0,700,0.671818,9.276364,43.833636,21.933636,2.992279,4.312144,2.529350,4.803361,0.361577,0.755789,
20,kept,94050,1100,739,0,700,0.671818,9.276364,43.833636,21.933636,2.992279,4.312144,2.529350,4.803361,0.361577,0.755789,
21,kept,94050,1100,739,0,700,0.671818,9.276364,43.833636,21.933636,2.992279,4.312144,2.529350,4.803361,0.361577,0.755789,
22,learned,98172,1100,756,0,703,0.687273,9.276364,43.520909,20.078182,2.963271,4.351141,2.657822,4.728596,0.271183,0.781449,
23,learned,103912,1100,778,0,712,0.707273,9.437273,44.571818,18.833636,2.861691,4.257273,2.703038,4.633517,0.203387,0.673515,
24,kept,103912,1100,778,0,712,0.707273,9.437273,44.571818,18.833636,2.861691,4.257273,2.703038,4.633517,0.203387,0.673515,
25,kept,103912,1100,778,0,712,0.707273,9.437273,44.571818,18.833636,2.861691,4.257273,2.703038,4.633517,0.203387,0.673515,
26,kept,103912,1100,778,0,712,0.707273,9.437273,44.571818,18.833636,2.861691,4.257273,2.703038,4.633517,0.203387,0.673515,
27,kept,103912,1100,778,0,712,0.707273,9.437273,44.571818,18.833636,2.861691,4.257273,2.703038,4.633517,0.203387,0.673515,
28,learned,107053,1100,790,0,723,0.718182,9.621818,44.504545,17.588182,2.891044,4.399653,2.647289,4.664807,0.152540,0.697500,
29,kept,107053,1100,790,0,723,0.718182,9.621818,44.504545,17.588182,2.891044,4.399653,2.647289,4.664807,0.152540,0.697500,
30,kept,107053,1100,790,0,723,0.718182,9.621818,44.504545,17.588182,2.891044,4.399653,2.647289,4.664807,0.152540,0.697500,
31,kept,107053,1100,790,0,723,0.718182,9.621818,44.504545,17.588182,2.891044,4.399653,2.647289,4.664807,0.152540,0.697500,
32,learned,107839,1100,793,0,729,0.720909,9.724545,44.710909,17.543636,3.005706,4.353085,2.684538,4.701912,0.114405,0.773125,
33,learned,110375,1100,811,0,724,0.737273,9.626364,43.450909,16.200909,2.862383,4.341540,2.808142,4.776434,0.085804,0.789652,
34,kept,110375,1100,811,0,724,0.737273,9.626364,43.450909,16.200909,2.862383,4.341540,2.808142,4.776434,0.085804,0.789652,
35,kept,110375,1100,811,0,724,0.737273,9.626364,43.450909,16.200909,2.862383,4.341540,2.808142,4.776434,0.085804,0.789652,
36,kept,110375,1100,811,0,724,0.737273,9.626364,43.450909,16.200909,2.862383,4.341540,2.808142,4.776434,0.085804,0.789652,
37,kept,110375,1100,811,0,724,0.737273,9.626364,43.450909,16.200909,2.862383,4.341540,2.808142,4.776434,0.085804,0.789652,
38,kept,110375,1100,811,0,724,0.737273,9.626364,43.450909,16.200909,2.862383,4.341540,2.808142,4.776434,0.085804,0.789652,
39,kept,110375,1100,811,0,724,0.737273,9.626364,43.450909,16.200909,2.862383,4.341540,2.808142,4.776434,0.085804,0.789652,
40,learned,111458,1100,809,1,715,0.735455,9.746364,44.390000,15.841818,2.963302,4.355019,2.782696,4.705884,0.064353,0.842239,
41,kept,111458,1100,809,1,715,0.735455,9.746364,44.390000,15.841818,2.963302,4.355019,2.782696,4.705884,0.064353,0.842239,
42,kept,111458,1100,809,1,715,0.735455,9.746364,44.390000,15.841818,2.963302,4.355019,2.782696,4.705884,0.064353,0.842239,
43,kept,111458,1100,809,1,715,0.735455,9.746364,44.390000,15.841818,2.963302,4.355019,2.782696,4.705884,0.064353,0.842239,
44,kept,111458,1100,809,1,715,0.735455,9.746364,44.390000,15.841818,2.963302,4.355019,2.782696,4.705884,0.064353,0.842239,
45,learned,113047,1100,821,0,736,0.746364,9.681818,43.242727,15.000000,2.955890,4.461990,2.633045,4.691751,0.048265,0.881679,
46,kept,113047,1100,821,0,736,0.746364,9.681818,43.242727,15.000000,2.955890,4.461990,2.633045,4.691751,0.048265,0.881679,
47,kept,113047,1100,821,0,736,0.746364,9.681818,43.242727,15.000000,2.955890,4.461990,2.633045,4.691751,0.048265,0.881679,
48,kept,113047,1100,821,0,736,0.746364,9.681818,43.242727,15.000000,2.955890,4.461990,2.633045,4.691751,0.048265,0.881679,
49,kept,113047,1100,821,0,736,0.746364,9.681818,43.242727,15.000000,2.955890,4.461990,2.633045,4.691751,0.048265,0.881679,
50,learned,117836,1100,835,1,761,0.759091,9.536364,44.881818,14.471818,3.091790,4.536169,2.657380,4.768813,0.036199,0.911259,
51,kept,117836,1100,835,1,761,0.759091,9.536364,44.881818,14.471818,3.091790,4.536169,2.657380,4.768813,0.036199,0.911259,
52,kept,117836,1100,835,1,761,0.759091,9.536364,44.881818,14.471818,3.091790,4.536169,2.657380,4.768813,0.036199,0.911259,
53,learned,118542,1100,841,0,743,0.764545,9.692727,45.320000,14.722727,3.108607,4.466189,2.517683,4.820041,0.030557,0.933444,
54,kept,118542,1100,841,0,743,0.764545,9.692727,45.320000,14.722727,3.108607,4.466189,2.517683,4.820041,0.030557,0.933444,
55,kept,118542,1100,841,0,743,0.764545,9.692727,45.320000,14.722727,3.108607,4.466189,2.517683,4.820041,0.030557,0.933444,
56,kept,118542,1100,841,0,743,0.764545,9.692727,45.320000,14.722727,3.108607,4.466189,2.517683,4.820041,0.030557,0.933444,
57,kept,118542,1100,841,0,743,0.764545,9.692727,45.320000,14.722727,3.108607,4.466189,2.517683,4.820041,0.030557,0.933444,
