generation,status,fitness,games,wins,draws,port_wins,win_rate,avg_turns,avg_assets,avg_opponent_assets,shipyard_started_rate,shipyard_completed_rate,fort_started_rate,fort_completed_rate,trade_guild_started_rate,trade_guild_completed_rate,guard_captain_rate,avg_guard_captains,trade_weight,raid_weight,guard_weight,fire_weight,convoy_bias,ship_bias,shipyard_bias,fort_bias,trade_guild_bias,guard_captain_bias,fire_plans_bias,construction_idle_bias,build_priority
0,initial,-54386,1300,308,4,81,0.236923,10.658462,18.577692,54.732308,0.254615,0.232308,0.284615,0.243077,0.130769,0.102308,0.910000,2.761538,2.056465,3.880366,2.114176,1.283839,0.843924,0.447665,0.661621,0.430563,0.141945,0.805065,0.983723,0.864699,guard_captain|fort|shipyard
1,kept,-54386,1300,308,4,81,0.236923,10.658462,18.577692,54.732308,0.254615,0.232308,0.284615,0.243077,0.130769,0.102308,0.910000,2.761538,2.056465,3.880366,2.114176,1.283839,0.843924,0.447665,0.661621,0.430563,0.141945,0.805065,0.983723,0.864699,guard_captain|fort|shipyard
2,kept,-54386,1300,308,4,81,0.236923,10.658462,18.577692,54.732308,0.254615,0.232308,0.284615,0.243077,0.130769,0.102308,0.910000,2.761538,2.056465,3.880366,2.114176,1.283839,0.843924,0.447665,0.661621,0.430563,0.141945,0.805065,0.983723,0.864699,guard_captain|fort|shipyard
3,kept,-54386,1300,308,4,81,0.236923,10.658462,18.577692,54.732308,0.254615,0.232308,0.284615,0.243077,0.130769,0.102308,0.910000,2.761538,2.056465,3.880366,2.114176,1.283839,0.843924,0.447665,0.661621,0.430563,0.141945,0.805065,0.983723,0.864699,guard_captain|fort|shipyard
4,kept,-54386,1300,308,4,81,0.236923,10.658462,18.577692,54.732308,0.254615,0.232308,0.284615,0.243077,0.130769,0.102308,0.910000,2.761538,2.056465,3.880366,2.114176,1.283839,0.843924,0.447665,0.661621,0.430563,0.141945,0.805065,0.983723,0.864699,guard_captain|fort|shipyard
5,kept,-54386,1300,308,4,81,0.236923,10.658462,18.577692,54.732308,0.254615,0.232308,0.284615,0.243077,0.130769,0.102308,0.910000,2.761538,2.056465,3.880366,2.114176,1.283839,0.843924,0.447665,0.661621,0.430563,0.141945,0.805065,0.983723,0.864699,guard_captain|fort|shipyard
6,kept,-54386,1300,308,4,81,0.236923,10.658462,18.577692,54.732308,0.254615,0.232308,0.284615,0.243077,0.130769,0.102308,0.910000,2.761538,2.056465,3.880366,2.114176,1.283839,0.843924,0.447665,0.661621,0.430563,0.141945,0.805065,0.983723,0.864699,guard_captain|fort|shipyard
7,kept,-54386,1300,308,4,81,0.236923,10.658462,18.577692,54.732308,0.254615,0.232308,0.284615,0.243077,0.130769,0.102308,0.910000,2.761538,2.056465,3.880366,2.114176,1.283839,0.843924,0.447665,0.661621,0.430563,0.141945,0.805065,0.983723,0.864699,guard_captain|fort|shipyard
8,kept,-54386,1300,308,4,81,0.236923,10.658462,18.577692,54.732308,0.254615,0.232308,0.284615,0.243077,0.130769,0.102308,0.910000,2.761538,2.056465,3.880366,2.114176,1.283839,0.843924,0.447665,0.661621,0.430563,0.141945,0.805065,0.983723,0.864699,guard_captain|fort|shipyard
9,kept,-54386,1300,308,4,81,0.236923,10.658462,18.577692,54.732308,0.254615,0.232308,0.284615,0.243077,0.130769,0.102308,0.910000,2.761538,2.056465,3.880366,2.114176,1.283839,0.843924,0.447665,0.661621,0.430563,0.141945,0.805065,0.983723,0.864699,guard_captain|fort|shipyard
10,kept,-54386,1300,308,4,81,0.236923,10.658462,18.577692,54.732308,0.254615,0.232308,0.284615,0.243077,0.130769,0.102308,0.910000,2.761538,2.056465,3.880366,2.114176,1.283839,0.843924,0.447665,0.661621,0.430563,0.141945,0.805065,0.983723,0.864699,guard_captain|fort|shipyard
11,kept,-54386,1300,308,4,81,0.236923,10.658462,18.577692,54.732308,0.254615,0.232308,0.284615,0.243077,0.130769,0.102308,0.910000,2.761538,2.056465,3.880366,2.114176,1.283839,0.843924,0.447665,0.661621,0.430563,0.141945,0.805065,0.983723,0.864699,guard_captain|fort|shipyard
12,kept,-54386,1300,308,4,81,0.236923,10.658462,18.577692,54.732308,0.254615,0.232308,0.284615,0.243077,0.130769,0.102308,0.910000,2.761538,2.056465,3.880366,2.114176,1.283839,0.843924,0.447665,0.661621,0.430563,0.141945,0.805065,0.983723,0.864699,guard_captain|fort|shipyard
13,kept,-54386,1300,308,4,81,0.236923,10.658462,18.577692,54.732308,0.254615,0.232308,0.284615,0.243077,0.130769,0.102308,0.910000,2.761538,2.056465,3.880366,2.114176,1.283839,0.843924,0.447665,0.661621,0.430563,0.141945,0.805065,0.983723,0.864699,guard_captain|fort|shipyard
14,kept,-54386,1300,308,4,81,0.236923,10.658462,18.577692,54.732308,0.254615,0.232308,0.284615,0.243077,0.130769,0.102308,0.910000,2.761538,2.056465,3.880366,2.114176,1.283839,0.843924,0.447665,0.661621,0.430563,0.141945,0.805065,0.983723,0.864699,guard_captain|fort|shipyard
15,kept,-54386,1300,308,4,81,0.236923,10.658462,18.577692,54.732308,0.254615,0.232308,0.284615,0.243077,0.130769,0.102308,0.910000,2.761538,2.056465,3.880366,2.114176,1.283839,0.843924,0.447665,0.661621,0.430563,0.141945,0.805065,0.983723,0.864699,guard_captain|fort|shipyard
16,kept,-54386,1300,308,4,81,0.236923,10.658462,18.577692,54.732308,0.254615,0.232308,0.284615,0.243077,0.130769,0.102308,0.910000,2.761538,2.056465,3.880366,2.114176,1.283839,0.843924,0.447665,0.661621,0.430563,0.141945,0.805065,0.983723,0.864699,guard_captain|fort|shipyard
17,kept,-54386,1300,308,4,81,0.236923,10.658462,18.577692,54.732308,0.254615,0.232308,0.284615,0.243077,0.130769,0.102308,0.910000,2.761538,2.056465,3.880366,2.114176,1.283839,0.843924,0.447665,0.661621,0.430563,0.141945,0.805065,0.983723,0.864699,guard_captain|fort|shipyard
18,kept,-54386,1300,308,4,81,0.236923,10.658462,18.577692,54.732308,0.254615,0.232308,0.284615,0.243077,0.130769,0.102308,0.910000,2.761538,2.056465,3.880366,2.114176,1.283839,0.843924,0.447665,0.661621,0.430563,0.141945,0.805065,0.983723,0.864699,guard_captain|fort|shipyard
19,kept,-54386,1300,308,4,81,0.236923,10.658462,18.577692,54.732308,0.254615,0.232308,0.284615,0.243077,0.130769,0.102308,0.910000,2.761538,2.056465,3.880366,2.114176,1.283839,0.843924,0.447665,0.661621,0.430563,0.141945,0.805065,0.983723,0.864699,guard_captain|fort|shipyard
20,kept,-54386,1300,308,4,81,0.236923,10.658462,18.577692,54.732308,0.254615,0.232308,0.284615,0.243077,0.130769,0.102308,0.910000,2.761538,2.056465,3.880366,2.114176,1.283839,0.843924,0.447665,0.661621,0.430563,0.141945,0.805065,0.983723,0.864699,guard_captain|fort|shipyard
21,kept,-54386,1300,308,4,81,0.236923,10.658462,18.577692,54.732308,0.254615,0.232308,0.284615,0.243077,0.130769,0.102308,0.910000,2.761538,2.056465,3.880366,2.114176,1.283839,0.843924,0.447665,0.661621,0.430563,0.141945,0.805065,0.983723,0.864699,guard_captain|fort|shipyard
22,kept,-54386,1300,308,4,81,0.236923,10.658462,18.577692,54.732308,0.254615,0.232308,0.284615,0.243077,0.130769,0.102308,0.910000,2.761538,2.056465,3.880366,2.114176,1.283839,0.843924,0.447665,0.661621,0.430563,0.141945,0.805065,0.983723,0.864699,guard_captain|fort|shipyard
