generation,status,fitness,games,wins,draws,port_wins,win_rate,avg_turns,avg_assets,avg_opponent_assets,shipyard_started_rate,shipyard_completed_rate,fort_started_rate,fort_completed_rate,trade_guild_started_rate,trade_guild_completed_rate,guard_captain_rate,avg_guard_captains,trade_weight,raid_weight,guard_weight,fire_weight,convoy_bias,ship_bias,shipyard_bias,fort_bias,trade_guild_bias,guard_captain_bias,fire_plans_bias,construction_idle_bias,build_priority
0,initial,-62927,1100,208,0,128,0.189091,9.642727,17.630000,63.054545,0.231818,0.194545,0.362727,0.207273,0.183636,0.105455,0.961818,3.190000,2.056465,3.880366,2.114176,1.283839,0.843924,0.447665,0.661621,0.430563,0.141945,0.805065,0.983723,0.864699,guard_captain|fort|shipyard
1,kept,-62927,1100,208,0,128,0.189091,9.642727,17.630000,63.054545,0.231818,0.194545,0.362727,0.207273,0.183636,0.105455,0.961818,3.190000,2.056465,3.880366,2.114176,1.283839,0.843924,0.447665,0.661621,0.430563,0.141945,0.805065,0.983723,0.864699,guard_captain|fort|shipyard
2,learned,-53480,1100,236,0,159,0.214545,9.674545,18.417273,59.240000,0.251818,0.220000,0.298182,0.170909,0.131818,0.074545,0.962727,3.243636,2.015661,3.975287,2.098805,1.350916,0.776960,0.472021,0.733134,0.322922,0.106459,0.807062,0.987792,0.829912,guard_captain|fort|shipyard
3,kept,-53480,1100,236,0,159,0.214545,9.674545,18.417273,59.240000,0.251818,0.220000,0.298182,0.170909,0.131818,0.074545,0.962727,3.243636,2.015661,3.975287,2.098805,1.350916,0.776960,0.472021,0.733134,0.322922,0.106459,0.807062,0.987792,0.829912,guard_captain|fort|shipyard
4,kept,-53480,1100,236,0,159,0.214545,9.674545,18.417273,59.240000,0.251818,0.220000,0.298182,0.170909,0.131818,0.074545,0.962727,3.243636,2.015661,3.975287,2.098805,1.350916,0.776960,0.472021,0.733134,0.322922,0.106459,0.807062,0.987792,0.829912,guard_captain|fort|shipyard
5,kept,-53480,1100,236,0,159,0.214545,9.674545,18.417273,59.240000,0.251818,0.220000,0.298182,0.170909,0.131818,0.074545,0.962727,3.243636,2.015661,3.975287,2.098805,1.350916,0.776960,0.472021,0.733134,0.322922,0.106459,0.807062,0.987792,0.829912,guard_captain|fort|shipyard
6,kept,-53480,1100,236,0,159,0.214545,9.674545,18.417273,59.240000,0.251818,0.220000,0.298182,0.170909,0.131818,0.074545,0.962727,3.243636,2.015661,3.975287,2.098805,1.350916,0.776960,0.472021,0.733134,0.322922,0.106459,0.807062,0.987792,0.829912,guard_captain|fort|shipyard
7,kept,-53480,1100,236,0,159,0.214545,9.674545,18.417273,59.240000,0.251818,0.220000,0.298182,0.170909,0.131818,0.074545,0.962727,3.243636,2.015661,3.975287,2.098805,1.350916,0.776960,0.472021,0.733134,0.322922,0.106459,0.807062,0.987792,0.829912,guard_captain|fort|shipyard
8,kept,-53480,1100,236,0,159,0.214545,9.674545,18.417273,59.240000,0.251818,0.220000,0.298182,0.170909,0.131818,0.074545,0.962727,3.243636,2.015661,3.975287,2.098805,1.350916,0.776960,0.472021,0.733134,0.322922,0.106459,0.807062,0.987792,0.829912,guard_captain|fort|shipyard
9,kept,-53480,1100,236,0,159,0.214545,9.674545,18.417273,59.240000,0.251818,0.220000,0.298182,0.170909,0.131818,0.074545,0.962727,3.243636,2.015661,3.975287,2.098805,1.350916,0.776960,0.472021,0.733134,0.322922,0.106459,0.807062,0.987792,0.829912,guard_captain|fort|shipyard
10,learned,-49881,1100,246,1,151,0.223636,9.800000,18.379091,57.157273,0.265455,0.227273,0.269091,0.151818,0.134545,0.068182,0.951818,3.030909,2.111548,3.996023,2.127490,1.339324,0.712485,0.410754,0.706375,0.243230,0.079844,0.729773,0.990844,0.788709,guard_captain|fort|shipyard
11,kept,-49881,1100,246,1,151,0.223636,9.800000,18.379091,57.157273,0.265455,0.227273,0.269091,0.151818,0.134545,0.068182,0.951818,3.030909,2.111548,3.996023,2.127490,1.339324,0.712485,0.410754,0.706375,0.243230,0.079844,0.729773,0.990844,0.788709,guard_captain|fort|shipyard
12,learned,-39887,1100,274,0,162,0.249091,10.280909,19.893636,53.236364,0.297273,0.246364,0.216364,0.129091,0.211818,0.108182,0.955455,3.267273,2.032511,3.979394,1.999714,1.404129,0.562548,0.308065,0.689968,0.204849,0.132850,0.763310,0.993133,0.747179,guard_captain|fort|shipyard
13,kept,-39887,1100,274,0,162,0.249091,10.280909,19.893636,53.236364,0.297273,0.246364,0.216364,0.129091,0.211818,0.108182,0.955455,3.267273,2.032511,3.979394,1.999714,1.404129,0.562548,0.308065,0.689968,0.204849,0.132850,0.763310,0.993133,0.747179,guard_captain|fort|shipyard
14,learned,-38398,1100,276,2,154,0.250909,10.389091,20.042727,52.304545,0.297273,0.248182,0.260000,0.128182,0.237273,0.132727,0.847273,2.649091,1.922551,4.034557,2.015183,1.351184,0.529099,0.231049,0.634549,0.153637,0.099638,0.792927,0.888756,0.782689,fort|shipyard
15,kept,-38398,1100,276,2,154,0.250909,10.389091,20.042727,52.304545,0.297273,0.248182,0.260000,0.128182,0.237273,0.132727,0.847273,2.649091,1.922551,4.034557,2.015183,1.351184,0.529099,0.231049,0.634549,0.153637,0.099638,0.792927,0.888756,0.782689,fort|shipyard
16,kept,-38398,1100,276,2,154,0.250909,10.389091,20.042727,52.304545,0.297273,0.248182,0.260000,0.128182,0.237273,0.132727,0.847273,2.649091,1.922551,4.034557,2.015183,1.351184,0.529099,0.231049,0.634549,0.153637,0.099638,0.792927,0.888756,0.782689,fort|shipyard
17,kept,-38398,1100,276,2,154,0.250909,10.389091,20.042727,52.304545,0.297273,0.248182,0.260000,0.128182,0.237273,0.132727,0.847273,2.649091,1.922551,4.034557,2.015183,1.351184,0.529099,0.231049,0.634549,0.153637,0.099638,0.792927,0.888756,0.782689,fort|shipyard
18,learned,-37486,1100,283,2,157,0.257273,10.330000,19.299091,51.663636,0.304545,0.240000,0.210909,0.110000,0.187273,0.109091,0.880000,2.930909,2.003064,4.046868,1.974285,1.392565,0.530953,0.173287,0.516248,0.115228,0.074728,0.844294,0.752637,0.837017,fort|shipyard
