generation,status,fitness,games,wins,draws,port_wins,port_losses,win_rate,avg_turns,avg_assets,avg_opponent_assets,shipyard_started_rate,shipyard_completed_rate,fort_started_rate,fort_completed_rate,trade_guild_started_rate,trade_guild_completed_rate,fishing_dock_built_rate,fishing_dock_active_rate,avg_fishing_boats,guard_captain_rate,avg_guard_captains,trade_weight,raid_weight,guard_weight,fire_weight,convoy_bias,ship_bias,shipyard_bias,fort_bias,trade_guild_bias,fishing_dock_bias,fishing_boat_bias,guard_captain_bias,fire_plans_bias,construction_idle_bias,build_priority
0,initial,-414438,1500,227,4,72,932,0.151333,9.718667,18.325333,56.460667,0.226000,0.198000,0.240667,0.206667,0.049333,0.038667,0.967333,0.929333,0.568667,0.709333,1.850000,2.056465,3.880366,2.114176,1.283839,0.843924,0.447665,0.661621,0.430563,0.141945,0.864699,0.619392,0.805065,0.983723,0.816469,fishing_dock|fort|guard_captain|shipyard|fire_plans|fishing_boat|trade_guild
1,kept,-414438,1500,227,4,72,932,0.151333,9.718667,18.325333,56.460667,0.226000,0.198000,0.240667,0.206667,0.049333,0.038667,0.967333,0.929333,0.568667,0.709333,1.850000,2.056465,3.880366,2.114176,1.283839,0.843924,0.447665,0.661621,0.430563,0.141945,0.864699,0.619392,0.805065,0.983723,0.816469,fishing_dock|fort|guard_captain|shipyard|fire_plans|fishing_boat|trade_guild
2,kept,-414438,1500,227,4,72,932,0.151333,9.718667,18.325333,56.460667,0.226000,0.198000,0.240667,0.206667,0.049333,0.038667,0.967333,0.929333,0.568667,0.709333,1.850000,2.056465,3.880366,2.114176,1.283839,0.843924,0.447665,0.661621,0.430563,0.141945,0.864699,0.619392,0.805065,0.983723,0.816469,fishing_dock|fort|guard_captain|shipyard|fire_plans|fishing_boat|trade_guild
3,learned,-410111,1500,223,5,53,887,0.148667,9.969333,18.052667,53.498667,0.223333,0.198000,0.264667,0.224000,0.092000,0.072000,0.956667,0.913333,0.576000,0.666667,1.574000,1.867259,4.112623,2.067040,1.473190,0.675988,0.382911,0.780054,0.568781,0.336684,0.787420,0.562574,0.614339,0.958639,0.854722,fishing_dock|fort|guard_captain|shipyard|fire_plans|fishing_boat|trade_guild
4,learned,-408893,1500,227,2,53,886,0.151333,9.834667,19.879333,56.674667,0.228000,0.202000,0.300000,0.272000,0.116000,0.092000,0.966667,0.928667,0.586000,0.556667,1.085333,1.680070,3.967882,2.289060,1.697876,0.789393,0.378290,0.602368,0.719708,0.336441,0.861823,0.539333,0.406891,0.973115,0.659704,fishing_dock|fort|guard_captain|shipyard|fire_plans|fishing_boat|trade_guild
5,learned,-363409,1500,299,3,56,852,0.199333,9.949333,24.072667,56.786667,0.240000,0.216667,0.341333,0.318000,0.179333,0.144000,0.974667,0.911333,1.200000,0.451333,0.741333,1.897189,3.912927,2.322819,1.732096,0.781338,0.555864,0.458150,0.817810,0.477363,0.910185,0.700567,0.273187,0.824336,0.710970,fishing_dock|fort|guard_captain|shipyard|fire_plans|fishing_boat|trade_guild
6,learned,-357889,1500,297,1,61,813,0.198000,10.193333,21.092000,50.493333,0.170667,0.140000,0.342000,0.314000,0.199333,0.169333,0.977333,0.931333,0.719333,0.535333,1.070667,1.883935,3.793510,2.143246,1.905572,0.566660,0.711311,0.331751,0.881576,0.660286,0.909450,0.507219,0.398931,0.885818,0.699429,fishing_dock|fort|guard_captain|shipyard|fire_plans|fishing_boat|trade_guild
7,learned,-344450,1500,307,8,62,773,0.204667,10.436667,20.747333,48.397333,0.186667,0.163333,0.306667,0.262667,0.211333,0.173333,0.944000,0.896667,0.825333,0.453333,0.734000,2.047104,3.854292,2.140195,1.660762,0.401740,0.689187,0.368156,0.656050,0.651556,0.767997,0.533011,0.259305,0.925782,0.724529,fishing_dock|fort|guard_captain|shipyard|fire_plans|fishing_boat|trade_guild
8,learned,-333081,1500,325,5,54,770,0.216667,10.611333,20.741333,45.436667,0.147333,0.116667,0.168667,0.121333,0.440667,0.414667,0.925333,0.890667,0.874667,0.354000,0.505333,2.163471,3.878072,1.909421,1.628220,0.273928,0.583094,0.239301,0.704298,0.623662,0.663572,0.467463,0.168548,0.951758,0.820944,fishing_dock|trade_guild|guard_captain|shipyard|fire_plans|fishing_boat|fort
9,kept,-333081,1500,325,5,54,770,0.216667,10.611333,20.741333,45.436667,0.147333,0.116667,0.168667,0.121333,0.440667,0.414667,0.925333,0.890667,0.874667,0.354000,0.505333,2.163471,3.878072,1.909421,1.628220,0.273928,0.583094,0.239301,0.704298,0.623662,0.663572,0.467463,0.168548,0.951758,0.820944,fishing_dock|trade_guild|guard_captain|shipyard|fire_plans|fishing_boat|fort
10,learned,-330881,1500,326,9,47,764,0.217333,10.726000,20.022000,44.016667,0.151333,0.122000,0.138000,0.103333,0.452000,0.428000,0.929333,0.894000,0.821333,0.264667,0.335333,2.391077,3.970627,1.964335,1.621929,0.178053,0.606750,0.297128,0.651444,0.692949,0.686571,0.433484,0.109556,0.762183,0.883613,fishing_dock|trade_guild|guard_captain|shipyard|fire_plans|fishing_boat|fort
11,kept,-330881,1500,326,9,47,764,0.217333,10.726000,20.022000,44.016667,0.151333,0.122000,0.138000,0.103333,0.452000,0.428000,0.929333,0.894000,0.821333,0.264667,0.335333,2.391077,3.970627,1.964335,1.621929,0.178053,0.606750,0.297128,0.651444,0.692949,0.686571,0.433484,0.109556,0.762183,0.883613,fishing_dock|trade_guild|guard_captain|shipyard|fire_plans|fishing_boat|fort
12,kept,-330881,1500,326,9,47,764,0.217333,10.726000,20.022000,44.016667,0.151333,0.122000,0.138000,0.103333,0.452000,0.428000,0.929333,0.894000,0.821333,0.264667,0.335333,2.391077,3.970627,1.964335,1.621929,0.178053,0.606750,0.297128,0.651444,0.692949,0.686571,0.433484,0.109556,0.762183,0.883613,fishing_dock|trade_guild|guard_captain|shipyard|fire_plans|fishing_boat|fort
13,kept,-330881,1500,326,9,47,764,0.217333,10.726000,20.022000,44.016667,0.151333,0.122000,0.138000,0.103333,0.452000,0.428000,0.929333,0.894000,0.821333,0.264667,0.335333,2.391077,3.970627,1.964335,1.621929,0.178053,0.606750,0.297128,0.651444,0.692949,0.686571,0.433484,0.109556,0.762183,0.883613,fishing_dock|trade_guild|guard_captain|shipyard|fire_plans|fishing_boat|fort
14,learned,-330446,1500,320,6,40,724,0.213333,10.778667,20.696667,44.847333,0.110667,0.090000,0.159333,0.123333,0.483333,0.458000,0.936667,0.898000,0.884667,0.170000,0.198000,2.576231,3.791091,1.783578,1.723906,0.115735,0.609107,0.193133,0.733130,0.800417,0.705909,0.431905,0.071212,0.563349,0.924349,fishing_dock|trade_guild|guard_captain|shipyard|fire_plans|fishing_boat|fort
15,kept,-330446,1500,320,6,40,724,0.213333,10.778667,20.696667,44.847333,0.110667,0.090000,0.159333,0.123333,0.483333,0.458000,0.936667,0.898000,0.884667,0.170000,0.198000,2.576231,3.791091,1.783578,1.723906,0.115735,0.609107,0.193133,0.733130,0.800417,0.705909,0.431905,0.071212,0.563349,0.924349,fishing_dock|trade_guild|guard_captain|shipyard|fire_plans|fishing_boat|fort
16,learned,-319779,1500,334,1,39,701,0.222667,10.957333,20.931333,43.688000,0.129333,0.093333,0.144000,0.097333,0.457333,0.430667,0.960000,0.920667,1.130000,0.123333,0.137333,2.425994,3.828951,1.613711,1.954858,0.075227,0.395919,0.217372,0.511531,0.701209,0.748916,0.458937,0.046288,0.366177,0.950827,fishing_dock|trade_guild|guard_captain|shipyard|fire_plans|fishing_boat|fort
17,kept,-319779,1500,334,1,39,701,0.222667,10.957333,20.931333,43.688000,0.129333,0.093333,0.144000,0.097333,0.457333,0.430667,0.960000,0.920667,1.130000,0.123333,0.137333,2.425994,3.828951,1.613711,1.954858,0.075227,0.395919,0.217372,0.511531,0.701209,0.748916,0.458937,0.046288,0.366177,0.950827,fishing_dock|trade_guild|guard_captain|shipyard|fire_plans|fishing_boat|fort
18,learned,-302062,1500,354,9,40,675,0.236000,10.957333,20.912667,40.586667,0.100667,0.071333,0.131333,0.091333,0.444000,0.415333,0.970667,0.941333,1.140667,0.084000,0.090667,2.239232,3.802474,1.757865,2.166506,0.048898,0.471886,0.141292,0.495918,0.680642,0.836796,0.420244,0.030087,0.588015,0.968037,fishing_dock|trade_guild|guard_captain|shipyard|fire_plans|fishing_boat|fort
19,kept,-302062,1500,354,9,40,675,0.236000,10.957333,20.912667,40.586667,0.100667,0.071333,0.131333,0.091333,0.444000,0.415333,0.970667,0.941333,1.140667,0.084000,0.090667,2.239232,3.802474,1.757865,2.166506,0.048898,0.471886,0.141292,0.495918,0.680642,0.836796,0.420244,0.030087,0.588015,0.968037,fishing_dock|trade_guild|guard_captain|shipyard|fire_plans|fishing_boat|fort
20,kept,-302062,1500,354,9,40,675,0.236000,10.957333,20.912667,40.586667,0.100667,0.071333,0.131333,0.091333,0.444000,0.415333,0.970667,0.941333,1.140667,0.084000,0.090667,2.239232,3.802474,1.757865,2.166506,0.048898,0.471886,0.141292,0.495918,0.680642,0.836796,0.420244,0.030087,0.588015,0.968037,fishing_dock|trade_guild|guard_captain|shipyard|fire_plans|fishing_boat|fort
21,kept,-302062,1500,354,9,40,675,0.236000,10.957333,20.912667,40.586667,0.100667,0.071333,0.131333,0.091333,0.444000,0.415333,0.970667,0.941333,1.140667,0.084000,0.090667,2.239232,3.802474,1.757865,2.166506,0.048898,0.471886,0.141292,0.495918,0.680642,0.836796,0.420244,0.030087,0.588015,0.968037,fishing_dock|trade_guild|guard_captain|shipyard|fire_plans|fishing_boat|fort
22,kept,-302062,1500,354,9,40,675,0.236000,10.957333,20.912667,40.586667,0.100667,0.071333,0.131333,0.091333,0.444000,0.415333,0.970667,0.941333,1.140667,0.084000,0.090667,2.239232,3.802474,1.757865,2.166506,0.048898,0.471886,0.141292,0.495918,0.680642,0.836796,0.420244,0.030087,0.588015,0.968037,fishing_dock|trade_guild|guard_captain|shipyard|fire_plans|fishing_boat|fort
23,kept,-302062,1500,354,9,40,675,0.236000,10.957333,20.912667,40.586667,0.100667,0.071333,0.131333,0.091333,0.444000,0.415333,0.970667,0.941333,1.140667,0.084000,0.090667,2.239232,3.802474,1.757865,2.166506,0.048898,0.471886,0.141292,0.495918,0.680642,0.836796,0.420244,0.030087,0.588015,0.968037,fishing_dock|trade_guild|guard_captain|shipyard|fire_plans|fishing_boat|fort
24,kept,-302062,1500,354,9,40,675,0.236000,10.957333,20.912667,40.586667,0.100667,0.071333,0.131333,0.091333,0.444000,0.415333,0.970667,0.941333,1.140667,0.084000,0.090667,2.239232,3.802474,1.757865,2.166506,0.048898,0.471886,0.141292,0.495918,0.680642,0.836796,0.420244,0.030087,0.588015,0.968037,fishing_dock|trade_guild|guard_captain|shipyard|fire_plans|fishing_boat|fort
25,learned,-276252,1500,384,10,56,617,0.256000,11.069333,23.653333,41.278000,0.190667,0.156000,0.126667,0.086000,0.458000,0.420667,0.968667,0.928000,1.512000,0.050667,0.054000,2.378445,3.563615,1.580435,2.286654,0.031784,0.549054,0.306968,0.540179,0.709574,0.893917,0.566795,0.019556,0.415905,0.764125,fishing_dock|trade_guild|guard_captain|shipyard|fire_plans|fishing_boat|fort
26,learned,-225162,1500,456,8,91,545,0.304000,11.186667,27.244000,39.857333,0.198000,0.152000,0.118667,0.086667,0.540667,0.504667,0.969333,0.934667,1.964667,0.039333,0.039333,2.448387,3.776498,1.654115,2.472681,0.020659,0.706885,0.260962,0.381728,0.811223,0.867291,0.718417,0.012712,0.270338,0.846681,fishing_dock|trade_guild|guard_captain|shipyard|fire_plans|fishing_boat|fort
27,kept,-225162,1500,456,8,91,545,0.304000,11.186667,27.244000,39.857333,0.198000,0.152000,0.118667,0.086667,0.540667,0.504667,0.969333,0.934667,1.964667,0.039333,0.039333,2.448387,3.776498,1.654115,2.472681,0.020659,0.706885,0.260962,0.381728,0.811223,0.867291,0.718417,0.012712,0.270338,0.846681,fishing_dock|trade_guild|guard_captain|shipyard|fire_plans|fishing_boat|fort
28,learned,-223912,1500,468,5,90,591,0.312000,11.118667,28.718000,39.006667,0.223333,0.181333,0.111333,0.080667,0.508000,0.478000,0.974000,0.936000,2.341333,0.039333,0.041333,2.382012,3.886933,1.835833,2.298333,0.013429,0.633827,0.300366,0.356913,0.781844,0.913739,0.816971,0.008263,0.175720,0.632964,fishing_dock|trade_guild|guard_captain|shipyard|fire_plans|fishing_boat|fort
29,kept,-223912,1500,468,5,90,591,0.312000,11.118667,28.718000,39.006667,0.223333,0.181333,0.111333,0.080667,0.508000,0.478000,0.974000,0.936000,2.341333,0.039333,0.041333,2.382012,3.886933,1.835833,2.298333,0.013429,0.633827,0.300366,0.356913,0.781844,0.913739,0.816971,0.008263,0.175720,0.632964,fishing_dock|trade_guild|guard_captain|shipyard|fire_plans|fishing_boat|fort
30,kept,-223912,1500,468,5,90,591,0.312000,11.118667,28.718000,39.006667,0.223333,0.181333,0.111333,0.080667,0.508000,0.478000,0.974000,0.936000,2.341333,0.039333,0.041333,2.382012,3.886933,1.835833,2.298333,0.013429,0.633827,0.300366,0.356913,0.781844,0.913739,0.816971,0.008263,0.175720,0.632964,fishing_dock|trade_guild|guard_captain|shipyard|fire_plans|fishing_boat|fort
31,learned,-193655,1500,507,13,125,561,0.338000,11.125333,28.424000,36.440667,0.275333,0.225333,0.096000,0.064667,0.456000,0.420000,0.956000,0.922000,2.151333,0.230000,0.278000,2.526253,3.966109,1.870222,2.068012,0.008729,0.636663,0.448102,0.308317,0.573133,0.783075,0.881031,0.088152,0.114218,0.761426,fishing_dock|trade_guild|guard_captain|shipyard|fire_plans|fishing_boat|fort
32,kept,-193655,1500,507,13,125,561,0.338000,11.125333,28.424000,36.440667,0.275333,0.225333,0.096000,0.064667,0.456000,0.420000,0.956000,0.922000,2.151333,0.230000,0.278000,2.526253,3.966109,1.870222,2.068012,0.008729,0.636663,0.448102,0.308317,0.573133,0.783075,0.881031,0.088152,0.114218,0.761426,fishing_dock|trade_guild|guard_captain|shipyard|fire_plans|fishing_boat|fort
33,kept,-193655,1500,507,13,125,561,0.338000,11.125333,28.424000,36.440667,0.275333,0.225333,0.096000,0.064667,0.456000,0.420000,0.956000,0.922000,2.151333,0.230000,0.278000,2.526253,3.966109,1.870222,2.068012,0.008729,0.636663,0.448102,0.308317,0.573133,0.783075,0.881031,0.088152,0.114218,0.761426,fishing_dock|trade_guild|guard_captain|shipyard|fire_plans|fishing_boat|fort
34,kept,-193655,1500,507,13,125,561,0.338000,11.125333,28.424000,36.440667,0.275333,0.225333,0.096000,0.064667,0.456000,0.420000,0.956000,0.922000,2.151333,0.230000,0.278000,2.526253,3.966109,1.870222,2.068012,0.008729,0.636663,0.448102,0.308317,0.573133,0.783075,0.881031,0.088152,0.114218,0.761426,fishing_dock|trade_guild|guard_captain|shipyard|fire_plans|fishing_boat|fort
35,kept,-193655,1500,507,13,125,561,0.338000,11.125333,28.424000,36.440667,0.275333,0.225333,0.096000,0.064667,0.456000,0.420000,0.956000,0.922000,2.151333,0.230000,0.278000,2.526253,3.966109,1.870222,2.068012,0.008729,0.636663,0.448102,0.308317,0.573133,0.783075,0.881031,0.088152,0.114218,0.761426,fishing_dock|trade_guild|guard_captain|shipyard|fire_plans|fishing_boat|fort
36,kept,-193655,1500,507,13,125,561,0.338000,11.125333,28.424000,36.440667,0.275333,0.225333,0.096000,0.064667,0.456000,0.420000,0.956000,0.922000,2.151333,0.230000,0.278000,2.526253,3.966109,1.870222,2.068012,0.008729,0.636663,0.448102,0.308317,0.573133,0.783075,0.881031,0.088152,0.114218,0.761426,fishing_dock|trade_guild|guard_captain|shipyard|fire_plans|fishing_boat|fort
37,kept,-193655,1500,507,13,125,561,0.338000,11.125333,28.424000,36.440667,0.275333,0.225333,0.096000,0.064667,0.456000,0.420000,0.956000,0.922000,2.151333,0.230000,0.278000,2.526253,3.966109,1.870222,2.068012,0.008729,0.636663,0.448102,0.308317,0.573133,0.783075,0.881031,0.088152,0.114218,0.761426,fishing_dock|trade_guild|guard_captain|shipyard|fire_plans|fishing_boat|fort
