generation,status,fitness,games,wins,draws,port_wins,port_losses,dominance_cap_penalty,matchup_floor_penalty,matchup_recovery_bonus,min_matchup_win_rate,win_rate,avg_turns,avg_assets,avg_opponent_assets,shipyard_started_rate,shipyard_completed_rate,fort_started_rate,fort_completed_rate,trade_guild_started_rate,trade_guild_completed_rate,fishing_dock_built_rate,fishing_dock_active_rate,avg_fishing_boats,guard_captain_rate,avg_guard_captains,trade_weight,raid_weight,guard_weight,fire_weight,convoy_bias,ship_bias,shipyard_bias,fort_bias,trade_guild_bias,fishing_dock_bias,fishing_boat_bias,guard_captain_bias,fire_plans_bias,construction_idle_bias,build_priority
14,kept,-46274,170,39,2,9,89,0,9618,0,0.000000,0.229412,10.352941,27.411765,75.988235,0.611765,0.588235,0.276471,0.217647,0.411765,0.376471,0.376471,0.358824,0.611765,0.676471,1.252941,1.971209,3.952129,2.563015,0.383732,0.283822,0.151222,0.978921,0.792620,0.283509,0.125139,0.302567,0.320377,0.740910,0.319809,fishing_boat|trade_guild|fire_plans|guard_captain
15,kept,-46274,170,39,2,9,89,0,9618,0,0.000000,0.229412,10.352941,27.411765,75.988235,0.611765,0.588235,0.276471,0.217647,0.411765,0.376471,0.376471,0.358824,0.611765,0.676471,1.252941,1.971209,3.952129,2.563015,0.383732,0.283822,0.151222,0.978921,0.792620,0.283509,0.125139,0.302567,0.320377,0.740910,0.319809,fishing_boat|trade_guild|fire_plans|guard_captain
16,kept,-46274,170,39,2,9,89,0,9618,0,0.000000,0.229412,10.352941,27.411765,75.988235,0.611765,0.588235,0.276471,0.217647,0.411765,0.376471,0.376471,0.358824,0.611765,0.676471,1.252941,1.971209,3.952129,2.563015,0.383732,0.283822,0.151222,0.978921,0.792620,0.283509,0.125139,0.302567,0.320377,0.740910,0.319809,fishing_boat|trade_guild|fire_plans|guard_captain
17,kept,-46274,170,39,2,9,89,0,9618,0,0.000000,0.229412,10.352941,27.411765,75.988235,0.611765,0.588235,0.276471,0.217647,0.411765,0.376471,0.376471,0.358824,0.611765,0.676471,1.252941,1.971209,3.952129,2.563015,0.383732,0.283822,0.151222,0.978921,0.792620,0.283509,0.125139,0.302567,0.320377,0.740910,0.319809,fishing_boat|trade_guild|fire_plans|guard_captain
18,kept,-46274,170,39,2,9,89,0,9618,0,0.000000,0.229412,10.352941,27.411765,75.988235,0.611765,0.588235,0.276471,0.217647,0.411765,0.376471,0.376471,0.358824,0.611765,0.676471,1.252941,1.971209,3.952129,2.563015,0.383732,0.283822,0.151222,0.978921,0.792620,0.283509,0.125139,0.302567,0.320377,0.740910,0.319809,fishing_boat|trade_guild|fire_plans|guard_captain
19,kept,-46274,170,39,2,9,89,0,9618,0,0.000000,0.229412,10.352941,27.411765,75.988235,0.611765,0.588235,0.276471,0.217647,0.411765,0.376471,0.376471,0.358824,0.611765,0.676471,1.252941,1.971209,3.952129,2.563015,0.383732,0.283822,0.151222,0.978921,0.792620,0.283509,0.125139,0.302567,0.320377,0.740910,0.319809,fishing_boat|trade_guild|fire_plans|guard_captain
20,kept,-46274,170,39,2,9,89,0,9618,0,0.000000,0.229412,10.352941,27.411765,75.988235,0.611765,0.588235,0.276471,0.217647,0.411765,0.376471,0.376471,0.358824,0.611765,0.676471,1.252941,1.971209,3.952129,2.563015,0.383732,0.283822,0.151222,0.978921,0.792620,0.283509,0.125139,0.302567,0.320377,0.740910,0.319809,fishing_boat|trade_guild|fire_plans|guard_captain
21,kept,-46274,170,39,2,9,89,0,9618,0,0.000000,0.229412,10.352941,27.411765,75.988235,0.611765,0.588235,0.276471,0.217647,0.411765,0.376471,0.376471,0.358824,0.611765,0.676471,1.252941,1.971209,3.952129,2.563015,0.383732,0.283822,0.151222,0.978921,0.792620,0.283509,0.125139,0.302567,0.320377,0.740910,0.319809,fishing_boat|trade_guild|fire_plans|guard_captain
22,kept,-46274,170,39,2,9,89,0,9618,0,0.000000,0.229412,10.352941,27.411765,75.988235,0.611765,0.588235,0.276471,0.217647,0.411765,0.376471,0.376471,0.358824,0.611765,0.676471,1.252941,1.971209,3.952129,2.563015,0.383732,0.283822,0.151222,0.978921,0.792620,0.283509,0.125139,0.302567,0.320377,0.740910,0.319809,fishing_boat|trade_guild|fire_plans|guard_captain
23,kept,-46274,170,39,2,9,89,0,9618,0,0.000000,0.229412,10.352941,27.411765,75.988235,0.611765,0.588235,0.276471,0.217647,0.411765,0.376471,0.376471,0.358824,0.611765,0.676471,1.252941,1.971209,3.952129,2.563015,0.383732,0.283822,0.151222,0.978921,0.792620,0.283509,0.125139,0.302567,0.320377,0.740910,0.319809,fishing_boat|trade_guild|fire_plans|guard_captain
24,kept,-46274,170,39,2,9,89,0,9618,0,0.000000,0.229412,10.352941,27.411765,75.988235,0.611765,0.588235,0.276471,0.217647,0.411765,0.376471,0.376471,0.358824,0.611765,0.676471,1.252941,1.971209,3.952129,2.563015,0.383732,0.283822,0.151222,0.978921,0.792620,0.283509,0.125139,0.302567,0.320377,0.740910,0.319809,fishing_boat|trade_guild|fire_plans|guard_captain
25,kept,-46274,170,39,2,9,89,0,9618,0,0.000000,0.229412,10.352941,27.411765,75.988235,0.611765,0.588235,0.276471,0.217647,0.411765,0.376471,0.376471,0.358824,0.611765,0.676471,1.252941,1.971209,3.952129,2.563015,0.383732,0.283822,0.151222,0.978921,0.792620,0.283509,0.125139,0.302567,0.320377,0.740910,0.319809,fishing_boat|trade_guild|fire_plans|guard_captain
26,kept,-46274,170,39,2,9,89,0,9618,0,0.000000,0.229412,10.352941,27.411765,75.988235,0.611765,0.588235,0.276471,0.217647,0.411765,0.376471,0.376471,0.358824,0.611765,0.676471,1.252941,1.971209,3.952129,2.563015,0.383732,0.283822,0.151222,0.978921,0.792620,0.283509,0.125139,0.302567,0.320377,0.740910,0.319809,fishing_boat|trade_guild|fire_plans|guard_captain
27,learned,-46257,170,41,0,12,88,0,10319,0,0.000000,0.241176,10.535294,26.741176,70.264706,0.576471,0.564706,0.282353,0.211765,0.417647,0.335294,0.270588,0.258824,0.529412,0.652941,1.070588,2.061421,3.837301,2.407828,0.377239,0.253475,0.242413,0.985666,0.858982,0.273616,0.085095,0.205746,0.233732,0.657360,0.219718,fishing_boat|trade_guild|fishing_dock|fire_plans|guard_captain
28,kept,-46257,170,41,0,12,88,0,10319,0,0.000000,0.241176,10.535294,26.741176,70.264706,0.576471,0.564706,0.282353,0.211765,0.417647,0.335294,0.270588,0.258824,0.529412,0.652941,1.070588,2.061421,3.837301,2.407828,0.377239,0.253475,0.242413,0.985666,0.858982,0.273616,0.085095,0.205746,0.233732,0.657360,0.219718,fishing_boat|trade_guild|fishing_dock|fire_plans|guard_captain
29,kept,-46257,170,41,0,12,88,0,10319,0,0.000000,0.241176,10.535294,26.741176,70.264706,0.576471,0.564706,0.282353,0.211765,0.417647,0.335294,0.270588,0.258824,0.529412,0.652941,1.070588,2.061421,3.837301,2.407828,0.377239,0.253475,0.242413,0.985666,0.858982,0.273616,0.085095,0.205746,0.233732,0.657360,0.219718,fishing_boat|trade_guild|fishing_dock|fire_plans|guard_captain
30,kept,-46257,170,41,0,12,88,0,10319,0,0.000000,0.241176,10.535294,26.741176,70.264706,0.576471,0.564706,0.282353,0.211765,0.417647,0.335294,0.270588,0.258824,0.529412,0.652941,1.070588,2.061421,3.837301,2.407828,0.377239,0.253475,0.242413,0.985666,0.858982,0.273616,0.085095,0.205746,0.233732,0.657360,0.219718,fishing_boat|trade_guild|fishing_dock|fire_plans|guard_captain
31,kept,-46257,170,41,0,12,88,0,10319,0,0.000000,0.241176,10.535294,26.741176,70.264706,0.576471,0.564706,0.282353,0.211765,0.417647,0.335294,0.270588,0.258824,0.529412,0.652941,1.070588,2.061421,3.837301,2.407828,0.377239,0.253475,0.242413,0.985666,0.858982,0.273616,0.085095,0.205746,0.233732,0.657360,0.219718,fishing_boat|trade_guild|fishing_dock|fire_plans|guard_captain
32,kept,-46257,170,41,0,12,88,0,10319,0,0.000000,0.241176,10.535294,26.741176,70.264706,0.576471,0.564706,0.282353,0.211765,0.417647,0.335294,0.270588,0.258824,0.529412,0.652941,1.070588,2.061421,3.837301,2.407828,0.377239,0.253475,0.242413,0.985666,0.858982,0.273616,0.085095,0.205746,0.233732,0.657360,0.219718,fishing_boat|trade_guild|fishing_dock|fire_plans|guard_captain
33,kept,-46257,170,41,0,12,88,0,10319,0,0.000000,0.241176,10.535294,26.741176,70.264706,0.576471,0.564706,0.282353,0.211765,0.417647,0.335294,0.270588,0.258824,0.529412,0.652941,1.070588,2.061421,3.837301,2.407828,0.377239,0.253475,0.242413,0.985666,0.858982,0.273616,0.085095,0.205746,0.233732,0.657360,0.219718,fishing_boat|trade_guild|fishing_dock|fire_plans|guard_captain
34,kept,-46257,170,41,0,12,88,0,10319,0,0.000000,0.241176,10.535294,26.741176,70.264706,0.576471,0.564706,0.282353,0.211765,0.417647,0.335294,0.270588,0.258824,0.529412,0.652941,1.070588,2.061421,3.837301,2.407828,0.377239,0.253475,0.242413,0.985666,0.858982,0.273616,0.085095,0.205746,0.233732,0.657360,0.219718,fishing_boat|trade_guild|fishing_dock|fire_plans|guard_captain
35,kept,-46257,170,41,0,12,88,0,10319,0,0.000000,0.241176,10.535294,26.741176,70.264706,0.576471,0.564706,0.282353,0.211765,0.417647,0.335294,0.270588,0.258824,0.529412,0.652941,1.070588,2.061421,3.837301,2.407828,0.377239,0.253475,0.242413,0.985666,0.858982,0.273616,0.085095,0.205746,0.233732,0.657360,0.219718,fishing_boat|trade_guild|fishing_dock|fire_plans|guard_captain
36,kept,-46257,170,41,0,12,88,0,10319,0,0.000000,0.241176,10.535294,26.741176,70.264706,0.576471,0.564706,0.282353,0.211765,0.417647,0.335294,0.270588,0.258824,0.529412,0.652941,1.070588,2.061421,3.837301,2.407828,0.377239,0.253475,0.242413,0.985666,0.858982,0.273616,0.085095,0.205746,0.233732,0.657360,0.219718,fishing_boat|trade_guild|fishing_dock|fire_plans|guard_captain
37,kept,-46257,170,41,0,12,88,0,10319,0,0.000000,0.241176,10.535294,26.741176,70.264706,0.576471,0.564706,0.282353,0.211765,0.417647,0.335294,0.270588,0.258824,0.529412,0.652941,1.070588,2.061421,3.837301,2.407828,0.377239,0.253475,0.242413,0.985666,0.858982,0.273616,0.085095,0.205746,0.233732,0.657360,0.219718,fishing_boat|trade_guild|fishing_dock|fire_plans|guard_captain
38,kept,-46257,170,41,0,12,88,0,10319,0,0.000000,0.241176,10.535294,26.741176,70.264706,0.576471,0.564706,0.282353,0.211765,0.417647,0.335294,0.270588,0.258824,0.529412,0.652941,1.070588,2.061421,3.837301,2.407828,0.377239,0.253475,0.242413,0.985666,0.858982,0.273616,0.085095,0.205746,0.233732,0.657360,0.219718,fishing_boat|trade_guild|fishing_dock|fire_plans|guard_captain
39,kept,-46257,170,41,0,12,88,0,10319,0,0.000000,0.241176,10.535294,26.741176,70.264706,0.576471,0.564706,0.282353,0.211765,0.417647,0.335294,0.270588,0.258824,0.529412,0.652941,1.070588,2.061421,3.837301,2.407828,0.377239,0.253475,0.242413,0.985666,0.858982,0.273616,0.085095,0.205746,0.233732,0.657360,0.219718,fishing_boat|trade_guild|fishing_dock|fire_plans|guard_captain
40,kept,-46257,170,41,0,12,88,0,10319,0,0.000000,0.241176,10.535294,26.741176,70.264706,0.576471,0.564706,0.282353,0.211765,0.417647,0.335294,0.270588,0.258824,0.529412,0.652941,1.070588,2.061421,3.837301,2.407828,0.377239,0.253475,0.242413,0.985666,0.858982,0.273616,0.085095,0.205746,0.233732,0.657360,0.219718,fishing_boat|trade_guild|fishing_dock|fire_plans|guard_captain
