generation,status,fitness,games,wins,draws,port_wins,port_losses,dominance_cap_penalty,matchup_floor_penalty,matchup_recovery_bonus,min_matchup_win_rate,win_rate,avg_turns,avg_assets,avg_opponent_assets,shipyard_started_rate,shipyard_completed_rate,fort_started_rate,fort_completed_rate,trade_guild_started_rate,trade_guild_completed_rate,fishing_dock_built_rate,fishing_dock_active_rate,avg_fishing_boats,guard_captain_rate,avg_guard_captains,trade_weight,raid_weight,guard_weight,fire_weight,convoy_bias,ship_bias,shipyard_bias,fort_bias,trade_guild_bias,fishing_dock_bias,fishing_boat_bias,guard_captain_bias,fire_plans_bias,construction_idle_bias,build_priority
290,kept,-7707,170,91,1,79,45,4982,4720,0,0.000000,0.535294,9.817647,42.476471,38.376471,0.064706,0.064706,0.129412,0.100000,0.194118,0.188235,0.576471,0.541176,2.505882,0.135294,0.141176,2.734994,3.842120,2.730834,1.619082,0.010284,0.876872,0.030331,0.087849,0.084056,0.170876,0.348678,0.047143,0.034654,0.266283,fort|shipyard|trade_guild|fishing_dock|fire_plans|guard_captain
291,kept,-7707,170,91,1,79,45,4982,4720,0,0.000000,0.535294,9.817647,42.476471,38.376471,0.064706,0.064706,0.129412,0.100000,0.194118,0.188235,0.576471,0.541176,2.505882,0.135294,0.141176,2.734994,3.842120,2.730834,1.619082,0.010284,0.876872,0.030331,0.087849,0.084056,0.170876,0.348678,0.047143,0.034654,0.266283,fort|shipyard|trade_guild|fishing_dock|fire_plans|guard_captain
292,kept,-7707,170,91,1,79,45,4982,4720,0,0.000000,0.535294,9.817647,42.476471,38.376471,0.064706,0.064706,0.129412,0.100000,0.194118,0.188235,0.576471,0.541176,2.505882,0.135294,0.141176,2.734994,3.842120,2.730834,1.619082,0.010284,0.876872,0.030331,0.087849,0.084056,0.170876,0.348678,0.047143,0.034654,0.266283,fort|shipyard|trade_guild|fishing_dock|fire_plans|guard_captain
293,kept,-7707,170,91,1,79,45,4982,4720,0,0.000000,0.535294,9.817647,42.476471,38.376471,0.064706,0.064706,0.129412,0.100000,0.194118,0.188235,0.576471,0.541176,2.505882,0.135294,0.141176,2.734994,3.842120,2.730834,1.619082,0.010284,0.876872,0.030331,0.087849,0.084056,0.170876,0.348678,0.047143,0.034654,0.266283,fort|shipyard|trade_guild|fishing_dock|fire_plans|guard_captain
294,kept,-7707,170,91,1,79,45,4982,4720,0,0.000000,0.535294,9.817647,42.476471,38.376471,0.064706,0.064706,0.129412,0.100000,0.194118,0.188235,0.576471,0.541176,2.505882,0.135294,0.141176,2.734994,3.842120,2.730834,1.619082,0.010284,0.876872,0.030331,0.087849,0.084056,0.170876,0.348678,0.047143,0.034654,0.266283,fort|shipyard|trade_guild|fishing_dock|fire_plans|guard_captain
295,kept,-7707,170,91,1,79,45,4982,4720,0,0.000000,0.535294,9.817647,42.476471,38.376471,0.064706,0.064706,0.129412,0.100000,0.194118,0.188235,0.576471,0.541176,2.505882,0.135294,0.141176,2.734994,3.842120,2.730834,1.619082,0.010284,0.876872,0.030331,0.087849,0.084056,0.170876,0.348678,0.047143,0.034654,0.266283,fort|shipyard|trade_guild|fishing_dock|fire_plans|guard_captain
296,kept,-7707,170,91,1,79,45,4982,4720,0,0.000000,0.535294,9.817647,42.476471,38.376471,0.064706,0.064706,0.129412,0.100000,0.194118,0.188235,0.576471,0.541176,2.505882,0.135294,0.141176,2.734994,3.842120,2.730834,1.619082,0.010284,0.876872,0.030331,0.087849,0.084056,0.170876,0.348678,0.047143,0.034654,0.266283,fort|shipyard|trade_guild|fishing_dock|fire_plans|guard_captain
297,kept,-7707,170,91,1,79,45,4982,4720,0,0.000000,0.535294,9.817647,42.476471,38.376471,0.064706,0.064706,0.129412,0.100000,0.194118,0.188235,0.576471,0.541176,2.505882,0.135294,0.141176,2.734994,3.842120,2.730834,1.619082,0.010284,0.876872,0.030331,0.087849,0.084056,0.170876,0.348678,0.047143,0.034654,0.266283,fort|shipyard|trade_guild|fishing_dock|fire_plans|guard_captain
298,kept,-7707,170,91,1,79,45,4982,4720,0,0.000000,0.535294,9.817647,42.476471,38.376471,0.064706,0.064706,0.129412,0.100000,0.194118,0.188235,0.576471,0.541176,2.505882,0.135294,0.141176,2.734994,3.842120,2.730834,1.619082,0.010284,0.876872,0.030331,0.087849,0.084056,0.170876,0.348678,0.047143,0.034654,0.266283,fort|shipyard|trade_guild|fishing_dock|fire_plans|guard_captain
299,kept,-7707,170,91,1,79,45,4982,4720,0,0.000000,0.535294,9.817647,42.476471,38.376471,0.064706,0.064706,0.129412,0.100000,0.194118,0.188235,0.576471,0.541176,2.505882,0.135294,0.141176,2.734994,3.842120,2.730834,1.619082,0.010284,0.876872,0.030331,0.087849,0.084056,0.170876,0.348678,0.047143,0.034654,0.266283,fort|shipyard|trade_guild|fishing_dock|fire_plans|guard_captain
300,kept,-7707,170,91,1,79,45,4982,4720,0,0.000000,0.535294,9.817647,42.476471,38.376471,0.064706,0.064706,0.129412,0.100000,0.194118,0.188235,0.576471,0.541176,2.505882,0.135294,0.141176,2.734994,3.842120,2.730834,1.619082,0.010284,0.876872,0.030331,0.087849,0.084056,0.170876,0.348678,0.047143,0.034654,0.266283,fort|shipyard|trade_guild|fishing_dock|fire_plans|guard_captain
301,kept,-7707,170,91,1,79,45,4982,4720,0,0.000000,0.535294,9.817647,42.476471,38.376471,0.064706,0.064706,0.129412,0.100000,0.194118,0.188235,0.576471,0.541176,2.505882,0.135294,0.141176,2.734994,3.842120,2.730834,1.619082,0.010284,0.876872,0.030331,0.087849,0.084056,0.170876,0.348678,0.047143,0.034654,0.266283,fort|shipyard|trade_guild|fishing_dock|fire_plans|guard_captain
302,kept,-7707,170,91,1,79,45,4982,4720,0,0.000000,0.535294,9.817647,42.476471,38.376471,0.064706,0.064706,0.129412,0.100000,0.194118,0.188235,0.576471,0.541176,2.505882,0.135294,0.141176,2.734994,3.842120,2.730834,1.619082,0.010284,0.876872,0.030331,0.087849,0.084056,0.170876,0.348678,0.047143,0.034654,0.266283,fort|shipyard|trade_guild|fishing_dock|fire_plans|guard_captain
303,kept,-7707,170,91,1,79,45,4982,4720,0,0.000000,0.535294,9.817647,42.476471,38.376471,0.064706,0.064706,0.129412,0.100000,0.194118,0.188235,0.576471,0.541176,2.505882,0.135294,0.141176,2.734994,3.842120,2.730834,1.619082,0.010284,0.876872,0.030331,0.087849,0.084056,0.170876,0.348678,0.047143,0.034654,0.266283,fort|shipyard|trade_guild|fishing_dock|fire_plans|guard_captain
304,kept,-7707,170,91,1,79,45,4982,4720,0,0.000000,0.535294,9.817647,42.476471,38.376471,0.064706,0.064706,0.129412,0.100000,0.194118,0.188235,0.576471,0.541176,2.505882,0.135294,0.141176,2.734994,3.842120,2.730834,1.619082,0.010284,0.876872,0.030331,0.087849,0.084056,0.170876,0.348678,0.047143,0.034654,0.266283,fort|shipyard|trade_guild|fishing_dock|fire_plans|guard_captain
305,kept,-7707,170,91,1,79,45,4982,4720,0,0.000000,0.535294,9.817647,42.476471,38.376471,0.064706,0.064706,0.129412,0.100000,0.194118,0.188235,0.576471,0.541176,2.505882,0.135294,0.141176,2.734994,3.842120,2.730834,1.619082,0.010284,0.876872,0.030331,0.087849,0.084056,0.170876,0.348678,0.047143,0.034654,0.266283,fort|shipyard|trade_guild|fishing_dock|fire_plans|guard_captain
306,kept,-7707,170,91,1,79,45,4982,4720,0,0.000000,0.535294,9.817647,42.476471,38.376471,0.064706,0.064706,0.129412,0.100000,0.194118,0.188235,0.576471,0.541176,2.505882,0.135294,0.141176,2.734994,3.842120,2.730834,1.619082,0.010284,0.876872,0.030331,0.087849,0.084056,0.170876,0.348678,0.047143,0.034654,0.266283,fort|shipyard|trade_guild|fishing_dock|fire_plans|guard_captain
307,kept,-7707,170,91,1,79,45,4982,4720,0,0.000000,0.535294,9.817647,42.476471,38.376471,0.064706,0.064706,0.129412,0.100000,0.194118,0.188235,0.576471,0.541176,2.505882,0.135294,0.141176,2.734994,3.842120,2.730834,1.619082,0.010284,0.876872,0.030331,0.087849,0.084056,0.170876,0.348678,0.047143,0.034654,0.266283,fort|shipyard|trade_guild|fishing_dock|fire_plans|guard_captain
308,kept,-7707,170,91,1,79,45,4982,4720,0,0.000000,0.535294,9.817647,42.476471,38.376471,0.064706,0.064706,0.129412,0.100000,0.194118,0.188235,0.576471,0.541176,2.505882,0.135294,0.141176,2.734994,3.842120,2.730834,1.619082,0.010284,0.876872,0.030331,0.087849,0.084056,0.170876,0.348678,0.047143,0.034654,0.266283,fort|shipyard|trade_guild|fishing_dock|fire_plans|guard_captain
309,kept,-7707,170,91,1,79,45,4982,4720,0,0.000000,0.535294,9.817647,42.476471,38.376471,0.064706,0.064706,0.129412,0.100000,0.194118,0.188235,0.576471,0.541176,2.505882,0.135294,0.141176,2.734994,3.842120,2.730834,1.619082,0.010284,0.876872,0.030331,0.087849,0.084056,0.170876,0.348678,0.047143,0.034654,0.266283,fort|shipyard|trade_guild|fishing_dock|fire_plans|guard_captain
310,kept,-7707,170,91,1,79,45,4982,4720,0,0.000000,0.535294,9.817647,42.476471,38.376471,0.064706,0.064706,0.129412,0.100000,0.194118,0.188235,0.576471,0.541176,2.505882,0.135294,0.141176,2.734994,3.842120,2.730834,1.619082,0.010284,0.876872,0.030331,0.087849,0.084056,0.170876,0.348678,0.047143,0.034654,0.266283,fort|shipyard|trade_guild|fishing_dock|fire_plans|guard_captain
311,kept,-7707,170,91,1,79,45,4982,4720,0,0.000000,0.535294,9.817647,42.476471,38.376471,0.064706,0.064706,0.129412,0.100000,0.194118,0.188235,0.576471,0.541176,2.505882,0.135294,0.141176,2.734994,3.842120,2.730834,1.619082,0.010284,0.876872,0.030331,0.087849,0.084056,0.170876,0.348678,0.047143,0.034654,0.266283,fort|shipyard|trade_guild|fishing_dock|fire_plans|guard_captain
312,learned,-3575,170,96,0,74,51,3975,3145,0,0.000000,0.564706,10.094118,36.805882,29.752941,0.070588,0.070588,0.123529,0.111765,0.152941,0.147059,0.358824,0.358824,1.170588,0.135294,0.152941,2.738041,3.798283,2.575164,1.734548,0.063349,0.829348,0.020625,0.059737,0.057158,0.116195,0.438758,0.032057,0.085164,0.334654,fort|shipyard|trade_guild|fishing_dock|fire_plans|guard_captain
313,kept,-3575,170,96,0,74,51,3975,3145,0,0.000000,0.564706,10.094118,36.805882,29.752941,0.070588,0.070588,0.123529,0.111765,0.152941,0.147059,0.358824,0.358824,1.170588,0.135294,0.152941,2.738041,3.798283,2.575164,1.734548,0.063349,0.829348,0.020625,0.059737,0.057158,0.116195,0.438758,0.032057,0.085164,0.334654,fort|shipyard|trade_guild|fishing_dock|fire_plans|guard_captain
314,kept,-3575,170,96,0,74,51,3975,3145,0,0.000000,0.564706,10.094118,36.805882,29.752941,0.070588,0.070588,0.123529,0.111765,0.152941,0.147059,0.358824,0.358824,1.170588,0.135294,0.152941,2.738041,3.798283,2.575164,1.734548,0.063349,0.829348,0.020625,0.059737,0.057158,0.116195,0.438758,0.032057,0.085164,0.334654,fort|shipyard|trade_guild|fishing_dock|fire_plans|guard_captain
315,kept,-3575,170,96,0,74,51,3975,3145,0,0.000000,0.564706,10.094118,36.805882,29.752941,0.070588,0.070588,0.123529,0.111765,0.152941,0.147059,0.358824,0.358824,1.170588,0.135294,0.152941,2.738041,3.798283,2.575164,1.734548,0.063349,0.829348,0.020625,0.059737,0.057158,0.116195,0.438758,0.032057,0.085164,0.334654,fort|shipyard|trade_guild|fishing_dock|fire_plans|guard_captain
316,kept,-3575,170,96,0,74,51,3975,3145,0,0.000000,0.564706,10.094118,36.805882,29.752941,0.070588,0.070588,0.123529,0.111765,0.152941,0.147059,0.358824,0.358824,1.170588,0.135294,0.152941,2.738041,3.798283,2.575164,1.734548,0.063349,0.829348,0.020625,0.059737,0.057158,0.116195,0.438758,0.032057,0.085164,0.334654,fort|shipyard|trade_guild|fishing_dock|fire_plans|guard_captain
317,kept,-3575,170,96,0,74,51,3975,3145,0,0.000000,0.564706,10.094118,36.805882,29.752941,0.070588,0.070588,0.123529,0.111765,0.152941,0.147059,0.358824,0.358824,1.170588,0.135294,0.152941,2.738041,3.798283,2.575164,1.734548,0.063349,0.829348,0.020625,0.059737,0.057158,0.116195,0.438758,0.032057,0.085164,0.334654,fort|shipyard|trade_guild|fishing_dock|fire_plans|guard_captain
318,kept,-3575,170,96,0,74,51,3975,3145,0,0.000000,0.564706,10.094118,36.805882,29.752941,0.070588,0.070588,0.123529,0.111765,0.152941,0.147059,0.358824,0.358824,1.170588,0.135294,0.152941,2.738041,3.798283,2.575164,1.734548,0.063349,0.829348,0.020625,0.059737,0.057158,0.116195,0.438758,0.032057,0.085164,0.334654,fort|shipyard|trade_guild|fishing_dock|fire_plans|guard_captain
319,kept,-3575,170,96,0,74,51,3975,3145,0,0.000000,0.564706,10.094118,36.805882,29.752941,0.070588,0.070588,0.123529,0.111765,0.152941,0.147059,0.358824,0.358824,1.170588,0.135294,0.152941,2.738041,3.798283,2.575164,1.734548,0.063349,0.829348,0.020625,0.059737,0.057158,0.116195,0.438758,0.032057,0.085164,0.334654,fort|shipyard|trade_guild|fishing_dock|fire_plans|guard_captain
320,kept,-3575,170,96,0,74,51,3975,3145,0,0.000000,0.564706,10.094118,36.805882,29.752941,0.070588,0.070588,0.123529,0.111765,0.152941,0.147059,0.358824,0.358824,1.170588,0.135294,0.152941,2.738041,3.798283,2.575164,1.734548,0.063349,0.829348,0.020625,0.059737,0.057158,0.116195,0.438758,0.032057,0.085164,0.334654,fort|shipyard|trade_guild|fishing_dock|fire_plans|guard_captain
321,kept,-3575,170,96,0,74,51,3975,3145,0,0.000000,0.564706,10.094118,36.805882,29.752941,0.070588,0.070588,0.123529,0.111765,0.152941,0.147059,0.358824,0.358824,1.170588,0.135294,0.152941,2.738041,3.798283,2.575164,1.734548,0.063349,0.829348,0.020625,0.059737,0.057158,0.116195,0.438758,0.032057,0.085164,0.334654,fort|shipyard|trade_guild|fishing_dock|fire_plans|guard_captain
322,kept,-3575,170,96,0,74,51,3975,3145,0,0.000000,0.564706,10.094118,36.805882,29.752941,0.070588,0.070588,0.123529,0.111765,0.152941,0.147059,0.358824,0.358824,1.170588,0.135294,0.152941,2.738041,3.798283,2.575164,1.734548,0.063349,0.829348,0.020625,0.059737,0.057158,0.116195,0.438758,0.032057,0.085164,0.334654,fort|shipyard|trade_guild|fishing_dock|fire_plans|guard_captain
323,kept,-3575,170,96,0,74,51,3975,3145,0,0.000000,0.564706,10.094118,36.805882,29.752941,0.070588,0.070588,0.123529,0.111765,0.152941,0.147059,0.358824,0.358824,1.170588,0.135294,0.152941,2.738041,3.798283,2.575164,1.734548,0.063349,0.829348,0.020625,0.059737,0.057158,0.116195,0.438758,0.032057,0.085164,0.334654,fort|shipyard|trade_guild|fishing_dock|fire_plans|guard_captain
324,kept,-3575,170,96,0,74,51,3975,3145,0,0.000000,0.564706,10.094118,36.805882,29.752941,0.070588,0.070588,0.123529,0.111765,0.152941,0.147059,0.358824,0.358824,1.170588,0.135294,0.152941,2.738041,3.798283,2.575164,1.734548,0.063349,0.829348,0.020625,0.059737,0.057158,0.116195,0.438758,0.032057,0.085164,0.334654,fort|shipyard|trade_guild|fishing_dock|fire_plans|guard_captain
325,kept,-3575,170,96,0,74,51,3975,3145,0,0.000000,0.564706,10.094118,36.805882,29.752941,0.070588,0.070588,0.123529,0.111765,0.152941,0.147059,0.358824,0.358824,1.170588,0.135294,0.152941,2.738041,3.798283,2.575164,1.734548,0.063349,0.829348,0.020625,0.059737,0.057158,0.116195,0.438758,0.032057,0.085164,0.334654,fort|shipyard|trade_guild|fishing_dock|fire_plans|guard_captain
326,kept,-3575,170,96,0,74,51,3975,3145,0,0.000000,0.564706,10.094118,36.805882,29.752941,0.070588,0.070588,0.123529,0.111765,0.152941,0.147059,0.358824,0.358824,1.170588,0.135294,0.152941,2.738041,3.798283,2.575164,1.734548,0.063349,0.829348,0.020625,0.059737,0.057158,0.116195,0.438758,0.032057,0.085164,0.334654,fort|shipyard|trade_guild|fishing_dock|fire_plans|guard_captain
327,kept,-3575,170,96,0,74,51,3975,3145,0,0.000000,0.564706,10.094118,36.805882,29.752941,0.070588,0.070588,0.123529,0.111765,0.152941,0.147059,0.358824,0.358824,1.170588,0.135294,0.152941,2.738041,3.798283,2.575164,1.734548,0.063349,0.829348,0.020625,0.059737,0.057158,0.116195,0.438758,0.032057,0.085164,0.334654,fort|shipyard|trade_guild|fishing_dock|fire_plans|guard_captain
328,kept,-3575,170,96,0,74,51,3975,3145,0,0.000000,0.564706,10.094118,36.805882,29.752941,0.070588,0.070588,0.123529,0.111765,0.152941,0.147059,0.358824,0.358824,1.170588,0.135294,0.152941,2.738041,3.798283,2.575164,1.734548,0.063349,0.829348,0.020625,0.059737,0.057158,0.116195,0.438758,0.032057,0.085164,0.334654,fort|shipyard|trade_guild|fishing_dock|fire_plans|guard_captain
329,kept,-3575,170,96,0,74,51,3975,3145,0,0.000000,0.564706,10.094118,36.805882,29.752941,0.070588,0.070588,0.123529,0.111765,0.152941,0.147059,0.358824,0.358824,1.170588,0.135294,0.152941,2.738041,3.798283,2.575164,1.734548,0.063349,0.829348,0.020625,0.059737,0.057158,0.116195,0.438758,0.032057,0.085164,0.334654,fort|shipyard|trade_guild|fishing_dock|fire_plans|guard_captain
330,kept,-3575,170,96,0,74,51,3975,3145,0,0.000000,0.564706,10.094118,36.805882,29.752941,0.070588,0.070588,0.123529,0.111765,0.152941,0.147059,0.358824,0.358824,1.170588,0.135294,0.152941,2.738041,3.798283,2.575164,1.734548,0.063349,0.829348,0.020625,0.059737,0.057158,0.116195,0.438758,0.032057,0.085164,0.334654,fort|shipyard|trade_guild|fishing_dock|fire_plans|guard_captain
331,kept,-3575,170,96,0,74,51,3975,3145,0,0.000000,0.564706,10.094118,36.805882,29.752941,0.070588,0.070588,0.123529,0.111765,0.152941,0.147059,0.358824,0.358824,1.170588,0.135294,0.152941,2.738041,3.798283,2.575164,1.734548,0.063349,0.829348,0.020625,0.059737,0.057158,0.116195,0.438758,0.032057,0.085164,0.334654,fort|shipyard|trade_guild|fishing_dock|fire_plans|guard_captain
332,kept,-3575,170,96,0,74,51,3975,3145,0,0.000000,0.564706,10.094118,36.805882,29.752941,0.070588,0.070588,0.123529,0.111765,0.152941,0.147059,0.358824,0.358824,1.170588,0.135294,0.152941,2.738041,3.798283,2.575164,1.734548,0.063349,0.829348,0.020625,0.059737,0.057158,0.116195,0.438758,0.032057,0.085164,0.334654,fort|shipyard|trade_guild|fishing_dock|fire_plans|guard_captain
333,kept,-3575,170,96,0,74,51,3975,3145,0,0.000000,0.564706,10.094118,36.805882,29.752941,0.070588,0.070588,0.123529,0.111765,0.152941,0.147059,0.358824,0.358824,1.170588,0.135294,0.152941,2.738041,3.798283,2.575164,1.734548,0.063349,0.829348,0.020625,0.059737,0.057158,0.116195,0.438758,0.032057,0.085164,0.334654,fort|shipyard|trade_guild|fishing_dock|fire_plans|guard_captain
334,kept,-3575,170,96,0,74,51,3975,3145,0,0.000000,0.564706,10.094118,36.805882,29.752941,0.070588,0.070588,0.123529,0.111765,0.152941,0.147059,0.358824,0.358824,1.170588,0.135294,0.152941,2.738041,3.798283,2.575164,1.734548,0.063349,0.829348,0.020625,0.059737,0.057158,0.116195,0.438758,0.032057,0.085164,0.334654,fort|shipyard|trade_guild|fishing_dock|fire_plans|guard_captain
335,kept,-3575,170,96,0,74,51,3975,3145,0,0.000000,0.564706,10.094118,36.805882,29.752941,0.070588,0.070588,0.123529,0.111765,0.152941,0.147059,0.358824,0.358824,1.170588,0.135294,0.152941,2.738041,3.798283,2.575164,1.734548,0.063349,0.829348,0.020625,0.059737,0.057158,0.116195,0.438758,0.032057,0.085164,0.334654,fort|shipyard|trade_guild|fishing_dock|fire_plans|guard_captain
336,kept,-3575,170,96,0,74,51,3975,3145,0,0.000000,0.564706,10.094118,36.805882,29.752941,0.070588,0.070588,0.123529,0.111765,0.152941,0.147059,0.358824,0.358824,1.170588,0.135294,0.152941,2.738041,3.798283,2.575164,1.734548,0.063349,0.829348,0.020625,0.059737,0.057158,0.116195,0.438758,0.032057,0.085164,0.334654,fort|shipyard|trade_guild|fishing_dock|fire_plans|guard_captain
337,kept,-3575,170,96,0,74,51,3975,3145,0,0.000000,0.564706,10.094118,36.805882,29.752941,0.070588,0.070588,0.123529,0.111765,0.152941,0.147059,0.358824,0.358824,1.170588,0.135294,0.152941,2.738041,3.798283,2.575164,1.734548,0.063349,0.829348,0.020625,0.059737,0.057158,0.116195,0.438758,0.032057,0.085164,0.334654,fort|shipyard|trade_guild|fishing_dock|fire_plans|guard_captain
338,kept,-3575,170,96,0,74,51,3975,3145,0,0.000000,0.564706,10.094118,36.805882,29.752941,0.070588,0.070588,0.123529,0.111765,0.152941,0.147059,0.358824,0.358824,1.170588,0.135294,0.152941,2.738041,3.798283,2.575164,1.734548,0.063349,0.829348,0.020625,0.059737,0.057158,0.116195,0.438758,0.032057,0.085164,0.334654,fort|shipyard|trade_guild|fishing_dock|fire_plans|guard_captain
339,kept,-3575,170,96,0,74,51,3975,3145,0,0.000000,0.564706,10.094118,36.805882,29.752941,0.070588,0.070588,0.123529,0.111765,0.152941,0.147059,0.358824,0.358824,1.170588,0.135294,0.152941,2.738041,3.798283,2.575164,1.734548,0.063349,0.829348,0.020625,0.059737,0.057158,0.116195,0.438758,0.032057,0.085164,0.334654,fort|shipyard|trade_guild|fishing_dock|fire_plans|guard_captain
340,kept,-3575,170,96,0,74,51,3975,3145,0,0.000000,0.564706,10.094118,36.805882,29.752941,0.070588,0.070588,0.123529,0.111765,0.152941,0.147059,0.358824,0.358824,1.170588,0.135294,0.152941,2.738041,3.798283,2.575164,1.734548,0.063349,0.829348,0.020625,0.059737,0.057158,0.116195,0.438758,0.032057,0.085164,0.334654,fort|shipyard|trade_guild|fishing_dock|fire_plans|guard_captain
341,kept,-3575,170,96,0,74,51,3975,3145,0,0.000000,0.564706,10.094118,36.805882,29.752941,0.070588,0.070588,0.123529,0.111765,0.152941,0.147059,0.358824,0.358824,1.170588,0.135294,0.152941,2.738041,3.798283,2.575164,1.734548,0.063349,0.829348,0.020625,0.059737,0.057158,0.116195,0.438758,0.032057,0.085164,0.334654,fort|shipyard|trade_guild|fishing_dock|fire_plans|guard_captain
342,kept,-3575,170,96,0,74,51,3975,3145,0,0.000000,0.564706,10.094118,36.805882,29.752941,0.070588,0.070588,0.123529,0.111765,0.152941,0.147059,0.358824,0.358824,1.170588,0.135294,0.152941,2.738041,3.798283,2.575164,1.734548,0.063349,0.829348,0.020625,0.059737,0.057158,0.116195,0.438758,0.032057,0.085164,0.334654,fort|shipyard|trade_guild|fishing_dock|fire_plans|guard_captain
343,kept,-3575,170,96,0,74,51,3975,3145,0,0.000000,0.564706,10.094118,36.805882,29.752941,0.070588,0.070588,0.123529,0.111765,0.152941,0.147059,0.358824,0.358824,1.170588,0.135294,0.152941,2.738041,3.798283,2.575164,1.734548,0.063349,0.829348,0.020625,0.059737,0.057158,0.116195,0.438758,0.032057,0.085164,0.334654,fort|shipyard|trade_guild|fishing_dock|fire_plans|guard_captain
344,kept,-3575,170,96,0,74,51,3975,3145,0,0.000000,0.564706,10.094118,36.805882,29.752941,0.070588,0.070588,0.123529,0.111765,0.152941,0.147059,0.358824,0.358824,1.170588,0.135294,0.152941,2.738041,3.798283,2.575164,1.734548,0.063349,0.829348,0.020625,0.059737,0.057158,0.116195,0.438758,0.032057,0.085164,0.334654,fort|shipyard|trade_guild|fishing_dock|fire_plans|guard_captain
345,kept,-3575,170,96,0,74,51,3975,3145,0,0.000000,0.564706,10.094118,36.805882,29.752941,0.070588,0.070588,0.123529,0.111765,0.152941,0.147059,0.358824,0.358824,1.170588,0.135294,0.152941,2.738041,3.798283,2.575164,1.734548,0.063349,0.829348,0.020625,0.059737,0.057158,0.116195,0.438758,0.032057,0.085164,0.334654,fort|shipyard|trade_guild|fishing_dock|fire_plans|guard_captain
346,kept,-3575,170,96,0,74,51,3975,3145,0,0.000000,0.564706,10.094118,36.805882,29.752941,0.070588,0.070588,0.123529,0.111765,0.152941,0.147059,0.358824,0.358824,1.170588,0.135294,0.152941,2.738041,3.798283,2.575164,1.734548,0.063349,0.829348,0.020625,0.059737,0.057158,0.116195,0.438758,0.032057,0.085164,0.334654,fort|shipyard|trade_guild|fishing_dock|fire_plans|guard_captain
347,kept,-3575,170,96,0,74,51,3975,3145,0,0.000000,0.564706,10.094118,36.805882,29.752941,0.070588,0.070588,0.123529,0.111765,0.152941,0.147059,0.358824,0.358824,1.170588,0.135294,0.152941,2.738041,3.798283,2.575164,1.734548,0.063349,0.829348,0.020625,0.059737,0.057158,0.116195,0.438758,0.032057,0.085164,0.334654,fort|shipyard|trade_guild|fishing_dock|fire_plans|guard_captain
348,kept,-3575,170,96,0,74,51,3975,3145,0,0.000000,0.564706,10.094118,36.805882,29.752941,0.070588,0.070588,0.123529,0.111765,0.152941,0.147059,0.358824,0.358824,1.170588,0.135294,0.152941,2.738041,3.798283,2.575164,1.734548,0.063349,0.829348,0.020625,0.059737,0.057158,0.116195,0.438758,0.032057,0.085164,0.334654,fort|shipyard|trade_guild|fishing_dock|fire_plans|guard_captain
349,kept,-3575,170,96,0,74,51,3975,3145,0,0.000000,0.564706,10.094118,36.805882,29.752941,0.070588,0.070588,0.123529,0.111765,0.152941,0.147059,0.358824,0.358824,1.170588,0.135294,0.152941,2.738041,3.798283,2.575164,1.734548,0.063349,0.829348,0.020625,0.059737,0.057158,0.116195,0.438758,0.032057,0.085164,0.334654,fort|shipyard|trade_guild|fishing_dock|fire_plans|guard_captain
350,kept,-3575,170,96,0,74,51,3975,3145,0,0.000000,0.564706,10.094118,36.805882,29.752941,0.070588,0.070588,0.123529,0.111765,0.152941,0.147059,0.358824,0.358824,1.170588,0.135294,0.152941,2.738041,3.798283,2.575164,1.734548,0.063349,0.829348,0.020625,0.059737,0.057158,0.116195,0.438758,0.032057,0.085164,0.334654,fort|shipyard|trade_guild|fishing_dock|fire_plans|guard_captain
351,kept,-3575,170,96,0,74,51,3975,3145,0,0.000000,0.564706,10.094118,36.805882,29.752941,0.070588,0.070588,0.123529,0.111765,0.152941,0.147059,0.358824,0.358824,1.170588,0.135294,0.152941,2.738041,3.798283,2.575164,1.734548,0.063349,0.829348,0.020625,0.059737,0.057158,0.116195,0.438758,0.032057,0.085164,0.334654,fort|shipyard|trade_guild|fishing_dock|fire_plans|guard_captain
352,kept,-3575,170,96,0,74,51,3975,3145,0,0.000000,0.564706,10.094118,36.805882,29.752941,0.070588,0.070588,0.123529,0.111765,0.152941,0.147059,0.358824,0.358824,1.170588,0.135294,0.152941,2.738041,3.798283,2.575164,1.734548,0.063349,0.829348,0.020625,0.059737,0.057158,0.116195,0.438758,0.032057,0.085164,0.334654,fort|shipyard|trade_guild|fishing_dock|fire_plans|guard_captain
353,kept,-3575,170,96,0,74,51,3975,3145,0,0.000000,0.564706,10.094118,36.805882,29.752941,0.070588,0.070588,0.123529,0.111765,0.152941,0.147059,0.358824,0.358824,1.170588,0.135294,0.152941,2.738041,3.798283,2.575164,1.734548,0.063349,0.829348,0.020625,0.059737,0.057158,0.116195,0.438758,0.032057,0.085164,0.334654,fort|shipyard|trade_guild|fishing_dock|fire_plans|guard_captain
354,kept,-3575,170,96,0,74,51,3975,3145,0,0.000000,0.564706,10.094118,36.805882,29.752941,0.070588,0.070588,0.123529,0.111765,0.152941,0.147059,0.358824,0.358824,1.170588,0.135294,0.152941,2.738041,3.798283,2.575164,1.734548,0.063349,0.829348,0.020625,0.059737,0.057158,0.116195,0.438758,0.032057,0.085164,0.334654,fort|shipyard|trade_guild|fishing_dock|fire_plans|guard_captain
