generation,status,fitness,games,wins,draws,port_wins,port_losses,win_rate,avg_turns,avg_assets,avg_opponent_assets,shipyard_started_rate,shipyard_completed_rate,fort_started_rate,fort_completed_rate,trade_guild_started_rate,trade_guild_completed_rate,fishing_dock_built_rate,fishing_dock_active_rate,avg_fishing_boats,guard_captain_rate,avg_guard_captains,trade_weight,raid_weight,guard_weight,fire_weight,convoy_bias,ship_bias,shipyard_bias,fort_bias,trade_guild_bias,fishing_dock_bias,fishing_boat_bias,guard_captain_bias,fire_plans_bias,construction_idle_bias,build_priority
22,kept,-119620,1500,620,7,101,461,0.413333,11.280000,67.080667,37.636667,0.211333,0.170667,0.104000,0.080667,0.173333,0.136000,0.734000,0.718000,21.874667,0.276667,0.340667,1.969941,3.521343,2.184379,0.602711,0.044693,0.739718,0.527364,0.201791,0.575760,0.347562,0.838126,0.209578,0.830811,0.823523,fishing_boat|fort|fishing_dock|shipyard|fire_plans|guard_captain|trade_guild
23,kept,-119620,1500,620,7,101,461,0.413333,11.280000,67.080667,37.636667,0.211333,0.170667,0.104000,0.080667,0.173333,0.136000,0.734000,0.718000,21.874667,0.276667,0.340667,1.969941,3.521343,2.184379,0.602711,0.044693,0.739718,0.527364,0.201791,0.575760,0.347562,0.838126,0.209578,0.830811,0.823523,fishing_boat|fort|fishing_dock|shipyard|fire_plans|guard_captain|trade_guild
24,kept,-119620,1500,620,7,101,461,0.413333,11.280000,67.080667,37.636667,0.211333,0.170667,0.104000,0.080667,0.173333,0.136000,0.734000,0.718000,21.874667,0.276667,0.340667,1.969941,3.521343,2.184379,0.602711,0.044693,0.739718,0.527364,0.201791,0.575760,0.347562,0.838126,0.209578,0.830811,0.823523,fishing_boat|fort|fishing_dock|shipyard|fire_plans|guard_captain|trade_guild
25,kept,-119620,1500,620,7,101,461,0.413333,11.280000,67.080667,37.636667,0.211333,0.170667,0.104000,0.080667,0.173333,0.136000,0.734000,0.718000,21.874667,0.276667,0.340667,1.969941,3.521343,2.184379,0.602711,0.044693,0.739718,0.527364,0.201791,0.575760,0.347562,0.838126,0.209578,0.830811,0.823523,fishing_boat|fort|fishing_dock|shipyard|fire_plans|guard_captain|trade_guild
26,kept,-119620,1500,620,7,101,461,0.413333,11.280000,67.080667,37.636667,0.211333,0.170667,0.104000,0.080667,0.173333,0.136000,0.734000,0.718000,21.874667,0.276667,0.340667,1.969941,3.521343,2.184379,0.602711,0.044693,0.739718,0.527364,0.201791,0.575760,0.347562,0.838126,0.209578,0.830811,0.823523,fishing_boat|fort|fishing_dock|shipyard|fire_plans|guard_captain|trade_guild
27,kept,-119620,1500,620,7,101,461,0.413333,11.280000,67.080667,37.636667,0.211333,0.170667,0.104000,0.080667,0.173333,0.136000,0.734000,0.718000,21.874667,0.276667,0.340667,1.969941,3.521343,2.184379,0.602711,0.044693,0.739718,0.527364,0.201791,0.575760,0.347562,0.838126,0.209578,0.830811,0.823523,fishing_boat|fort|fishing_dock|shipyard|fire_plans|guard_captain|trade_guild
28,kept,-119620,1500,620,7,101,461,0.413333,11.280000,67.080667,37.636667,0.211333,0.170667,0.104000,0.080667,0.173333,0.136000,0.734000,0.718000,21.874667,0.276667,0.340667,1.969941,3.521343,2.184379,0.602711,0.044693,0.739718,0.527364,0.201791,0.575760,0.347562,0.838126,0.209578,0.830811,0.823523,fishing_boat|fort|fishing_dock|shipyard|fire_plans|guard_captain|trade_guild
29,kept,-119620,1500,620,7,101,461,0.413333,11.280000,67.080667,37.636667,0.211333,0.170667,0.104000,0.080667,0.173333,0.136000,0.734000,0.718000,21.874667,0.276667,0.340667,1.969941,3.521343,2.184379,0.602711,0.044693,0.739718,0.527364,0.201791,0.575760,0.347562,0.838126,0.209578,0.830811,0.823523,fishing_boat|fort|fishing_dock|shipyard|fire_plans|guard_captain|trade_guild
30,kept,-119620,1500,620,7,101,461,0.413333,11.280000,67.080667,37.636667,0.211333,0.170667,0.104000,0.080667,0.173333,0.136000,0.734000,0.718000,21.874667,0.276667,0.340667,1.969941,3.521343,2.184379,0.602711,0.044693,0.739718,0.527364,0.201791,0.575760,0.347562,0.838126,0.209578,0.830811,0.823523,fishing_boat|fort|fishing_dock|shipyard|fire_plans|guard_captain|trade_guild
31,kept,-119620,1500,620,7,101,461,0.413333,11.280000,67.080667,37.636667,0.211333,0.170667,0.104000,0.080667,0.173333,0.136000,0.734000,0.718000,21.874667,0.276667,0.340667,1.969941,3.521343,2.184379,0.602711,0.044693,0.739718,0.527364,0.201791,0.575760,0.347562,0.838126,0.209578,0.830811,0.823523,fishing_boat|fort|fishing_dock|shipyard|fire_plans|guard_captain|trade_guild
32,kept,-119620,1500,620,7,101,461,0.413333,11.280000,67.080667,37.636667,0.211333,0.170667,0.104000,0.080667,0.173333,0.136000,0.734000,0.718000,21.874667,0.276667,0.340667,1.969941,3.521343,2.184379,0.602711,0.044693,0.739718,0.527364,0.201791,0.575760,0.347562,0.838126,0.209578,0.830811,0.823523,fishing_boat|fort|fishing_dock|shipyard|fire_plans|guard_captain|trade_guild
33,kept,-119620,1500,620,7,101,461,0.413333,11.280000,67.080667,37.636667,0.211333,0.170667,0.104000,0.080667,0.173333,0.136000,0.734000,0.718000,21.874667,0.276667,0.340667,1.969941,3.521343,2.184379,0.602711,0.044693,0.739718,0.527364,0.201791,0.575760,0.347562,0.838126,0.209578,0.830811,0.823523,fishing_boat|fort|fishing_dock|shipyard|fire_plans|guard_captain|trade_guild
34,learned,-72054,1500,693,4,149,440,0.462000,11.241333,72.034667,34.501333,0.207333,0.169333,0.065333,0.052000,0.220000,0.174000,0.808000,0.786667,21.425333,0.420000,0.570000,1.871676,3.632217,2.177020,0.473419,0.029050,0.830817,0.387628,0.136520,0.561068,0.463864,0.767864,0.362159,0.651448,0.691243,fishing_boat|fort|fishing_dock|shipyard|fire_plans|guard_captain|trade_guild
35,kept,-72054,1500,693,4,149,440,0.462000,11.241333,72.034667,34.501333,0.207333,0.169333,0.065333,0.052000,0.220000,0.174000,0.808000,0.786667,21.425333,0.420000,0.570000,1.871676,3.632217,2.177020,0.473419,0.029050,0.830817,0.387628,0.136520,0.561068,0.463864,0.767864,0.362159,0.651448,0.691243,fishing_boat|fort|fishing_dock|shipyard|fire_plans|guard_captain|trade_guild
36,kept,-72054,1500,693,4,149,440,0.462000,11.241333,72.034667,34.501333,0.207333,0.169333,0.065333,0.052000,0.220000,0.174000,0.808000,0.786667,21.425333,0.420000,0.570000,1.871676,3.632217,2.177020,0.473419,0.029050,0.830817,0.387628,0.136520,0.561068,0.463864,0.767864,0.362159,0.651448,0.691243,fishing_boat|fort|fishing_dock|shipyard|fire_plans|guard_captain|trade_guild
37,kept,-72054,1500,693,4,149,440,0.462000,11.241333,72.034667,34.501333,0.207333,0.169333,0.065333,0.052000,0.220000,0.174000,0.808000,0.786667,21.425333,0.420000,0.570000,1.871676,3.632217,2.177020,0.473419,0.029050,0.830817,0.387628,0.136520,0.561068,0.463864,0.767864,0.362159,0.651448,0.691243,fishing_boat|fort|fishing_dock|shipyard|fire_plans|guard_captain|trade_guild
38,kept,-72054,1500,693,4,149,440,0.462000,11.241333,72.034667,34.501333,0.207333,0.169333,0.065333,0.052000,0.220000,0.174000,0.808000,0.786667,21.425333,0.420000,0.570000,1.871676,3.632217,2.177020,0.473419,0.029050,0.830817,0.387628,0.136520,0.561068,0.463864,0.767864,0.362159,0.651448,0.691243,fishing_boat|fort|fishing_dock|shipyard|fire_plans|guard_captain|trade_guild
39,kept,-72054,1500,693,4,149,440,0.462000,11.241333,72.034667,34.501333,0.207333,0.169333,0.065333,0.052000,0.220000,0.174000,0.808000,0.786667,21.425333,0.420000,0.570000,1.871676,3.632217,2.177020,0.473419,0.029050,0.830817,0.387628,0.136520,0.561068,0.463864,0.767864,0.362159,0.651448,0.691243,fishing_boat|fort|fishing_dock|shipyard|fire_plans|guard_captain|trade_guild
40,kept,-72054,1500,693,4,149,440,0.462000,11.241333,72.034667,34.501333,0.207333,0.169333,0.065333,0.052000,0.220000,0.174000,0.808000,0.786667,21.425333,0.420000,0.570000,1.871676,3.632217,2.177020,0.473419,0.029050,0.830817,0.387628,0.136520,0.561068,0.463864,0.767864,0.362159,0.651448,0.691243,fishing_boat|fort|fishing_dock|shipyard|fire_plans|guard_captain|trade_guild
41,kept,-72054,1500,693,4,149,440,0.462000,11.241333,72.034667,34.501333,0.207333,0.169333,0.065333,0.052000,0.220000,0.174000,0.808000,0.786667,21.425333,0.420000,0.570000,1.871676,3.632217,2.177020,0.473419,0.029050,0.830817,0.387628,0.136520,0.561068,0.463864,0.767864,0.362159,0.651448,0.691243,fishing_boat|fort|fishing_dock|shipyard|fire_plans|guard_captain|trade_guild
42,kept,-72054,1500,693,4,149,440,0.462000,11.241333,72.034667,34.501333,0.207333,0.169333,0.065333,0.052000,0.220000,0.174000,0.808000,0.786667,21.425333,0.420000,0.570000,1.871676,3.632217,2.177020,0.473419,0.029050,0.830817,0.387628,0.136520,0.561068,0.463864,0.767864,0.362159,0.651448,0.691243,fishing_boat|fort|fishing_dock|shipyard|fire_plans|guard_captain|trade_guild
