generation,status,fitness,games,wins,draws,port_wins,port_losses,win_rate,avg_turns,avg_assets,avg_opponent_assets,shipyard_started_rate,shipyard_completed_rate,fort_started_rate,fort_completed_rate,trade_guild_started_rate,trade_guild_completed_rate,fishing_dock_built_rate,fishing_dock_active_rate,avg_fishing_boats,guard_captain_rate,avg_guard_captains,trade_weight,raid_weight,guard_weight,fire_weight,convoy_bias,ship_bias,shipyard_bias,fort_bias,trade_guild_bias,fishing_dock_bias,fishing_boat_bias,guard_captain_bias,fire_plans_bias,construction_idle_bias,build_priority
12,learned,-230403,1500,486,1,73,686,0.324000,10.575333,60.170667,58.090000,0.246667,0.209333,0.189333,0.158000,0.049333,0.035333,0.710667,0.691333,19.008000,0.729333,1.401333,1.588362,4.044474,2.672023,0.668305,0.451187,0.463444,0.794107,0.440001,0.240564,0.610699,0.837531,0.636915,0.778932,0.940833,fishing_boat|fort|guard_captain|shipyard|fire_plans|fishing_dock|trade_guild
13,kept,-230403,1500,486,1,73,686,0.324000,10.575333,60.170667,58.090000,0.246667,0.209333,0.189333,0.158000,0.049333,0.035333,0.710667,0.691333,19.008000,0.729333,1.401333,1.588362,4.044474,2.672023,0.668305,0.451187,0.463444,0.794107,0.440001,0.240564,0.610699,0.837531,0.636915,0.778932,0.940833,fishing_boat|fort|guard_captain|shipyard|fire_plans|fishing_dock|trade_guild
14,learned,-229909,1500,473,6,46,635,0.315333,10.784000,71.931333,52.824000,0.149333,0.122000,0.200000,0.159333,0.026000,0.015333,0.738000,0.725333,25.442667,0.775333,1.498000,1.502352,3.883159,2.675608,0.741688,0.293271,0.301238,0.570306,0.636001,0.156366,0.621116,0.894395,0.726012,0.643585,0.836843,fishing_boat|fort|guard_captain|shipyard|fire_plans|fishing_dock|trade_guild
15,learned,-217188,1500,492,3,81,626,0.328000,10.916667,55.352667,50.048667,0.183333,0.143333,0.175333,0.136667,0.032667,0.022000,0.738667,0.720667,16.018667,0.683333,1.196000,1.712205,3.832343,2.804209,0.771537,0.190626,0.195805,0.560362,0.458172,0.101638,0.523006,0.761255,0.517606,0.768330,0.702636,fishing_boat|fort|guard_captain|shipyard|fire_plans|fishing_dock|trade_guild
16,learned,-210506,1500,496,3,78,599,0.330667,10.992667,65.859333,47.370000,0.197333,0.160000,0.102000,0.081333,0.058000,0.036667,0.796667,0.778000,21.604667,0.650000,1.078667,1.935375,3.789460,2.603426,0.627277,0.162742,0.223952,0.707037,0.297812,0.306179,0.689954,0.844816,0.512681,0.632696,0.806713,fishing_boat|fort|guard_captain|shipyard|fire_plans|fishing_dock|trade_guild
17,learned,-189347,1500,534,3,46,588,0.356000,11.040000,64.689333,43.535333,0.199333,0.166667,0.095333,0.076000,0.117333,0.090667,0.720667,0.706000,22.671333,0.614667,0.988667,2.042230,3.765010,2.381863,0.598009,0.105782,0.403953,0.706419,0.253679,0.539974,0.513630,0.899130,0.442028,0.637255,0.874364,fishing_boat|fort|guard_captain|shipyard|fire_plans|fishing_dock|trade_guild
18,learned,-136821,1500,602,3,59,496,0.401333,11.176667,78.870667,39.602667,0.188000,0.154000,0.059333,0.046667,0.148000,0.123333,0.714667,0.696000,29.343333,0.374667,0.477333,1.921232,3.685035,2.353116,0.461048,0.068758,0.599567,0.602391,0.164892,0.700983,0.339738,0.934435,0.322428,0.739709,0.762928,fishing_boat|fort|fishing_dock|shipyard|fire_plans|guard_captain|trade_guild
19,kept,-136821,1500,602,3,59,496,0.401333,11.176667,78.870667,39.602667,0.188000,0.154000,0.059333,0.046667,0.148000,0.123333,0.714667,0.696000,29.343333,0.374667,0.477333,1.921232,3.685035,2.353116,0.461048,0.068758,0.599567,0.602391,0.164892,0.700983,0.339738,0.934435,0.322428,0.739709,0.762928,fishing_boat|fort|fishing_dock|shipyard|fire_plans|guard_captain|trade_guild
20,learned,-119620,1500,620,7,101,461,0.413333,11.280000,67.080667,37.636667,0.211333,0.170667,0.104000,0.080667,0.173333,0.136000,0.734000,0.718000,21.874667,0.276667,0.340667,1.969941,3.521343,2.184379,0.602711,0.044693,0.739718,0.527364,0.201791,0.575760,0.347562,0.838126,0.209578,0.830811,0.823523,fishing_boat|fort|fishing_dock|shipyard|fire_plans|guard_captain|trade_guild
21,kept,-119620,1500,620,7,101,461,0.413333,11.280000,67.080667,37.636667,0.211333,0.170667,0.104000,0.080667,0.173333,0.136000,0.734000,0.718000,21.874667,0.276667,0.340667,1.969941,3.521343,2.184379,0.602711,0.044693,0.739718,0.527364,0.201791,0.575760,0.347562,0.838126,0.209578,0.830811,0.823523,fishing_boat|fort|fishing_dock|shipyard|fire_plans|guard_captain|trade_guild
