generation,status,fitness,games,wins,draws,port_wins,win_rate,avg_turns,avg_assets,avg_opponent_assets,shipyard_started_rate,shipyard_completed_rate,fort_started_rate,fort_completed_rate,trade_guild_started_rate,trade_guild_completed_rate,guard_captain_rate,avg_guard_captains,trade_weight,raid_weight,guard_weight,fire_weight,convoy_bias,ship_bias,shipyard_bias,fort_bias,trade_guild_bias,guard_captain_bias,fire_plans_bias,construction_idle_bias,build_priority
0,initial,-61386,1400,312,4,81,0.222857,10.492857,17.539286,53.654286,0.239286,0.217857,0.266429,0.226429,0.122857,0.096429,0.901429,2.651429,2.056465,3.880366,2.114176,1.283839,0.843924,0.447665,0.661621,0.430563,0.141945,0.805065,0.983723,0.864699,guard_captain|fort|shipyard
1,learned,-53626,1400,346,0,96,0.247143,10.500000,17.915000,51.847857,0.229286,0.211429,0.212857,0.180000,0.122857,0.100000,0.920714,2.728571,1.942775,3.811377,2.360814,1.050668,0.880652,0.419946,0.430054,0.279866,0.092265,0.873292,0.989420,0.912055,guard_captain|fort|shipyard
2,learned,-14657,1400,467,1,164,0.333571,10.806429,21.604286,40.580714,0.239286,0.219286,0.210714,0.185000,0.084286,0.073571,0.832143,2.452143,1.699489,3.870380,2.577124,1.012093,0.682441,0.615263,0.279535,0.217373,0.059972,0.630970,0.773487,0.942836,guard_captain|fort|shipyard
3,kept,-14657,1400,467,1,164,0.333571,10.806429,21.604286,40.580714,0.239286,0.219286,0.210714,0.185000,0.084286,0.073571,0.832143,2.452143,1.699489,3.870380,2.577124,1.012093,0.682441,0.615263,0.279535,0.217373,0.059972,0.630970,0.773487,0.942836,guard_captain|fort|shipyard
4,learned,-610,1400,526,1,153,0.375714,10.947857,21.204286,35.929286,0.303571,0.272143,0.238571,0.180714,0.059286,0.043571,0.860000,2.743571,1.482416,3.827540,2.515750,0.772716,0.554355,0.688215,0.426868,0.335904,0.053902,0.760131,0.697482,0.711451,guard_captain|fire_plans|fort|shipyard
5,learned,10133,1400,568,2,167,0.405714,11.067143,22.354286,33.805714,0.262857,0.232857,0.290000,0.236429,0.107857,0.089286,0.840000,2.486429,1.389953,3.913621,2.336625,0.889345,0.455845,0.731407,0.277464,0.399032,0.083844,0.596943,0.519234,0.664274,guard_captain|fire_plans|fort|shipyard|trade_guild
6,learned,11558,1400,579,0,154,0.413571,11.166429,21.501429,32.795714,0.202143,0.175000,0.218571,0.175000,0.125000,0.104286,0.883571,2.809286,1.273972,3.735370,2.100885,0.721656,0.418001,0.571339,0.180352,0.273130,0.087340,0.738013,0.463706,0.724044,guard_captain|fire_plans|fort|shipyard|trade_guild
7,kept,11558,1400,579,0,154,0.413571,11.166429,21.501429,32.795714,0.202143,0.175000,0.218571,0.175000,0.125000,0.104286,0.883571,2.809286,1.273972,3.735370,2.100885,0.721656,0.418001,0.571339,0.180352,0.273130,0.087340,0.738013,0.463706,0.724044,guard_captain|fire_plans|fort|shipyard|trade_guild
8,learned,21029,1400,614,1,178,0.438571,11.235714,21.908571,30.245000,0.137143,0.113571,0.239286,0.192143,0.084286,0.070714,0.826429,2.264286,1.469528,3.797828,1.842000,0.681625,0.303666,0.464110,0.117229,0.286381,0.056771,0.492598,0.353613,0.648902,guard_captain|fire_plans|fort|shipyard|trade_guild
9,kept,21029,1400,614,1,178,0.438571,11.235714,21.908571,30.245000,0.137143,0.113571,0.239286,0.192143,0.084286,0.070714,0.826429,2.264286,1.469528,3.797828,1.842000,0.681625,0.303666,0.464110,0.117229,0.286381,0.056771,0.492598,0.353613,0.648902,guard_captain|fire_plans|fort|shipyard|trade_guild
10,learned,25130,1400,632,2,163,0.451429,11.272143,23.091429,30.187857,0.148571,0.126429,0.301429,0.254286,0.235714,0.203571,0.817857,2.089286,1.321007,3.585312,1.755981,0.539638,0.299668,0.563069,0.105136,0.373763,0.193975,0.460521,0.332001,0.771786,guard_captain|fire_plans|fort|shipyard|trade_guild
11,learned,25893,1400,648,2,109,0.462857,11.447143,20.695714,28.268571,0.187143,0.155714,0.322857,0.256429,0.122857,0.096429,0.880714,2.660714,1.255120,3.470249,1.585639,0.350765,0.194784,0.609362,0.188478,0.592946,0.126084,0.649339,0.250209,0.851661,guard_captain|fire_plans|fort|shipyard|trade_guild
12,learned,30691,1400,667,3,115,0.476429,11.498571,20.173571,26.333571,0.164286,0.137857,0.297143,0.236429,0.132857,0.102143,0.872143,2.570714,1.305162,3.608536,1.479487,0.473501,0.160980,0.705404,0.196027,0.516993,0.143069,0.596618,0.495653,0.857277,guard_captain|fire_plans|fort|shipyard|trade_guild
