generation,status,fitness,games,wins,draws,port_wins,win_rate,avg_turns,avg_assets,avg_opponent_assets,shipyard_started_rate,shipyard_completed_rate,fort_started_rate,fort_completed_rate,trade_guild_started_rate,trade_guild_completed_rate,fishing_dock_built_rate,fishing_dock_active_rate,avg_fishing_boats,guard_captain_rate,avg_guard_captains,trade_weight,raid_weight,guard_weight,fire_weight,convoy_bias,ship_bias,shipyard_bias,fort_bias,trade_guild_bias,fishing_dock_bias,fishing_boat_bias,guard_captain_bias,fire_plans_bias,construction_idle_bias,build_priority
14,kept,63747,1400,490,0,147,0.350000,9.987143,83.722857,48.764286,0.303571,0.262857,0.190714,0.154286,0.082857,0.060000,0.954286,0.887857,25.102857,0.773571,2.514286,1.889064,3.940667,2.092812,1.257393,0.771101,0.755094,0.328704,0.123239,0.258426,0.793715,0.778104,0.921285,0.826137,0.761111,fishing_dock|fort|guard_captain|shipyard|fishing_boat|fire_plans|trade_guild
15,learned,83511,1400,480,2,127,0.342857,9.929286,102.927143,52.737143,0.317143,0.275000,0.151429,0.113571,0.090000,0.067143,0.920714,0.852857,34.700000,0.730714,2.274286,2.017247,3.890726,2.199096,1.410720,0.851216,0.815658,0.326576,0.080105,0.323218,0.693305,0.855767,0.765129,0.746058,0.844722,fishing_dock|fort|guard_captain|shipyard|fishing_boat|fire_plans|trade_guild
16,kept,83511,1400,480,2,127,0.342857,9.929286,102.927143,52.737143,0.317143,0.275000,0.151429,0.113571,0.090000,0.067143,0.920714,0.852857,34.700000,0.730714,2.274286,2.017247,3.890726,2.199096,1.410720,0.851216,0.815658,0.326576,0.080105,0.323218,0.693305,0.855767,0.765129,0.746058,0.844722,fishing_dock|fort|guard_captain|shipyard|fishing_boat|fire_plans|trade_guild
17,kept,83511,1400,480,2,127,0.342857,9.929286,102.927143,52.737143,0.317143,0.275000,0.151429,0.113571,0.090000,0.067143,0.920714,0.852857,34.700000,0.730714,2.274286,2.017247,3.890726,2.199096,1.410720,0.851216,0.815658,0.326576,0.080105,0.323218,0.693305,0.855767,0.765129,0.746058,0.844722,fishing_dock|fort|guard_captain|shipyard|fishing_boat|fire_plans|trade_guild
18,kept,83511,1400,480,2,127,0.342857,9.929286,102.927143,52.737143,0.317143,0.275000,0.151429,0.113571,0.090000,0.067143,0.920714,0.852857,34.700000,0.730714,2.274286,2.017247,3.890726,2.199096,1.410720,0.851216,0.815658,0.326576,0.080105,0.323218,0.693305,0.855767,0.765129,0.746058,0.844722,fishing_dock|fort|guard_captain|shipyard|fishing_boat|fire_plans|trade_guild
19,kept,83511,1400,480,2,127,0.342857,9.929286,102.927143,52.737143,0.317143,0.275000,0.151429,0.113571,0.090000,0.067143,0.920714,0.852857,34.700000,0.730714,2.274286,2.017247,3.890726,2.199096,1.410720,0.851216,0.815658,0.326576,0.080105,0.323218,0.693305,0.855767,0.765129,0.746058,0.844722,fishing_dock|fort|guard_captain|shipyard|fishing_boat|fire_plans|trade_guild
20,kept,83511,1400,480,2,127,0.342857,9.929286,102.927143,52.737143,0.317143,0.275000,0.151429,0.113571,0.090000,0.067143,0.920714,0.852857,34.700000,0.730714,2.274286,2.017247,3.890726,2.199096,1.410720,0.851216,0.815658,0.326576,0.080105,0.323218,0.693305,0.855767,0.765129,0.746058,0.844722,fishing_dock|fort|guard_captain|shipyard|fishing_boat|fire_plans|trade_guild
21,kept,83511,1400,480,2,127,0.342857,9.929286,102.927143,52.737143,0.317143,0.275000,0.151429,0.113571,0.090000,0.067143,0.920714,0.852857,34.700000,0.730714,2.274286,2.017247,3.890726,2.199096,1.410720,0.851216,0.815658,0.326576,0.080105,0.323218,0.693305,0.855767,0.765129,0.746058,0.844722,fishing_dock|fort|guard_captain|shipyard|fishing_boat|fire_plans|trade_guild
22,kept,83511,1400,480,2,127,0.342857,9.929286,102.927143,52.737143,0.317143,0.275000,0.151429,0.113571,0.090000,0.067143,0.920714,0.852857,34.700000,0.730714,2.274286,2.017247,3.890726,2.199096,1.410720,0.851216,0.815658,0.326576,0.080105,0.323218,0.693305,0.855767,0.765129,0.746058,0.844722,fishing_dock|fort|guard_captain|shipyard|fishing_boat|fire_plans|trade_guild
23,kept,83511,1400,480,2,127,0.342857,9.929286,102.927143,52.737143,0.317143,0.275000,0.151429,0.113571,0.090000,0.067143,0.920714,0.852857,34.700000,0.730714,2.274286,2.017247,3.890726,2.199096,1.410720,0.851216,0.815658,0.326576,0.080105,0.323218,0.693305,0.855767,0.765129,0.746058,0.844722,fishing_dock|fort|guard_captain|shipyard|fishing_boat|fire_plans|trade_guild
24,kept,83511,1400,480,2,127,0.342857,9.929286,102.927143,52.737143,0.317143,0.275000,0.151429,0.113571,0.090000,0.067143,0.920714,0.852857,34.700000,0.730714,2.274286,2.017247,3.890726,2.199096,1.410720,0.851216,0.815658,0.326576,0.080105,0.323218,0.693305,0.855767,0.765129,0.746058,0.844722,fishing_dock|fort|guard_captain|shipyard|fishing_boat|fire_plans|trade_guild
25,learned,124876,1400,533,3,105,0.380714,10.191429,125.180000,50.557857,0.270000,0.232857,0.210714,0.154286,0.117143,0.076429,0.928571,0.883571,45.472857,0.770000,2.532857,2.077227,3.980707,2.274101,1.540641,0.682013,0.793427,0.212275,0.105486,0.560091,0.726717,0.906249,0.818384,0.803290,0.876243,fishing_dock|fort|guard_captain|shipyard|fishing_boat|fire_plans|trade_guild
26,learned,165553,1400,532,0,99,0.380000,10.097857,155.239286,51.247857,0.214286,0.180714,0.157857,0.125000,0.147143,0.112857,0.959286,0.900714,57.860000,0.703571,2.335714,2.198595,4.190842,2.402660,1.637491,0.793309,0.722207,0.137978,0.068566,0.714059,0.811759,0.900099,0.709357,0.872138,0.919558,fishing_dock|fort|guard_captain|shipyard|fishing_boat|fire_plans|trade_guild
